cancellation,refund_amount_eur,support_cost_eur,additional_cost_eur,gross_profit_eur,contribution_margin_eur,repeat_purchase_180d
false,0.0,0.0,106.24,553.28,387.92,false
false,0.0,0.0,94.19,904.69,742.33,true
false,0.0,0.0,26.71,318.15,254.61,false
false,0.0,0.0,84.91,480.56,368.28,false
false,0.0,0.0,87.27,670.11,550.54,false
false,0.0,45.5,108.55,1098.48,890.34,false
false,0.0,0.0,154.81,309.8,133.77,false
false,0.0,0.0,0.0,388.26,360.36,true
false,0.0,0.0,119.38,820.42,660.42,false
false,0.0,0.0,59.6,852.56,672.22,false
false,0.0,0.0,49.25,190.78,94.55,true
false,0.0,0.0,58.15,588.06,494.7,
false,0.0,0.0,426.45,421.47,-67.43,false
false,0.0,0.0,18.24,565.58,468.34,false
false,0.0,0.0,0.0,776.95,737.42,true
false,0.0,0.0,49.44,563.26,446.45,false
false,0.0,0.0,27.95,364.31,253.41,false
false,0.0,0.0,52.52,94.57,-17.72,
false,0.0,0.0,310.41,742.13,316.48,false
false,0.0,0.0,105.3,493.04,356.96,false
false,0.0,0.0,406.7,419.47,-32.16,false
false,0.0,0.0,307.14,525.74,123.08,false
false,0.0,0.0,78.09,409.2,309.99,false
false,0.0,0.0,99.62,960.94,796.32,true
false,0.0,0.0,0.0,300.21,239.61,false
false,0.0,0.0,45.34,620.12,506.7,true
false,0.0,0.0,82.95,407.83,277.15,true
false,0.0,0.0,25.5,961.2,884.69,false
false,0.0,0.0,48.69,628.76,501.42,false
false,0.0,0.0,7.17,762.41,717.72,false
false,0.0,0.0,146.0,339.34,145.91,false
false,0.0,0.0,72.92,420.42,227.56,false
false,0.0,0.0,77.63,436.5,302.43,false
false,0.0,0.0,0.0,662.04,614.64,true
false,0.0,0.0,89.43,545.99,420.16,false
false,0.0,0.0,27.94,518.62,463.86,false
false,0.0,0.0,93.51,400.18,276.52,false
true,2011.02,0.0,0.0,-1668.76,-1695.73,
false,0.0,85.63,5.74,677.14,555.26,false
false,0.0,43.86,910.88,1036.44,-12.51,true
false,0.0,0.0,162.93,65.32,-122.98,false
true,2858.57,0.0,98.51,-2478.2,-2618.75,
false,0.0,0.0,172.82,211.76,-24.93,false
false,0.0,0.0,0.0,654.89,627.67,true
false,0.0,0.0,0.0,1084.32,1039.31,true
false,0.0,0.0,54.04,876.16,708.99,true
false,0.0,0.0,31.41,474.93,415.69,false
false,0.0,0.0,74.36,746.38,610.67,false
false,0.0,0.0,38.74,899.35,814.41,false
true,3065.64,0.0,0.0,-2030.73,-2137.05,
false,0.0,0.0,8.43,270.96,197.92,false
false,0.0,0.0,16.61,596.59,531.37,false
false,0.0,0.0,71.78,803.74,681.02,false
false,0.0,0.0,70.9,820.36,636.63,false
false,0.0,0.0,4.54,276.48,205.44,true
false,0.0,0.0,20.9,406.12,291.79,false
false,0.0,156.1,523.82,526.45,-201.22,
true,4729.87,0.0,429.93,-3421.64,-3926.17,
false,0.0,0.0,0.0,413.41,397.23,false
false,0.0,0.0,0.0,160.58,73.86,
false,0.0,0.0,0.0,895.96,849.1,false
false,0.0,0.0,0.0,663.91,547.31,true
false,0.0,0.0,58.97,517.97,348.22,true
false,0.0,0.0,80.85,615.77,454.06,true
false,0.0,0.0,52.02,604.81,499.51,
false,0.0,0.0,95.62,639.57,497.22,true
false,0.0,0.0,130.87,398.43,250.63,true
false,0.0,0.0,34.23,564.43,500.75,false
false,0.0,0.0,16.36,429.88,373.81,false
false,0.0,0.0,0.0,451.93,423.59,true
false,0.0,0.0,0.0,711.79,680.44,true
false,0.0,0.0,0.0,564.21,479.21,true
false,0.0,0.0,43.09,577.41,489.24,false
false,0.0,0.0,4.43,419.8,357.93,true
false,0.0,0.0,153.1,864.96,630.15,false
false,0.0,0.0,57.05,566.02,482.02,false
false,0.0,0.0,19.98,481.44,433.99,false
false,0.0,0.0,365.85,717.49,255.48,false
true,3635.47,0.0,58.58,-2866.69,-3011.35,false
false,0.0,0.0,90.0,487.35,346.21,false
false,0.0,0.0,566.44,787.18,164.97,
