booking_date,travel_date,destination,supplier,product_category,customer_price_eur,quoted_cost_eur,discount_rate,manager,acquisition_channel,customer_segment,customer_type,party_size,trip_duration_days,booking_lead_days,payment_method,installments,manual_exception,travel_month
2024-07-09,2024-09-20,Tokyo,BlueWing,standard,2955.92,2166.17,0.08,Manager 8,referral,leisure,returning,3,9,73,card,2,false,9
2025-01-21,2025-04-16,Zanzibar,DeltaSun,luxury,5679.76,4491.09,0.05,Manager 2,partner,family,new,3,11,85,bank_transfer,1,false,4
2025-08-07,2025-11-02,Rome,BlueWing,premium,3069.66,2383.15,0.12,Manager 1,paid_search,family,new,6,5,87,card,1,false,11
2025-06-26,2025-06-28,Rome,BlueWing,standard,2280.94,1617.9,0.08,Manager 5,direct,leisure,new,1,11,2,card,1,false,6
2025-10-04,2025-12-06,Lisbon,Cedar,standard,2692.53,1887.79,0.05,Manager 5,partner,leisure,new,2,15,63,card,1,false,12
2024-05-03,2024-07-03,Tokyo,Cedar,premium,4507.6,3409.12,0.0,Manager 7,partner,leisure,returning,3,4,61,bank_transfer,1,false,7
2025-02-13,2025-03-30,Lisbon,DeltaSun,standard,1767.83,1316.61,0.08,Manager 3,paid_search,leisure,returning,2,3,45,card,1,false,3
2024-01-24,2024-04-22,Tokyo,BlueWing,premium,2325.63,1751.31,0.08,Manager 2,direct,leisure,returning,2,5,89,card,1,false,4
2024-05-04,2024-07-19,Lisbon,Atlas,premium,3384.69,2564.26,0.0,Manager 2,referral,leisure,new,3,14,76,bank_transfer,1,false,7
2025-10-24,2026-01-24,Tokyo,Cedar,premium,4311.9,3114.39,0.08,Manager 6,partner,corporate,new,2,9,92,card,3,false,1
2025-10-08,2025-12-20,Tokyo,Atlas,premium,2349.0,1876.33,0.12,Manager 2,direct,leisure,new,2,10,73,wallet,2,true,12
2025-06-05,2025-09-14,Reykjavik,BlueWing,standard,2933.41,1993.35,0.12,Manager 6,partner,leisure,returning,2,9,101,card,1,false,9
2025-08-20,2025-10-16,Rome,Cedar,standard,2230.21,1630.33,0.08,Manager 4,partner,family,returning,6,9,57,card,3,false,10
2024-01-11,2024-02-17,Reykjavik,Cedar,premium,2821.26,2114.62,0.05,Manager 7,partner,corporate,new,1,3,37,bank_transfer,3,false,2
2025-08-19,2025-08-21,Zanzibar,BlueWing,premium,3293.93,2352.28,0.05,Manager 2,direct,corporate,new,1,2,2,bank_transfer,1,false,8
2025-04-23,2025-06-12,Lisbon,BlueWing,premium,2405.9,1650.17,0.08,Manager 1,direct,leisure,new,1,7,50,card,3,false,6
2024-09-28,2024-11-15,Rome,DeltaSun,standard,2303.96,1755.34,0.08,Manager 4,direct,leisure,new,2,10,48,card,4,false,11
2025-06-25,2025-07-16,Reykjavik,BlueWing,standard,2134.48,1655.71,0.18,Manager 2,direct,corporate,returning,1,6,21,card,3,false,7
2025-05-15,2025-06-11,Tokyo,Cedar,standard,4115.55,2879.56,0.12,Manager 4,paid_search,leisure,new,3,13,27,card,3,false,6
2025-02-08,2025-04-13,Lisbon,Cedar,standard,2565.93,1944.59,0.05,Manager 5,paid_search,family,new,5,4,64,wallet,1,false,4
2025-08-17,2025-08-19,Lisbon,BlueWing,standard,1604.58,1185.11,0.0,Manager 7,paid_search,family,new,4,2,2,bank_transfer,3,false,8
