source_row_number,split_label,source_currency
1,development,EUR
2,validation,EUR
3,future_holdout,EUR
4,validation,EUR
5,future_holdout,EUR
6,development,EUR
7,validation,EUR
8,development,EUR
9,development,EUR
10,future_holdout,EUR
11,future_holdout,EUR
12,validation,EUR
13,future_holdout,EUR
14,development,EUR
15,future_holdout,EUR
16,validation,EUR
17,development,EUR
18,validation,EUR
19,validation,EUR
20,validation,EUR
21,future_holdout,EUR
22,validation,EUR
23,future_holdout,EUR
24,development,EUR
25,development,EUR
26,validation,EUR
27,validation,EUR
28,development,EUR
29,future_holdout,EUR
30,development,EUR
31,development,EUR
32,validation,EUR
33,validation,EUR
34,validation,EUR
35,future_holdout,EUR
36,development,EUR
37,development,EUR
38,development,EUR
39,development,EUR
40,validation,EUR
41,validation,EUR
42,development,EUR
43,development,EUR
44,future_holdout,EUR
45,development,EUR
46,development,EUR
47,future_holdout,EUR
48,future_holdout,EUR
49,validation,EUR
50,validation,EUR
51,development,EUR
52,validation,EUR
53,development,EUR
54,validation,EUR
55,development,EUR
56,validation,EUR
57,development,EUR
58,future_holdout,EUR
59,future_holdout,EUR
60,future_holdout,EUR
61,development,EUR
62,development,EUR
63,future_holdout,EUR
64,development,EUR
65,development,EUR
66,validation,EUR
67,future_holdout,EUR
68,future_holdout,EUR
69,future_holdout,EUR
70,development,EUR
71,development,EUR
72,development,EUR
73,future_holdout,EUR
74,validation,EUR
75,development,EUR
76,development,EUR
77,validation,EUR
78,validation,EUR
79,validation,EUR
80,validation,EUR
81,validation,EUR
82,validation,EUR
83,development,EUR
84,development,EUR
85,development,EUR
86,development,EUR
87,future_holdout,EUR
88,development,EUR
89,development,EUR
90,future_holdout,EUR
91,development,EUR
92,development,EUR
93,future_holdout,EUR
94,future_holdout,EUR
95,development,EUR
96,validation,EUR
97,validation,EUR
98,future_holdout,EUR
99,validation,EUR
100,validation,EUR
101,development,EUR
102,validation,EUR
103,future_holdout,EUR
104,development,EUR
105,validation,EUR
106,development,EUR
107,future_holdout,EUR
108,future_holdout,EUR
109,development,EUR
110,development,EUR
111,future_holdout,EUR
112,future_holdout,EUR
113,development,EUR
114,development,EUR
115,development,EUR
116,development,EUR
117,development,EUR
118,development,EUR
119,validation,EUR
120,development,EUR
121,development,EUR
122,development,EUR
123,development,EUR
124,future_holdout,EUR
125,future_holdout,EUR
126,development,EUR
127,development,EUR
128,development,EUR
129,validation,EUR
130,development,EUR
131,development,EUR
132,development,EUR
133,validation,EUR
134,future_holdout,EUR
135,development,EUR
136,development,EUR
137,future_holdout,EUR
138,validation,EUR
139,development,EUR
140,development,EUR
141,future_holdout,EUR
142,future_holdout,EUR
143,development,EUR
144,future_holdout,EUR
145,development,EUR
146,development,EUR
147,future_holdout,EUR
148,future_holdout,EUR
149,validation,EUR
150,development,EUR
151,development,EUR
152,validation,EUR
153,validation,EUR
154,development,EUR
155,validation,EUR
156,validation,EUR
157,future_holdout,EUR
158,validation,EUR
159,development,EUR
160,development,EUR
161,development,EUR
162,development,EUR
163,development,EUR
164,development,EUR
165,future_holdout,EUR
166,validation,EUR
167,development,EUR
168,future_holdout,EUR
169,development,EUR
170,future_holdout,EUR
171,development,EUR
172,validation,EUR
173,future_holdout,EUR
174,development,EUR
175,validation,EUR
176,validation,EUR
177,future_holdout,EUR
178,development,EUR
179,validation,EUR
180,validation,EUR
181,development,EUR
182,development,EUR
183,validation,EUR
184,validation,EUR
185,validation,EUR
186,development,EUR
187,future_holdout,EUR
188,validation,EUR
189,validation,EUR
190,future_holdout,EUR
191,development,EUR
192,development,EUR
193,development,EUR
194,future_holdout,EUR
195,validation,EUR
196,future_holdout,EUR
197,development,EUR
198,validation,EUR
199,development,EUR
200,development,EUR
201,development,EUR
202,development,EUR
203,validation,EUR
204,future_holdout,EUR
205,future_holdout,EUR
206,development,EUR
207,development,EUR
208,development,EUR
209,development,EUR
210,future_holdout,EUR
211,validation,EUR
212,development,EUR
213,future_holdout,EUR
214,development,EUR
215,validation,EUR
216,validation,EUR
217,development,EUR
218,development,EUR
219,development,EUR
220,development,EUR
221,future_holdout,EUR
222,development,EUR
223,development,EUR
224,validation,EUR
225,future_holdout,EUR
226,future_holdout,EUR
227,validation,EUR
228,development,EUR
229,development,EUR
230,future_holdout,EUR
231,future_holdout,EUR
232,validation,EUR
233,validation,EUR
234,development,EUR
235,development,EUR
236,validation,EUR
237,future_holdout,EUR
238,future_holdout,EUR
239,development,EUR
240,development,EUR
241,development,EUR
242,validation,EUR
243,future_holdout,EUR
244,validation,EUR
245,development,EUR
246,development,EUR
247,validation,EUR
248,validation,EUR
249,validation,EUR
250,development,EUR
251,development,EUR
252,development,EUR
253,future_holdout,EUR
254,development,EUR
255,validation,EUR
256,development,EUR
257,development,EUR
258,development,EUR
259,development,EUR
260,development,EUR
261,future_holdout,EUR
262,validation,EUR
263,validation,EUR
264,development,EUR
265,development,EUR
266,future_holdout,EUR
267,development,EUR
268,development,EUR
269,development,EUR
270,future_holdout,EUR
271,future_holdout,EUR
272,development,EUR
273,future_holdout,EUR
274,future_holdout,EUR
275,future_holdout,EUR
276,future_holdout,EUR
277,development,EUR
278,future_holdout,EUR
279,development,EUR
280,validation,EUR
281,development,EUR
282,development,EUR
283,development,EUR
284,validation,EUR
285,validation,EUR
286,validation,EUR
287,validation,EUR
288,validation,EUR
289,development,EUR
290,validation,EUR
291,future_holdout,EUR
292,development,EUR
293,development,EUR
294,development,EUR
295,development,EUR
296,future_holdout,EUR
297,development,EUR
298,future_holdout,EUR
299,future_holdout,EUR
300,development,EUR
301,future_holdout,EUR
302,development,EUR
303,future_holdout,EUR
304,development,EUR
305,development,EUR
306,validation,EUR
307,development,EUR
308,future_holdout,EUR
309,future_holdout,EUR
310,development,EUR
311,future_holdout,EUR
312,validation,EUR
313,development,EUR
314,development,EUR
315,development,EUR
316,development,EUR
317,development,EUR
318,future_holdout,EUR
319,development,EUR
320,development,EUR
321,validation,EUR
322,validation,EUR
323,future_holdout,EUR
324,development,EUR
325,validation,EUR
326,development,EUR
327,development,EUR
328,development,EUR
329,development,EUR
330,validation,EUR
331,future_holdout,EUR
332,development,EUR
333,future_holdout,EUR
334,future_holdout,EUR
335,future_holdout,EUR
336,future_holdout,EUR
337,development,EUR
338,validation,EUR
339,future_holdout,EUR
340,development,EUR
341,development,EUR
342,validation,EUR
343,validation,EUR
344,development,EUR
345,future_holdout,EUR
346,development,EUR
347,future_holdout,EUR
348,development,EUR
349,development,EUR
350,development,EUR
351,development,EUR
352,development,EUR
353,future_holdout,EUR
354,development,EUR
355,future_holdout,EUR
356,validation,EUR
357,validation,EUR
358,future_holdout,EUR
359,development,EUR
360,future_holdout,EUR
361,future_holdout,EUR
362,future_holdout,EUR
363,future_holdout,EUR
364,validation,EUR
365,validation,EUR
366,development,EUR
367,development,EUR
368,development,EUR
369,validation,EUR
370,development,EUR
371,future_holdout,EUR
372,future_holdout,EUR
373,development,EUR
374,development,EUR
375,development,EUR
376,future_holdout,EUR
377,validation,EUR
378,development,EUR
379,validation,EUR
380,validation,EUR
381,development,EUR
382,development,EUR
383,development,EUR
384,development,EUR
385,development,EUR
386,validation,EUR
387,validation,EUR
388,development,EUR
389,validation,EUR
390,development,EUR
391,validation,EUR
392,development,EUR
393,development,EUR
394,development,EUR
395,development,EUR
396,development,EUR
397,future_holdout,EUR
398,future_holdout,EUR
399,development,EUR
400,future_holdout,EUR
401,future_holdout,EUR
402,development,EUR
403,validation,EUR
404,development,EUR
405,development,EUR
406,future_holdout,EUR
407,development,EUR
408,development,EUR
409,validation,EUR
410,future_holdout,EUR
411,development,EUR
412,validation,EUR
413,validation,EUR
414,development,EUR
415,development,EUR
416,validation,EUR
417,development,EUR
418,validation,EUR
419,development,EUR
420,development,EUR
421,development,EUR
422,validation,EUR
423,development,EUR
424,development,EUR
425,development,EUR
426,validation,EUR
427,future_holdout,EUR
428,future_holdout,EUR
429,development,EUR
430,future_holdout,EUR
431,validation,EUR
432,development,EUR
433,development,EUR
434,validation,EUR
435,development,EUR
436,development,EUR
437,development,EUR
438,future_holdout,EUR
439,validation,EUR
440,development,EUR
441,future_holdout,EUR
442,validation,EUR
443,development,EUR
444,development,EUR
445,development,EUR
446,development,EUR
447,development,EUR
448,development,EUR
449,development,EUR
450,future_holdout,EUR
451,development,EUR
452,future_holdout,EUR
453,development,EUR
454,future_holdout,EUR
455,development,EUR
456,validation,EUR
457,development,EUR
458,development,EUR
459,development,EUR
460,validation,EUR
461,future_holdout,EUR
462,validation,EUR
463,future_holdout,EUR
464,validation,EUR
465,development,EUR
466,development,EUR
467,development,EUR
468,development,EUR
469,future_holdout,EUR
470,future_holdout,EUR
471,development,EUR
472,validation,EUR
473,validation,EUR
474,validation,EUR
475,future_holdout,EUR
476,development,EUR
477,future_holdout,EUR
478,development,EUR
479,future_holdout,EUR
480,development,EUR
481,development,EUR
482,development,EUR
483,validation,EUR
484,validation,EUR
485,development,EUR
486,future_holdout,EUR
487,future_holdout,EUR
488,validation,EUR
489,validation,EUR
490,future_holdout,EUR
491,future_holdout,EUR
492,development,EUR
493,development,EUR
494,future_holdout,EUR
495,development,EUR
496,development,EUR
497,development,EUR
498,development,EUR
499,validation,EUR
500,future_holdout,EUR
501,development,EUR
502,development,EUR
503,development,EUR
504,development,EUR
505,development,EUR
506,development,EUR
507,development,EUR
508,future_holdout,EUR
509,development,EUR
510,development,EUR
511,validation,EUR
512,development,EUR
513,validation,EUR
514,validation,EUR
515,validation,EUR
516,validation,EUR
517,future_holdout,EUR
518,validation,EUR
519,future_holdout,EUR
520,future_holdout,EUR
521,development,EUR
522,development,EUR
523,development,EUR
524,development,EUR
525,future_holdout,EUR
526,development,EUR
527,validation,EUR
528,future_holdout,EUR
529,future_holdout,EUR
530,development,EUR
531,development,EUR
532,future_holdout,EUR
533,development,EUR
534,development,EUR
535,development,EUR
536,development,EUR
537,validation,EUR
538,development,EUR
539,development,EUR
540,future_holdout,EUR
541,development,EUR
542,development,EUR
543,development,EUR
544,development,EUR
545,development,EUR
546,development,EUR
547,development,EUR
548,development,EUR
549,future_holdout,EUR
550,development,EUR
551,development,EUR
552,future_holdout,EUR
553,future_holdout,EUR
554,future_holdout,EUR
555,development,EUR
556,future_holdout,EUR
557,development,EUR
558,development,EUR
559,future_holdout,EUR
560,validation,EUR
561,validation,EUR
562,future_holdout,EUR
563,validation,EUR
564,development,EUR
565,development,EUR
566,future_holdout,EUR
567,future_holdout,EUR
568,development,EUR
569,development,EUR
570,development,EUR
571,development,EUR
572,development,EUR
573,development,EUR
574,validation,EUR
575,validation,EUR
576,future_holdout,EUR
577,development,EUR
578,future_holdout,EUR
579,future_holdout,EUR
580,future_holdout,EUR
581,development,EUR
582,development,EUR
583,development,EUR
584,validation,EUR
585,development,EUR
586,development,EUR
587,future_holdout,EUR
588,validation,EUR
589,development,EUR
590,future_holdout,EUR
591,development,EUR
592,development,EUR
593,development,EUR
594,future_holdout,EUR
595,future_holdout,EUR
596,validation,EUR
597,validation,EUR
598,development,EUR
599,validation,EUR
600,development,EUR
601,future_holdout,EUR
602,development,EUR
603,validation,EUR
604,validation,EUR
605,development,EUR
606,development,EUR
607,development,EUR
608,future_holdout,EUR
609,development,EUR
610,development,EUR
611,development,EUR
612,future_holdout,EUR
613,future_holdout,EUR
614,development,EUR
615,future_holdout,EUR
616,future_holdout,EUR
617,validation,EUR
618,validation,EUR
619,development,EUR
620,future_holdout,EUR
621,development,EUR
622,future_holdout,EUR
623,development,EUR
624,development,EUR
625,future_holdout,EUR
626,development,EUR
627,future_holdout,EUR
628,validation,EUR
629,development,EUR
630,future_holdout,EUR
631,development,EUR
632,development,EUR
633,validation,EUR
634,validation,EUR
635,future_holdout,EUR
636,future_holdout,EUR
637,development,EUR
638,future_holdout,EUR
639,future_holdout,EUR
640,validation,EUR
641,validation,EUR
642,development,EUR
643,future_holdout,EUR
644,development,EUR
645,development,EUR
646,future_holdout,EUR
647,development,EUR
648,development,EUR
649,development,EUR
650,development,EUR
651,development,EUR
652,validation,EUR
653,validation,EUR
654,development,EUR
655,validation,EUR
656,development,EUR
657,validation,EUR
658,validation,EUR
659,development,EUR
660,development,EUR
661,future_holdout,EUR
662,validation,EUR
663,development,EUR
664,future_holdout,EUR
665,development,EUR
666,future_holdout,EUR
667,validation,EUR
668,development,EUR
669,future_holdout,EUR
670,development,EUR
671,validation,EUR
672,validation,EUR
673,development,EUR
674,future_holdout,EUR
675,development,EUR
676,development,EUR
677,development,EUR
678,future_holdout,EUR
679,development,EUR
680,development,EUR
681,development,EUR
682,future_holdout,EUR
683,validation,EUR
684,validation,EUR
685,development,EUR
686,validation,EUR
687,future_holdout,EUR
688,development,EUR
689,development,EUR
690,future_holdout,EUR
691,development,EUR
692,development,EUR
693,development,EUR
694,validation,EUR
695,future_holdout,EUR
696,development,EUR
697,development,EUR
698,validation,EUR
699,development,EUR
700,development,EUR
701,validation,EUR
702,development,EUR
703,future_holdout,EUR
704,validation,EUR
705,development,EUR
706,validation,EUR
707,development,EUR
708,future_holdout,EUR
709,future_holdout,EUR
710,development,EUR
711,development,EUR
712,development,EUR
713,validation,EUR
714,development,EUR
715,development,EUR
716,development,EUR
717,development,EUR
718,development,EUR
719,development,EUR
720,development,EUR
721,future_holdout,EUR
722,validation,EUR
723,future_holdout,EUR
724,development,EUR
725,validation,EUR
726,validation,EUR
727,future_holdout,EUR
728,future_holdout,EUR
729,development,EUR
730,validation,EUR
731,future_holdout,EUR
732,development,EUR
733,development,EUR
734,validation,EUR
735,development,EUR
736,development,EUR
737,future_holdout,EUR
738,validation,EUR
739,development,EUR
740,future_holdout,EUR
741,development,EUR
742,development,EUR
743,validation,EUR
744,development,EUR
745,development,EUR
746,future_holdout,EUR
747,future_holdout,EUR
748,validation,EUR
749,development,EUR
750,development,EUR
751,development,EUR
752,validation,EUR
753,future_holdout,EUR
754,development,EUR
755,validation,EUR
756,development,EUR
757,development,EUR
758,future_holdout,EUR
759,validation,EUR
760,development,EUR
761,development,EUR
762,future_holdout,EUR
763,development,EUR
764,development,EUR
765,future_holdout,EUR
766,future_holdout,EUR
767,validation,EUR
768,future_holdout,EUR
769,development,EUR
770,future_holdout,EUR
771,development,EUR
772,future_holdout,EUR
773,development,EUR
774,validation,EUR
775,validation,EUR
776,future_holdout,EUR
777,validation,EUR
778,validation,EUR
779,development,EUR
780,validation,EUR
781,validation,EUR
782,validation,EUR
783,future_holdout,EUR
784,development,EUR
785,validation,EUR
786,development,EUR
787,validation,EUR
788,future_holdout,EUR
789,development,EUR
790,validation,EUR
791,development,EUR
792,future_holdout,EUR
793,validation,EUR
794,validation,EUR
795,development,EUR
796,validation,EUR
797,validation,EUR
798,validation,EUR
799,development,EUR
800,development,EUR
801,future_holdout,EUR
802,future_holdout,EUR
803,future_holdout,EUR
804,development,EUR
805,future_holdout,EUR
806,future_holdout,EUR
807,development,EUR
808,development,EUR
809,development,EUR
810,future_holdout,EUR
811,future_holdout,EUR
812,future_holdout,EUR
813,development,EUR
814,development,EUR
815,development,EUR
816,development,EUR
817,development,EUR
818,future_holdout,EUR
819,development,EUR
820,development,EUR
821,development,EUR
822,development,EUR
823,validation,EUR
824,development,EUR
825,future_holdout,EUR
826,future_holdout,EUR
827,development,EUR
828,development,EUR
829,development,EUR
830,validation,EUR
831,future_holdout,EUR
832,development,EUR
833,development,EUR
834,development,EUR
835,development,EUR
836,future_holdout,EUR
837,development,EUR
838,future_holdout,EUR
839,development,EUR
840,development,EUR
841,validation,EUR
842,development,EUR
843,development,EUR
844,development,EUR
845,validation,EUR
846,validation,EUR
847,development,EUR
848,development,EUR
849,development,EUR
850,development,EUR
851,future_holdout,EUR
852,validation,EUR
853,validation,EUR
854,development,EUR
855,development,EUR
856,future_holdout,EUR
857,development,EUR
858,development,EUR
859,validation,EUR
860,development,EUR
861,validation,EUR
862,validation,EUR
863,development,EUR
864,development,EUR
865,validation,EUR
866,development,EUR
867,development,EUR
868,development,EUR
869,development,EUR
870,development,EUR
871,validation,EUR
872,development,EUR
873,development,EUR
874,development,EUR
875,validation,EUR
876,future_holdout,EUR
877,development,EUR
878,future_holdout,EUR
879,future_holdout,EUR
880,validation,EUR
881,development,EUR
882,development,EUR
883,future_holdout,EUR
884,future_holdout,EUR
885,development,EUR
886,future_holdout,EUR
887,development,EUR
888,development,EUR
889,development,EUR
890,future_holdout,EUR
891,development,EUR
892,development,EUR
893,development,EUR
894,future_holdout,EUR
895,future_holdout,EUR
896,development,EUR
