booking_id,booking_date,split_label,outcomes_final
SYN-00001,2024-07-09,development,true
SYN-00002,2025-01-21,validation,true
SYN-00003,2025-08-07,future_holdout,true
SYN-00004,2025-06-26,validation,true
SYN-00005,2025-10-04,future_holdout,true
SYN-00006,2024-05-03,development,true
SYN-00007,2025-02-13,validation,true
SYN-00008,2024-01-24,development,true
SYN-00009,2024-05-04,development,true
SYN-00010,2025-10-24,future_holdout,true
SYN-00011,2025-10-08,future_holdout,true
SYN-00012,2025-06-05,validation,true
SYN-00013,2025-08-20,future_holdout,true
SYN-00014,2024-01-11,development,true
SYN-00015,2025-08-19,future_holdout,true
SYN-00016,2025-04-23,validation,true
SYN-00017,2024-09-28,development,true
SYN-00018,2025-06-25,validation,true
SYN-00019,2025-05-15,validation,true
SYN-00020,2025-02-08,validation,true
SYN-00021,2025-08-17,future_holdout,true
SYN-00022,2025-01-22,validation,true
SYN-00023,2025-12-16,future_holdout,true
SYN-00024,2024-10-18,development,true
SYN-00025,2024-02-16,development,true
SYN-00026,2025-03-21,validation,true
SYN-00027,2025-06-09,validation,true
SYN-00028,2024-07-18,development,true
SYN-00029,2025-10-11,future_holdout,true
SYN-00030,2024-03-06,development,true
SYN-00031,2024-03-14,development,true
SYN-00032,2025-03-15,validation,true
SYN-00033,2025-02-08,validation,true
SYN-00034,2025-03-20,validation,true
SYN-00035,2025-08-02,future_holdout,true
SYN-00036,2024-11-10,development,true
SYN-00037,2024-05-12,development,true
SYN-00038,2024-03-01,development,true
SYN-00039,2024-02-18,development,true
SYN-00040,2025-06-09,validation,true
SYN-00041,2025-04-14,validation,true
SYN-00042,2024-09-09,development,true
SYN-00043,2024-06-21,development,true
SYN-00044,2025-08-08,future_holdout,true
SYN-00045,2024-01-02,development,true
SYN-00046,2024-12-11,development,true
SYN-00047,2025-10-22,future_holdout,true
SYN-00048,2025-09-01,future_holdout,true
SYN-00049,2025-03-01,validation,true
SYN-00050,2025-04-01,validation,true
SYN-00051,2024-10-27,development,true
SYN-00052,2025-03-05,validation,true
SYN-00053,2024-12-26,development,true
SYN-00054,2025-02-23,validation,true
SYN-00055,2024-05-28,development,true
SYN-00056,2025-03-03,validation,true
SYN-00057,2024-10-27,development,true
SYN-00058,2025-11-15,future_holdout,true
SYN-00059,2025-10-22,future_holdout,true
SYN-00060,2025-10-18,future_holdout,true
SYN-00061,2024-01-24,development,true
SYN-00062,2024-04-05,development,true
SYN-00063,2025-09-02,future_holdout,true
SYN-00064,2024-10-07,development,true
SYN-00065,2024-01-30,development,true
SYN-00066,2025-04-04,validation,true
SYN-00067,2025-09-17,future_holdout,true
SYN-00068,2025-07-09,future_holdout,true
SYN-00069,2025-08-09,future_holdout,true
SYN-00070,2024-09-02,development,true
SYN-00071,2024-12-26,development,true
SYN-00072,2024-02-13,development,true
SYN-00073,2025-10-03,future_holdout,true
SYN-00074,2025-05-01,validation,true
SYN-00075,2024-12-14,development,true
SYN-00076,2024-12-02,development,true
SYN-00077,2025-02-17,validation,true
SYN-00078,2025-04-14,validation,true
SYN-00079,2025-02-23,validation,true
SYN-00080,2025-03-26,validation,true
SYN-00081,2025-03-03,validation,true
SYN-00082,2025-04-01,validation,true
SYN-00083,2024-04-16,development,true
SYN-00084,2024-04-16,development,true
SYN-00085,2024-11-28,development,true
SYN-00086,2024-01-18,development,true
SYN-00087,2025-08-22,future_holdout,true
SYN-00088,2024-03-20,development,true
SYN-00089,2024-08-07,development,true
SYN-00090,2025-10-27,future_holdout,true
SYN-00091,2024-03-20,development,true
SYN-00092,2024-10-21,development,true
SYN-00093,2025-11-05,future_holdout,true
SYN-00094,2025-08-08,future_holdout,true
SYN-00095,2024-07-15,development,true
SYN-00096,2025-06-14,validation,true
SYN-00097,2025-01-09,validation,true
SYN-00098,2025-09-02,future_holdout,true
SYN-00099,2025-04-19,validation,true
SYN-00100,2025-03-08,validation,true
SYN-00101,2024-11-30,development,true
SYN-00102,2025-02-11,validation,true
SYN-00103,2025-10-18,future_holdout,true
SYN-00104,2024-07-12,development,true
SYN-00105,2025-06-19,validation,true
SYN-00106,2024-04-16,development,true
SYN-00107,2025-07-09,future_holdout,true
SYN-00108,2025-12-13,future_holdout,true
SYN-00109,2024-06-02,development,true
SYN-00110,2024-08-29,development,true
SYN-00111,2025-11-24,future_holdout,true
SYN-00112,2025-11-04,future_holdout,true
SYN-00113,2024-08-30,development,true
SYN-00114,2024-03-20,development,true
SYN-00115,2024-07-26,development,true
SYN-00116,2024-09-06,development,true
SYN-00117,2024-12-17,development,true
SYN-00118,2024-06-27,development,true
SYN-00119,2025-04-01,validation,true
SYN-00120,2024-11-28,development,true
SYN-00121,2024-11-14,development,true
SYN-00122,2024-10-28,development,true
SYN-00123,2024-10-27,development,true
SYN-00124,2025-11-21,future_holdout,true
SYN-00125,2025-07-27,future_holdout,true
SYN-00126,2024-10-05,development,true
SYN-00127,2024-10-20,development,true
SYN-00128,2024-09-07,development,true
SYN-00129,2025-04-08,validation,true
SYN-00130,2024-08-26,development,true
SYN-00131,2024-03-26,development,true
SYN-00132,2024-09-02,development,true
SYN-00133,2025-02-26,validation,true
SYN-00134,2025-11-28,future_holdout,true
SYN-00135,2024-01-02,development,true
SYN-00136,2024-12-25,development,true
SYN-00137,2025-11-22,future_holdout,true
SYN-00138,2025-01-26,validation,true
SYN-00139,2024-08-06,development,true
SYN-00140,2024-07-27,development,true
SYN-00141,2025-11-28,future_holdout,true
SYN-00142,2025-08-31,future_holdout,true
SYN-00143,2024-05-02,development,true
SYN-00144,2025-07-15,future_holdout,true
SYN-00145,2024-03-20,development,true
SYN-00146,2024-07-01,development,true
SYN-00147,2025-08-13,future_holdout,true
SYN-00148,2025-11-28,future_holdout,true
SYN-00149,2025-06-05,validation,true
SYN-00150,2024-08-27,development,true
SYN-00151,2024-10-15,development,true
SYN-00152,2025-02-20,validation,true
SYN-00153,2025-03-06,validation,true
SYN-00154,2024-06-05,development,true
SYN-00155,2025-01-09,validation,true
SYN-00156,2025-05-15,validation,true
SYN-00157,2025-11-27,future_holdout,true
SYN-00158,2025-06-05,validation,true
SYN-00159,2024-04-26,development,true
SYN-00160,2024-12-07,development,true
SYN-00161,2024-01-07,development,true
SYN-00162,2024-02-03,development,true
SYN-00163,2024-08-03,development,true
SYN-00164,2024-04-06,development,true
SYN-00165,2025-11-13,future_holdout,true
SYN-00166,2025-06-22,validation,true
SYN-00167,2024-10-27,development,true
SYN-00168,2025-09-11,future_holdout,true
SYN-00169,2024-09-12,development,true
SYN-00170,2025-07-24,future_holdout,true
SYN-00171,2024-07-25,development,true
SYN-00172,2025-06-27,validation,true
SYN-00173,2025-09-08,future_holdout,true
SYN-00174,2024-10-06,development,true
SYN-00175,2025-01-01,validation,true
SYN-00176,2025-02-19,validation,true
SYN-00177,2025-08-05,future_holdout,true
SYN-00178,2024-02-15,development,true
SYN-00179,2025-03-21,validation,true
SYN-00180,2025-01-18,validation,true
SYN-00181,2024-12-07,development,true
SYN-00182,2024-02-29,development,true
SYN-00183,2025-01-27,validation,true
SYN-00184,2025-01-03,validation,true
SYN-00185,2025-04-03,validation,true
SYN-00186,2024-12-29,development,true
SYN-00187,2025-11-21,future_holdout,true
SYN-00188,2025-01-17,validation,true
SYN-00189,2025-02-18,validation,true
SYN-00190,2025-09-29,future_holdout,true
SYN-00191,2024-12-24,development,true
SYN-00192,2024-10-31,development,true
SYN-00193,2024-12-23,development,true
SYN-00194,2025-08-17,future_holdout,true
SYN-00195,2025-03-26,validation,true
SYN-00196,2025-08-16,future_holdout,true
SYN-00197,2024-01-18,development,true
SYN-00198,2025-01-05,validation,true
SYN-00199,2024-08-10,development,true
SYN-00200,2024-02-14,development,true
SYN-00201,2024-04-19,development,true
SYN-00202,2024-11-11,development,true
SYN-00203,2025-01-10,validation,true
SYN-00204,2025-12-07,future_holdout,true
SYN-00205,2025-09-22,future_holdout,true
SYN-00206,2024-06-03,development,true
SYN-00207,2024-01-11,development,true
SYN-00208,2024-09-21,development,true
SYN-00209,2024-01-01,development,true
SYN-00210,2025-10-16,future_holdout,true
SYN-00211,2025-05-21,validation,true
SYN-00212,2024-04-12,development,true
SYN-00213,2025-11-07,future_holdout,true
SYN-00214,2024-01-22,development,true
SYN-00215,2025-01-09,validation,true
SYN-00216,2025-03-24,validation,true
SYN-00217,2024-05-02,development,true
SYN-00218,2024-09-03,development,true
SYN-00219,2024-04-11,development,true
SYN-00220,2024-07-30,development,true
SYN-00221,2025-10-03,future_holdout,true
SYN-00222,2024-07-05,development,true
SYN-00223,2024-03-04,development,true
SYN-00224,2025-06-02,validation,true
SYN-00225,2025-07-14,future_holdout,true
SYN-00226,2025-08-16,future_holdout,true
SYN-00227,2025-03-25,validation,true
SYN-00228,2024-02-07,development,true
SYN-00229,2024-03-30,development,true
SYN-00230,2025-12-12,future_holdout,true
SYN-00231,2025-11-06,future_holdout,true
SYN-00232,2025-02-27,validation,true
SYN-00233,2025-05-29,validation,true
SYN-00234,2024-05-04,development,true
SYN-00235,2024-03-29,development,true
SYN-00236,2025-05-31,validation,true
SYN-00237,2025-09-26,future_holdout,true
SYN-00238,2025-08-07,future_holdout,true
SYN-00239,2024-11-27,development,true
SYN-00240,2024-01-11,development,true
SYN-00241,2024-11-19,development,true
SYN-00242,2025-03-27,validation,true
SYN-00243,2025-10-06,future_holdout,true
SYN-00244,2025-05-27,validation,true
SYN-00245,2024-04-17,development,true
SYN-00246,2024-06-10,development,true
SYN-00247,2025-04-11,validation,true
SYN-00248,2025-06-18,validation,true
SYN-00249,2025-02-28,validation,true
SYN-00250,2024-03-27,development,true
SYN-00251,2024-12-01,development,true
SYN-00252,2024-09-25,development,true
SYN-00253,2025-09-20,future_holdout,true
SYN-00254,2024-05-24,development,true
SYN-00255,2025-02-23,validation,true
SYN-00256,2024-08-04,development,true
SYN-00257,2024-09-02,development,true
SYN-00258,2024-10-16,development,true
SYN-00259,2024-07-16,development,true
SYN-00260,2024-06-22,development,true
SYN-00261,2025-10-29,future_holdout,true
SYN-00262,2025-01-01,validation,true
SYN-00263,2025-02-05,validation,true
SYN-00264,2024-04-18,development,true
SYN-00265,2024-07-30,development,true
SYN-00266,2025-09-16,future_holdout,true
SYN-00267,2024-08-17,development,true
SYN-00268,2024-07-06,development,true
SYN-00269,2024-12-11,development,true
SYN-00270,2025-09-27,future_holdout,true
