booking_id,customer_id,booking_date,travel_date,destination,supplier,product_category,customer_price_eur,quoted_cost_eur,discount_rate,manager,acquisition_channel,customer_segment,customer_type,party_size,trip_duration_days,booking_lead_days,payment_method,installments,manual_exception,currency,cancellation,refund_amount_eur,refund_date,booking_changes,support_cases,support_cost_eur,additional_cost_eur,gross_profit_eur,contribution_margin_eur,repeat_purchase_180d,last_modified_at
SYN-00001,SYN-CUST-0001,2024-07-09,2024-09-20,Tokyo,BlueWing,standard,2955.92,2166.17,0.08,Manager 8,referral,leisure,returning,3,9,73,card,2,False,EUR,False,0.0,,0,0,0.0,106.24,553.28,387.92,False,2024-11-05
SYN-00002,SYN-CUST-0562,2025-01-21,2025-04-16,Zanzibar,DeltaSun,luxury,5679.76,4491.09,0.05,Manager 2,partner,family,new,3,11,85,bank_transfer,1,False,EUR,False,0.0,,1,0,0.0,94.19,904.69,742.33,True,2025-03-24
SYN-00003,SYN-CUST-1123,2025-08-07,2025-11-02,Rome,BlueWing,premium,3069.66,2383.15,0.12,Manager 1,paid_search,family,new,6,5,87,card,1,False,EUR,False,0.0,,0,0,0.0,26.71,318.15,254.61,False,2025-10-07
SYN-00004,SYN-CUST-1684,2025-06-26,2025-06-28,Rome,BlueWing,STANDARD,2280.94,1617.9,0.08,Manager 5,direct,leisure,new,1,11,2,card,1,False,EUR,False,0.0,,0,0,0.0,84.91,480.56,368.28,False,2025-10-10
SYN-00005,SYN-CUST-2245,2025-10-04,2025-12-06,Lisbon,Cedar,standard,2692.53,1887.79,0.05,Manager 5,partner,leisure,new,2,15,63,card,1,False,EUR,False,0.0,,0,0,0.0,87.27,670.11,550.54,False,2025-11-28
SYN-00006,SYN-CUST-2806,2024-05-03,2024-07-03,Tokyo,Cedar,premium,4507.6,3409.12,0.0,Manager 7,partner,leisure,returning,3,4,61,bank_transfer,1,False,EUR,False,0.0,,0,1,45.5,108.55,1098.48,890.34,False,2024-08-08
SYN-00007,SYN-CUST-0167,2025-02-13,2025-03-30,Lisbon,DeltaSun,standard,1767.83,1316.61,0.08,Manager 3,paid_search,leisure,returning,2,3,45,card,1,False,EUR,False,0.0,,0,0,0.0,154.81,309.8,133.77,False,2025-05-31
SYN-00008,SYN-CUST-0728,2024-01-24,2024-04-22,Tokyo,BlueWing,premium,2325.63,1751.31,0.08,Manager 2,direct,leisure,returning,2,5,89,card,1,False,EUR,False,0.0,,1,0,0.0,0.0,388.26,360.36,True,2024-02-16
SYN-00009,SYN-CUST-1289,2024-05-04,2024-07-19,Lisbon,Atlas,premium,3384.69,2564.26,0.0,Manager 2,referral,leisure,new,3,14,76,bank_transfer,1,False,EUR,False,0.0,,0,0,0.0,119.38,820.42,660.42,False,2024-05-27
SYN-00010,SYN-CUST-1850,2025-10-24,2026-01-24,Tokyo,Cedar,premium,4311.9,3114.39,0.08,Manager 6,partner,corporate,new,2,9,92,card,3,False,EUR,False,0.0,,1,0,0.0,59.6,852.56,672.22,False,2025-11-05
SYN-00011,SYN-CUST-2411,2025-10-08,2025-12-20,Tokyo,Atlas,premium,2349.0,1876.33,0.12,Manager 2,direct,leisure,new,2,10,73,wallet,2,True,EUR,False,0.0,,0,0,0.0,49.25,190.78,94.55,True,2025-11-12
SYN-00012,SYN-CUST-2972,2025-06-05,2025-09-14,Reykjavik,BlueWing,standard,2933.41,1993.35,0.12,Manager 6,partner,leisure,returning,2,9,101,card,1,False,EUR,False,0.0,,0,0,0.0,58.15,588.06,494.7,,2025-09-29
SYN-00013,SYN-CUST-0333,2025-08-20,2025-10-16,Rome,Cedar,standard,2230.21,1630.33,0.08,Manager 4,partner,family,returning,6,9,57,card,3,False,EUR,False,0.0,,0,0,0.0,426.45,421.47,-67.43,False,2025-11-09
