deal_created_date,lead_source,industry,company_size_band,deal_size_usd,sales_rep,sales_region,product_line,discount_requested_pct,competitor_involved,lead_score,decision_maker_engaged
2024-12-08,referral,finance,medium,25728.76,Rep 7,Region East,Suite,22.7,false,67,true
2024-06-20,webinar,manufacturing,large,63519.88,Rep 2,Region East,Platform,22.5,true,34,false
2025-10-01,referral,finance,large,61348.82,Rep 7,Region East,Suite,21.02,false,66,true
2025-02-08,referral,healthcare,small,8974.96,Rep 4,Region South,Platform,14.76,false,72,true
2024-11-29,referral,finance,enterprise,162384.34,Rep 6,Region East,Standalone,23.81,true,34,true
2024-08-17,organic,healthcare,medium,23983.57,Rep 6,Region Central,Standalone,3.66,false,53,false
2025-04-02,cold_call,finance,medium,27535.42,Rep 2,Region East,Standalone,23.64,false,70,true
2025-03-02,referral,manufacturing,medium,30049.52,Rep 1,Region Central,Platform,23.71,false,53,false
2025-01-28,cold_call,finance,small,8333.34,Rep 7,Region East,Platform,21.97,true,59,false
2024-07-25,referral,retail,medium,19030.42,Rep 1,Region West,Platform,26.89,true,44,true
2025-01-26,organic,retail,small,9836.2,Rep 4,Region West,Platform,3.96,false,55,false
2024-06-09,webinar,manufacturing,small,7345.79,Rep 8,Region Central,Platform,18.79,false,71,true
2024-12-17,webinar,manufacturing,large,53600.63,Rep 4,Region South,Suite,0.0,false,53,false
2024-09-27,organic,manufacturing,large,55989.27,Rep 2,Region West,Suite,9.95,false,71,true
2025-05-13,cold_call,manufacturing,small,9977.56,Rep 1,Region East,Platform,16.08,false,97,true
2024-05-13,referral,healthcare,medium,20715.12,Rep 2,Region Central,Platform,0.0,false,51,true
2024-11-06,cold_call,finance,small,8133.45,Rep 1,Region East,Platform,0.0,false,67,true
2025-03-06,cold_call,retail,large,74543.75,Rep 2,Region West,Platform,9.02,false,65,true
2025-01-31,webinar,manufacturing,medium,20385.3,Rep 7,Region West,Standalone,18.55,false,82,true
2024-06-04,referral,tech,medium,24494.63,Rep 8,Region South,Platform,0.0,false,84,false
2024-11-27,organic,healthcare,large,51174.03,Rep 7,Region Central,Platform,8.09,false,61,false
2025-03-02,paid,finance,large,44829.31,Rep 8,Region East,Standalone,14.76,true,57,false
2025-12-25,referral,tech,large,64021.71,Rep 3,Region West,Standalone,34.2,true,63,false
2024-12-16,paid,manufacturing,medium,25414.5,Rep 3,Region West,Platform,13.82,false,43,false
2024-03-15,referral,retail,small,7387.98,Rep 8,Region South,Platform,14.82,false,83,true
2025-05-08,referral,tech,medium,24463.07,Rep 6,Region West,Suite,22.19,true,42,false
2024-05-05,cold_call,tech,small,7860.47,Rep 2,Region East,Platform,17.68,false,99,true
2024-01-26,referral,manufacturing,enterprise,147169.14,Rep 2,Region South,Platform,21.7,false,58,true
2024-06-25,paid,tech,enterprise,150531.63,Rep 3,Region Central,Suite,10.33,false,92,true
2024-08-18,cold_call,manufacturing,small,7181.24,Rep 7,Region East,Platform,17.84,false,81,true
2024-01-20,webinar,finance,small,8597.59,Rep 6,Region East,Platform,12.38,false,58,false
2024-03-25,organic,healthcare,large,61797.47,Rep 7,Region West,Suite,19.37,true,56,false
2025-06-02,paid,tech,large,65619.93,Rep 8,Region South,Standalone,3.58,true,53,false
2025-09-28,referral,manufacturing,small,6564.1,Rep 5,Region South,Platform,21.04,false,80,true
2025-06-04,paid,tech,large,45472.2,Rep 1,Region West,Standalone,10.62,false,95,true
2024-04-08,cold_call,finance,small,6577.22,Rep 3,Region East,Platform,6.36,true,67,true
2025-07-24,cold_call,finance,large,57342.83,Rep 7,Region East,Platform,0.0,false,76,false
2024-06-06,referral,finance,large,58878.11,Rep 3,Region East,Platform,5.39,true,80,true
2024-02-06,webinar,finance,medium,25433.38,Rep 6,Region South,Platform,13.56,true,66,true
