deal_id,account_id
DEAL-00001,DEAL-ACC-0001
DEAL-00002,DEAL-ACC-2162
DEAL-00003,DEAL-ACC-1723
DEAL-00004,DEAL-ACC-1284
DEAL-00005,DEAL-ACC-0845
DEAL-00006,DEAL-ACC-0406
DEAL-00007,DEAL-ACC-2567
DEAL-00008,DEAL-ACC-2128
DEAL-00009,DEAL-ACC-1689
DEAL-00010,DEAL-ACC-1250
DEAL-00011,DEAL-ACC-0811
DEAL-00012,DEAL-ACC-0372
DEAL-00013,DEAL-ACC-2533
DEAL-00014,DEAL-ACC-2094
DEAL-00015,DEAL-ACC-1655
DEAL-00016,DEAL-ACC-1216
DEAL-00017,DEAL-ACC-0777
DEAL-00018,DEAL-ACC-0338
DEAL-00019,DEAL-ACC-2499
DEAL-00020,DEAL-ACC-2060
DEAL-00021,DEAL-ACC-1621
DEAL-00022,DEAL-ACC-1182
DEAL-00023,DEAL-ACC-0743
DEAL-00024,DEAL-ACC-0304
DEAL-00025,DEAL-ACC-2465
DEAL-00026,DEAL-ACC-2026
DEAL-00027,DEAL-ACC-1587
DEAL-00028,DEAL-ACC-1148
DEAL-00029,DEAL-ACC-0709
DEAL-00030,DEAL-ACC-0270
DEAL-00031,DEAL-ACC-2431
DEAL-00032,DEAL-ACC-1992
DEAL-00033,DEAL-ACC-1553
DEAL-00034,DEAL-ACC-1114
DEAL-00035,DEAL-ACC-0675
DEAL-00036,DEAL-ACC-0236
DEAL-00037,DEAL-ACC-2397
DEAL-00038,DEAL-ACC-1958
DEAL-00039,DEAL-ACC-1519
DEAL-00040,DEAL-ACC-1080
DEAL-00041,DEAL-ACC-0641
DEAL-00042,DEAL-ACC-0202
DEAL-00043,DEAL-ACC-2363
DEAL-00044,DEAL-ACC-1924
DEAL-00045,DEAL-ACC-1485
DEAL-00046,DEAL-ACC-1046
DEAL-00047,DEAL-ACC-0607
DEAL-00048,DEAL-ACC-0168
DEAL-00049,DEAL-ACC-2329
DEAL-00050,DEAL-ACC-1890
DEAL-00051,DEAL-ACC-1451
DEAL-00052,DEAL-ACC-1012
DEAL-00053,DEAL-ACC-0573
DEAL-00054,DEAL-ACC-0134
DEAL-00055,DEAL-ACC-2295
DEAL-00056,DEAL-ACC-1856
DEAL-00057,DEAL-ACC-1417
DEAL-00058,DEAL-ACC-0978
DEAL-00059,DEAL-ACC-0539
DEAL-00060,DEAL-ACC-0100
DEAL-00061,DEAL-ACC-2261
DEAL-00062,DEAL-ACC-1822
DEAL-00063,DEAL-ACC-1383
DEAL-00064,DEAL-ACC-0944
DEAL-00065,DEAL-ACC-0505
DEAL-00066,DEAL-ACC-0066
DEAL-00067,DEAL-ACC-2227
DEAL-00068,DEAL-ACC-1788
DEAL-00069,DEAL-ACC-1349
DEAL-00070,DEAL-ACC-0910
DEAL-00071,DEAL-ACC-0471
DEAL-00072,DEAL-ACC-0032
DEAL-00073,DEAL-ACC-2193
DEAL-00074,DEAL-ACC-1754
DEAL-00075,DEAL-ACC-1315
DEAL-00076,DEAL-ACC-0876
DEAL-00077,DEAL-ACC-0437
DEAL-00078,DEAL-ACC-2598
DEAL-00079,DEAL-ACC-2159
DEAL-00080,DEAL-ACC-1720
DEAL-00081,DEAL-ACC-1281
