source_row_number,split_label,source_currency
1,development,USD
2,development,USD
3,future_holdout,USD
4,validation,USD
5,development,USD
6,development,USD
7,validation,USD
8,validation,USD
9,validation,USD
10,development,USD
11,validation,USD
12,development,USD
13,development,USD
14,development,USD
15,validation,USD
16,development,USD
17,development,USD
18,validation,USD
19,validation,USD
20,development,USD
21,development,USD
22,validation,USD
23,future_holdout,USD
24,development,USD
25,development,USD
26,validation,USD
27,development,USD
28,development,USD
29,development,USD
30,development,USD
31,development,USD
32,development,USD
33,validation,USD
34,future_holdout,USD
35,validation,USD
36,development,USD
37,future_holdout,USD
38,development,USD
39,development,USD
40,development,USD
41,development,USD
42,future_holdout,USD
43,development,USD
44,validation,USD
45,development,USD
46,development,USD
47,development,USD
48,validation,USD
49,validation,USD
50,validation,USD
51,development,USD
52,development,USD
53,development,USD
54,development,USD
55,development,USD
56,development,USD
57,development,USD
58,development,USD
59,development,USD
60,development,USD
61,future_holdout,USD
62,future_holdout,USD
63,validation,USD
64,development,USD
65,validation,USD
66,development,USD
67,future_holdout,USD
68,future_holdout,USD
69,development,USD
70,future_holdout,USD
71,development,USD
72,development,USD
73,validation,USD
74,development,USD
75,development,USD
76,development,USD
77,future_holdout,USD
78,future_holdout,USD
79,future_holdout,USD
80,validation,USD
81,validation,USD
82,future_holdout,USD
83,future_holdout,USD
84,development,USD
85,future_holdout,USD
86,validation,USD
87,development,USD
88,development,USD
89,development,USD
90,development,USD
91,development,USD
92,development,USD
93,development,USD
94,future_holdout,USD
95,development,USD
96,development,USD
97,validation,USD
98,future_holdout,USD
99,validation,USD
100,future_holdout,USD
101,future_holdout,USD
102,development,USD
103,future_holdout,USD
104,development,USD
105,validation,USD
106,development,USD
107,validation,USD
108,future_holdout,USD
109,development,USD
110,development,USD
111,validation,USD
112,development,USD
113,validation,USD
114,future_holdout,USD
115,validation,USD
116,future_holdout,USD
117,future_holdout,USD
118,development,USD
119,development,USD
120,development,USD
121,development,USD
122,validation,USD
123,development,USD
124,validation,USD
125,development,USD
126,development,USD
127,development,USD
128,validation,USD
129,validation,USD
130,development,USD
131,future_holdout,USD
132,validation,USD
133,validation,USD
134,future_holdout,USD
135,development,USD
136,development,USD
137,future_holdout,USD
138,development,USD
139,future_holdout,USD
140,future_holdout,USD
141,future_holdout,USD
142,development,USD
143,development,USD
144,development,USD
145,development,USD
146,development,USD
147,development,USD
148,development,USD
149,development,USD
150,future_holdout,USD
151,development,USD
152,development,USD
153,future_holdout,USD
154,development,USD
155,development,USD
156,validation,USD
157,development,USD
158,future_holdout,USD
159,development,USD
160,development,USD
161,development,USD
162,development,USD
163,development,USD
164,validation,USD
165,development,USD
166,development,USD
167,development,USD
168,development,USD
169,development,USD
170,development,USD
171,development,USD
172,future_holdout,USD
173,validation,USD
174,development,USD
175,development,USD
176,development,USD
177,validation,USD
178,development,USD
179,development,USD
180,development,USD
181,development,USD
182,development,USD
183,validation,USD
184,development,USD
185,development,USD
186,development,USD
187,development,USD
188,validation,USD
189,future_holdout,USD
190,future_holdout,USD
191,future_holdout,USD
192,future_holdout,USD
193,validation,USD
194,development,USD
195,future_holdout,USD
196,development,USD
197,development,USD
198,validation,USD
199,future_holdout,USD
200,validation,USD
201,development,USD
202,validation,USD
203,future_holdout,USD
204,validation,USD
205,development,USD
206,development,USD
207,development,USD
208,validation,USD
209,development,USD
210,development,USD
211,development,USD
212,future_holdout,USD
213,development,USD
214,development,USD
215,future_holdout,USD
216,validation,USD
217,validation,USD
218,development,USD
219,future_holdout,USD
220,validation,USD
221,development,USD
222,development,USD
223,development,USD
224,development,USD
225,validation,USD
226,development,USD
227,future_holdout,USD
228,validation,USD
229,future_holdout,USD
230,future_holdout,USD
231,development,USD
232,development,USD
233,development,USD
234,future_holdout,USD
235,future_holdout,USD
236,development,USD
237,future_holdout,USD
238,development,USD
239,future_holdout,USD
240,development,USD
241,validation,USD
242,validation,USD
243,development,USD
244,validation,USD
245,future_holdout,USD
246,validation,USD
247,future_holdout,USD
248,future_holdout,USD
249,development,USD
250,development,USD
251,development,USD
252,development,USD
253,development,USD
254,validation,USD
255,validation,USD
256,validation,USD
257,development,USD
258,development,USD
259,development,USD
260,development,USD
261,development,USD
262,future_holdout,USD
263,future_holdout,USD
264,future_holdout,USD
265,future_holdout,USD
266,development,USD
267,validation,USD
268,development,USD
269,development,USD
270,development,USD
271,development,USD
272,validation,USD
273,development,USD
274,validation,USD
275,development,USD
276,future_holdout,USD
277,validation,USD
278,validation,USD
279,future_holdout,USD
280,validation,USD
281,development,USD
282,development,USD
283,development,USD
284,future_holdout,USD
285,future_holdout,USD
286,development,USD
287,development,USD
288,validation,USD
289,validation,USD
290,validation,USD
291,development,USD
292,validation,USD
293,future_holdout,USD
294,validation,USD
295,development,USD
296,development,USD
297,development,USD
298,development,USD
299,development,USD
300,development,USD
301,future_holdout,USD
302,development,USD
303,future_holdout,USD
304,development,USD
305,validation,USD
306,development,USD
307,future_holdout,USD
308,development,USD
309,validation,USD
310,future_holdout,USD
311,future_holdout,USD
312,development,USD
313,future_holdout,USD
314,development,USD
315,validation,USD
316,development,USD
317,validation,USD
318,future_holdout,USD
319,development,USD
320,development,USD
321,future_holdout,USD
322,future_holdout,USD
323,development,USD
324,validation,USD
325,validation,USD
326,future_holdout,USD
327,future_holdout,USD
328,future_holdout,USD
329,development,USD
330,development,USD
331,development,USD
332,development,USD
333,future_holdout,USD
334,validation,USD
335,validation,USD
336,development,USD
337,development,USD
338,development,USD
339,development,USD
340,validation,USD
341,development,USD
342,development,USD
343,validation,USD
344,development,USD
345,validation,USD
346,development,USD
347,development,USD
348,development,USD
349,validation,USD
350,validation,USD
351,development,USD
352,development,USD
353,development,USD
354,development,USD
355,future_holdout,USD
356,development,USD
357,development,USD
358,future_holdout,USD
359,future_holdout,USD
360,validation,USD
361,future_holdout,USD
362,development,USD
363,validation,USD
364,future_holdout,USD
365,development,USD
366,validation,USD
367,future_holdout,USD
368,validation,USD
369,development,USD
370,validation,USD
371,development,USD
372,development,USD
373,development,USD
374,development,USD
375,development,USD
376,development,USD
377,development,USD
378,future_holdout,USD
379,validation,USD
380,development,USD
381,future_holdout,USD
382,development,USD
383,future_holdout,USD
384,development,USD
385,development,USD
386,development,USD
387,future_holdout,USD
388,development,USD
389,future_holdout,USD
390,validation,USD
391,development,USD
392,development,USD
393,development,USD
394,future_holdout,USD
395,validation,USD
396,validation,USD
397,validation,USD
398,validation,USD
399,development,USD
400,development,USD
401,validation,USD
402,development,USD
403,future_holdout,USD
404,future_holdout,USD
405,validation,USD
406,future_holdout,USD
407,future_holdout,USD
408,development,USD
409,future_holdout,USD
410,validation,USD
411,validation,USD
412,validation,USD
413,development,USD
414,validation,USD
415,future_holdout,USD
416,development,USD
417,development,USD
418,development,USD
419,validation,USD
420,validation,USD
421,validation,USD
422,validation,USD
423,development,USD
424,future_holdout,USD
425,future_holdout,USD
426,development,USD
427,validation,USD
428,future_holdout,USD
429,future_holdout,USD
430,validation,USD
431,validation,USD
432,development,USD
433,development,USD
434,future_holdout,USD
435,future_holdout,USD
436,development,USD
437,development,USD
438,validation,USD
439,development,USD
440,development,USD
441,validation,USD
442,validation,USD
443,validation,USD
444,future_holdout,USD
445,future_holdout,USD
446,future_holdout,USD
447,development,USD
448,validation,USD
449,future_holdout,USD
450,development,USD
451,validation,USD
452,development,USD
453,development,USD
454,future_holdout,USD
455,development,USD
456,development,USD
457,validation,USD
458,validation,USD
459,validation,USD
460,development,USD
461,validation,USD
462,development,USD
463,validation,USD
464,validation,USD
465,future_holdout,USD
466,development,USD
467,development,USD
468,development,USD
469,future_holdout,USD
470,validation,USD
471,development,USD
472,future_holdout,USD
473,development,USD
474,development,USD
475,development,USD
476,future_holdout,USD
477,validation,USD
478,validation,USD
479,validation,USD
480,future_holdout,USD
481,development,USD
482,development,USD
483,future_holdout,USD
484,validation,USD
485,future_holdout,USD
486,development,USD
487,development,USD
488,validation,USD
489,development,USD
490,validation,USD
491,validation,USD
492,development,USD
493,validation,USD
494,development,USD
495,development,USD
496,validation,USD
497,development,USD
498,development,USD
499,validation,USD
500,validation,USD
501,development,USD
502,future_holdout,USD
503,development,USD
504,development,USD
505,validation,USD
506,development,USD
507,development,USD
508,validation,USD
509,future_holdout,USD
510,development,USD
511,development,USD
512,development,USD
513,validation,USD
514,development,USD
515,development,USD
516,development,USD
517,future_holdout,USD
518,development,USD
519,development,USD
520,development,USD
521,development,USD
522,development,USD
523,validation,USD
524,development,USD
525,development,USD
526,development,USD
527,validation,USD
528,future_holdout,USD
529,development,USD
530,validation,USD
531,future_holdout,USD
532,validation,USD
533,development,USD
534,development,USD
535,development,USD
536,validation,USD
537,development,USD
538,future_holdout,USD
539,future_holdout,USD
540,validation,USD
541,validation,USD
542,development,USD
543,validation,USD
544,validation,USD
545,development,USD
546,development,USD
547,validation,USD
548,development,USD
549,future_holdout,USD
550,future_holdout,USD
551,validation,USD
552,development,USD
553,future_holdout,USD
554,development,USD
555,validation,USD
556,future_holdout,USD
557,development,USD
558,development,USD
559,development,USD
560,development,USD
561,validation,USD
562,development,USD
563,validation,USD
564,future_holdout,USD
565,development,USD
566,development,USD
567,development,USD
568,future_holdout,USD
569,development,USD
570,validation,USD
571,development,USD
572,future_holdout,USD
573,validation,USD
574,future_holdout,USD
575,development,USD
576,development,USD
577,development,USD
578,development,USD
579,development,USD
580,development,USD
581,future_holdout,USD
582,development,USD
583,validation,USD
584,development,USD
585,development,USD
586,validation,USD
587,future_holdout,USD
588,development,USD
589,development,USD
590,validation,USD
591,validation,USD
592,development,USD
593,development,USD
594,future_holdout,USD
595,future_holdout,USD
596,future_holdout,USD
597,future_holdout,USD
598,validation,USD
599,development,USD
600,validation,USD
601,validation,USD
602,development,USD
603,development,USD
604,validation,USD
605,validation,USD
606,development,USD
607,development,USD
608,future_holdout,USD
609,future_holdout,USD
610,development,USD
611,development,USD
612,development,USD
613,validation,USD
614,future_holdout,USD
615,validation,USD
616,development,USD
617,development,USD
618,development,USD
619,development,USD
620,development,USD
621,development,USD
622,validation,USD
623,development,USD
624,development,USD
625,development,USD
626,validation,USD
627,validation,USD
628,development,USD
629,development,USD
630,validation,USD
631,future_holdout,USD
632,validation,USD
633,validation,USD
634,validation,USD
635,validation,USD
636,future_holdout,USD
637,development,USD
638,development,USD
639,validation,USD
640,future_holdout,USD
641,development,USD
642,development,USD
643,validation,USD
644,future_holdout,USD
645,future_holdout,USD
646,future_holdout,USD
647,development,USD
648,validation,USD
649,validation,USD
650,validation,USD
651,development,USD
652,validation,USD
653,development,USD
654,development,USD
655,validation,USD
656,development,USD
657,development,USD
