lost,won_amount_usd,sales_cost_usd,discount_leakage_usd,gross_deal_margin_usd,net_deal_contribution_usd,expansion_180d
true,0.0,1170.29,5841.62,-1170.29,-7011.92,
false,63519.88,18495.02,14293.52,45024.86,30731.34,true
true,0.0,23378.3,12892.54,-23378.3,-36270.84,false
true,0.0,2823.85,1724.96,-2823.85,-4548.81,false
true,0.0,44171.7,38659.61,-44171.7,-82831.31,false
false,23983.57,2732.89,876.93,21250.68,20373.75,false
false,27535.42,2753.23,6510.33,24782.19,18271.87,false
true,0.0,2945.68,7126.1,-2945.68,-10071.78,
false,8333.34,2345.49,1831.2,5987.86,4156.66,false
false,19030.42,2176.21,5117.29,16854.21,11736.93,false
false,9836.2,1227.09,389.4,8609.11,8219.72,false
false,7345.79,918.33,1380.43,6427.45,5047.02,false
false,53600.63,7516.74,0.0,46083.9,46083.9,false
true,0.0,22188.04,5573.08,-22188.04,-27761.12,true
false,9977.56,239.83,2204.35,9737.72,7533.37,false
false,20715.12,5465.45,0.0,15249.67,15249.67,
false,8133.45,1481.99,0.0,6651.45,6651.45,true
false,74543.75,12586.35,6721.11,61957.4,55236.28,false
true,0.0,1335.59,3782.22,-1335.59,-5117.81,
true,0.0,0.0,600.0,0.0,-600.0,
false,51174.03,0.0,4141.48,51174.03,47032.55,false
false,44829.31,11438.03,6617.72,33391.28,26773.56,false
true,0.0,14949.93,21894.43,-14949.93,-36844.36,
false,25414.5,7229.84,3512.96,18184.66,14671.7,true
false,7387.98,760.84,1094.64,6627.14,5532.5,false
false,24463.07,2849.49,5427.42,21613.58,16186.16,true
false,7860.47,11.94,1990.1,7848.53,5858.43,true
false,147169.14,23303.17,31929.19,123865.96,91936.77,true
true,0.0,14176.34,15851.61,-14176.34,-30027.94,
false,7181.24,0.0,1281.23,7181.24,5900.0,false
false,8597.59,2107.46,1064.18,6490.13,5425.95,
false,61797.47,7032.63,11971.79,54764.84,42793.04,true
true,0.0,14776.11,2351.45,-14776.11,-17127.56,
false,6564.1,1082.03,1781.37,5482.07,3700.7,true
false,45472.2,2783.88,5431.02,42688.33,37257.31,false
false,6577.22,1647.8,418.26,4929.42,4511.16,true
false,57342.83,2048.72,0.0,55294.11,55294.11,true
false,58878.11,15467.32,3771.2,43410.8,39639.59,true
false,25433.38,6903.66,3448.68,18529.72,15081.03,false
false,10495.0,2295.03,1504.67,8199.97,6695.3,false
false,8636.99,1331.43,843.93,7305.56,6461.63,false
false,22739.78,2984.2,2777.68,19755.58,16977.9,false
true,0.0,1136.42,1699.02,-1136.42,-2835.43,
false,60431.45,22563.02,5261.19,37868.44,32607.25,false
false,21888.03,169.01,1177.32,21719.03,20541.71,true
false,17962.01,7133.06,2554.48,10828.95,8274.48,false
true,0.0,0.0,1403.45,0.0,-1403.45,false
true,0.0,3324.09,4639.65,-3324.09,-7963.74,false
false,25498.38,12915.86,3487.81,12582.52,9094.72,true
false,18086.0,1059.75,411.4,17026.24,16614.84,false
false,33162.24,4059.05,4301.31,29103.19,24801.89,false
true,0.0,15403.21,20613.35,-15403.21,-36016.56,false
true,0.0,3676.1,4214.12,-3676.1,-7890.22,false
false,7580.6,0.0,932.75,7580.6,6647.85,true
false,65355.82,3145.1,8280.05,62210.72,53930.68,
true,0.0,1424.2,330.73,-1424.2,-1754.94,
false,11333.85,1924.72,773.03,9409.12,8636.09,false
false,30733.5,566.41,3084.88,30167.09,27082.21,false
true,0.0,15640.22,1900.0,-15640.22,-17540.22,
true,0.0,18590.22,30525.05,-18590.22,-49115.27,
false,10293.88,1573.19,0.0,8720.69,8720.69,false
false,78593.49,7196.83,500.0,71396.65,70896.65,false
false,24543.43,804.72,4194.3,23738.71,19544.41,true
false,41845.53,4542.97,6332.45,37302.56,30970.11,false
false,19840.9,4560.52,2917.11,15280.38,12363.27,false
false,30893.21,8905.9,4419.6,21987.31,17567.71,false
false,26773.9,2535.77,4455.93,24238.12,19782.19,false
false,10096.39,1064.18,45.46,9032.21,8986.75,false
true,0.0,246.03,1421.09,-246.03,-1667.12,false
false,25729.97,7508.27,1771.44,18221.7,16450.27,
false,24167.54,7411.59,486.38,16755.95,16269.58,true
false,7699.4,1654.59,427.52,6044.81,5617.29,true
false,162892.79,17904.63,11509.85,144988.16,133478.31,true
false,28290.25,1460.26,5339.94,26830.0,21490.05,
false,22837.64,1812.74,2876.52,21024.9,18148.38,true
false,68683.53,8921.52,0.0,59762.01,59762.01,true
false,52076.51,12681.03,7359.74,39395.49,32035.75,true
false,57333.34,8705.9,4786.53,48627.44,43840.91,true
false,19709.43,3905.04,3300.02,15804.39,12504.37,true
false,128818.63,13271.29,7894.63,115547.34,107652.7,
false,7913.93,1022.82,1159.69,6891.11,5731.41,false
false,7779.96,876.01,1471.25,6903.95,5432.7,false
false,22415.89,1259.01,4615.58,21156.88,16541.3,true
true,0.0,14245.85,4050.49,-14245.85,-18296.33,
false,17138.63,3800.7,3805.8,13337.94,9532.14,true
false,131455.78,27124.85,12699.79,104330.93,91631.14,false
true,0.0,1653.3,0.0,-1653.3,-1653.3,false
true,0.0,5323.61,3320.99,-5323.61,-8644.61,false
false,9146.63,4361.68,1076.32,4784.94,3708.62,false
true,0.0,3347.51,1902.26,-3347.51,-5249.77,
false,26376.57,3977.27,6033.05,22399.29,16366.25,true
false,156631.66,14848.57,27051.18,141783.09,114731.92,true
false,122982.37,9892.16,12332.35,113090.21,100757.86,false
false,26700.02,3518.03,6619.38,23181.99,16562.62,false
false,8089.48,717.32,1004.57,7372.16,6367.58,
true,0.0,6012.44,5371.85,-6012.44,-11384.3,
false,63890.57,3514.71,3907.81,60375.87,56468.05,true
false,143700.53,6176.18,0.0,137524.34,137524.34,true
false,20546.84,992.66,5151.48,19554.17,14402.7,true
true,0.0,27530.57,21300.01,-27530.57,-48830.58,false
false,7366.23,1688.62,1388.58,5677.6,4289.02,true
false,26464.93,7180.11,1519.39,19284.82,17765.43,true
false,9545.7,272.7,823.75,9273.0,8449.25,true
false,7162.79,2343.56,568.65,4819.23,4250.58,false
false,17257.34,1057.83,1845.43,16199.51,14354.08,false
false,7182.35,329.05,2017.05,6853.3,4836.25,true
false,68691.6,0.0,1776.93,68691.6,66914.67,
false,57720.17,3162.01,1036.15,54558.17,53522.02,false
false,160885.52,6599.77,43736.73,154285.75,110549.02,true
true,0.0,758.7,1775.49,-758.7,-2534.19,true
true,0.0,3952.05,1304.87,-3952.05,-5256.92,true
false,27647.11,3679.47,1458.67,23967.64,22508.97,
false,7295.01,1524.96,1667.8,5770.06,4102.26,false
false,8682.22,2799.66,176.83,5882.55,5705.73,true
false,58950.31,14964.49,16644.88,43985.82,27340.93,false
false,10132.71,1352.75,3085.1,8779.96,5694.86,true
false,20047.51,3385.86,1887.5,16661.65,14774.15,true
true,0.0,17119.05,2091.3,-17119.05,-19210.35,false
false,7898.92,4.26,1246.95,7894.66,6647.71,false
false,24783.2,1660.13,4489.53,23123.07,18633.54,false
true,0.0,10738.35,6163.0,-10738.35,-16901.35,true
false,7644.48,1278.36,1064.07,6366.12,5302.05,false
false,7879.54,488.08,1541.24,7391.46,5850.22,
false,45516.09,2754.2,9209.29,42761.88,33552.59,false
false,9246.1,1839.51,1531.48,7406.59,5875.11,true
false,5130.64,1207.21,500.44,3923.43,3423.0,false
true,0.0,15849.05,12744.82,-15849.05,-28593.87,false
true,0.0,12099.2,13326.24,-12099.2,-25425.44,false
false,73077.14,12435.63,13640.75,60641.51,47000.76,true
true,0.0,2992.17,826.55,-2992.17,-3818.73,true
true,0.0,0.0,1454.91,0.0,-1454.91,false
false,56904.65,2852.08,2072.17,54052.57,51980.4,true
true,0.0,1049.15,3434.43,-1049.15,-4483.58,true
false,44134.73,5871.61,3829.43,38263.12,34433.69,true
true,0.0,0.0,3002.78,0.0,-3002.78,false
false,10057.93,3133.51,2515.11,6924.42,4409.31,false
false,3846.48,438.12,1088.15,3408.36,2320.21,true
false,10897.93,1005.57,2402.67,9892.36,7489.68,true
true,0.0,39230.06,18581.42,-39230.06,-57811.48,false
