deal_id,deal_created_date,split_label,outcomes_final
DEAL-00001,2024-12-08,development,true
DEAL-00002,2024-06-20,development,true
DEAL-00003,2025-10-01,future_holdout,true
DEAL-00004,2025-02-08,validation,true
DEAL-00005,2024-11-29,development,true
DEAL-00006,2024-08-17,development,true
DEAL-00007,2025-04-02,validation,true
DEAL-00008,2025-03-02,validation,true
DEAL-00009,2025-01-28,validation,true
DEAL-00010,2024-07-25,development,true
DEAL-00011,2025-01-26,validation,true
DEAL-00012,2024-06-09,development,true
DEAL-00013,2024-12-17,development,true
DEAL-00014,2024-09-27,development,true
DEAL-00015,2025-05-13,validation,true
DEAL-00016,2024-05-13,development,true
DEAL-00017,2024-11-06,development,true
DEAL-00018,2025-03-06,validation,true
DEAL-00019,2025-01-31,validation,true
DEAL-00020,2024-06-04,development,true
DEAL-00021,2024-11-27,development,true
DEAL-00022,2025-03-02,validation,true
DEAL-00023,2025-12-25,future_holdout,true
DEAL-00024,2024-12-16,development,true
DEAL-00025,2024-03-15,development,true
DEAL-00026,2025-05-08,validation,true
DEAL-00027,2024-05-05,development,true
DEAL-00028,2024-01-26,development,true
DEAL-00029,2024-06-25,development,true
DEAL-00030,2024-08-18,development,true
DEAL-00031,2024-01-20,development,true
DEAL-00032,2024-03-25,development,true
DEAL-00033,2025-06-02,validation,true
DEAL-00034,2025-09-28,future_holdout,true
DEAL-00035,2025-06-04,validation,true
DEAL-00036,2024-04-08,development,true
DEAL-00037,2025-07-24,future_holdout,true
DEAL-00038,2024-06-06,development,true
DEAL-00039,2024-02-06,development,true
DEAL-00040,2024-06-04,development,true
DEAL-00041,2024-06-27,development,true
DEAL-00042,2025-09-22,future_holdout,true
DEAL-00043,2024-08-07,development,true
DEAL-00044,2025-03-31,validation,true
DEAL-00045,2024-04-07,development,true
DEAL-00046,2024-08-21,development,true
DEAL-00047,2024-12-11,development,true
DEAL-00048,2025-04-09,validation,true
DEAL-00049,2025-04-26,validation,true
DEAL-00050,2025-04-11,validation,true
DEAL-00051,2024-03-17,development,true
DEAL-00052,2024-09-08,development,true
DEAL-00053,2024-08-09,development,true
DEAL-00054,2024-07-23,development,true
DEAL-00055,2024-02-15,development,true
DEAL-00056,2024-12-01,development,true
DEAL-00057,2024-08-24,development,true
DEAL-00058,2024-09-09,development,true
DEAL-00059,2024-10-22,development,true
DEAL-00060,2024-12-08,development,true
DEAL-00061,2025-12-18,future_holdout,true
DEAL-00062,2025-10-08,future_holdout,true
DEAL-00063,2025-06-19,validation,true
DEAL-00064,2024-11-09,development,true
DEAL-00065,2025-04-17,validation,true
DEAL-00066,2024-07-30,development,true
DEAL-00067,2025-08-24,future_holdout,true
DEAL-00068,2025-12-10,future_holdout,true
DEAL-00069,2024-05-23,development,true
DEAL-00070,2025-07-09,future_holdout,true
DEAL-00071,2024-10-04,development,true
DEAL-00072,2024-07-21,development,true
DEAL-00073,2025-05-17,validation,true
DEAL-00074,2024-03-10,development,true
DEAL-00075,2024-03-02,development,true
DEAL-00076,2024-08-03,development,true
DEAL-00077,2025-09-13,future_holdout,true
DEAL-00078,2025-08-14,future_holdout,true
DEAL-00079,2025-12-06,future_holdout,true
DEAL-00080,2025-03-18,validation,true
DEAL-00081,2025-04-10,validation,true
DEAL-00082,2025-07-13,future_holdout,true
DEAL-00083,2025-07-25,future_holdout,true
DEAL-00084,2024-06-09,development,true
DEAL-00085,2025-08-12,future_holdout,true
DEAL-00086,2025-02-22,validation,true
DEAL-00087,2024-08-31,development,true
DEAL-00088,2024-04-22,development,true
DEAL-00089,2024-09-09,development,true
DEAL-00090,2024-01-03,development,true
DEAL-00091,2024-08-24,development,true
DEAL-00092,2024-01-16,development,true
DEAL-00093,2024-02-26,development,true
DEAL-00094,2025-09-06,future_holdout,true
DEAL-00095,2024-09-12,development,true
DEAL-00096,2024-07-23,development,true
DEAL-00097,2025-02-17,validation,true
DEAL-00098,2025-08-06,future_holdout,true
DEAL-00099,2025-01-16,validation,true
DEAL-00100,2025-11-30,future_holdout,true
DEAL-00101,2025-07-13,future_holdout,true
DEAL-00102,2024-09-13,development,true
DEAL-00103,2025-12-09,future_holdout,true
DEAL-00104,2024-03-24,development,true
DEAL-00105,2025-06-20,validation,true
DEAL-00106,2024-07-31,development,true
DEAL-00107,2025-03-28,validation,true
DEAL-00108,2025-11-11,future_holdout,true
DEAL-00109,2024-08-10,development,true
DEAL-00110,2024-10-26,development,true
DEAL-00111,2025-03-08,validation,true
DEAL-00112,2024-06-23,development,true
DEAL-00113,2025-04-28,validation,true
DEAL-00114,2025-11-24,future_holdout,true
DEAL-00115,2025-04-13,validation,true
DEAL-00116,2025-08-10,future_holdout,true
DEAL-00117,2025-08-04,future_holdout,true
DEAL-00118,2024-03-23,development,true
DEAL-00119,2024-12-23,development,true
DEAL-00120,2024-03-11,development,true
DEAL-00121,2024-09-26,development,true
DEAL-00122,2025-04-18,validation,true
DEAL-00123,2024-10-02,development,true
DEAL-00124,2025-02-08,validation,true
DEAL-00125,2024-11-03,development,true
DEAL-00126,2024-04-24,development,true
DEAL-00127,2024-09-24,development,true
DEAL-00128,2025-06-26,validation,true
DEAL-00129,2025-06-21,validation,true
DEAL-00130,2024-12-30,development,true
DEAL-00131,2025-09-29,future_holdout,true
DEAL-00132,2025-01-30,validation,true
DEAL-00133,2025-05-18,validation,true
DEAL-00134,2025-10-26,future_holdout,true
DEAL-00135,2024-05-15,development,true
DEAL-00136,2024-03-08,development,true
DEAL-00137,2025-08-15,future_holdout,true
DEAL-00138,2024-10-28,development,true
DEAL-00139,2025-12-29,future_holdout,true
DEAL-00140,2025-09-23,future_holdout,true
DEAL-00141,2025-12-24,future_holdout,true
DEAL-00142,2024-12-03,development,true
DEAL-00143,2024-08-29,development,true
DEAL-00144,2024-01-24,development,true
DEAL-00145,2024-07-17,development,true
DEAL-00146,2024-01-17,development,true
DEAL-00147,2024-02-27,development,true
DEAL-00148,2024-10-18,development,true
DEAL-00149,2024-05-01,development,true
DEAL-00150,2025-12-09,future_holdout,true
DEAL-00151,2024-11-05,development,true
DEAL-00152,2024-07-14,development,true
DEAL-00153,2025-12-25,future_holdout,true
DEAL-00154,2024-05-29,development,true
DEAL-00155,2024-06-18,development,true
DEAL-00156,2025-03-04,validation,true
DEAL-00157,2024-06-14,development,true
