deal_id,account_id,deal_created_date,lead_source,industry,company_size_band,deal_size_usd,sales_rep,sales_region,product_line,discount_requested_pct,competitor_involved,lead_score,decision_maker_engaged,currency,lost,won_amount_usd,sales_cost_usd,discount_leakage_usd,gross_deal_margin_usd,net_deal_contribution_usd,expansion_180d,close_date,notes_count,last_modified_at
DEAL-00001,DEAL-ACC-0001,2024-12-08,webinar,finance,medium,25728.76,Rep 7,Region South,Suite,22.7,False,67,True,USD,True,0.0,1170.29,5841.62,-1170.29,-7011.92,,,0,2025-01-28
DEAL-00002,DEAL-ACC-2162,2024-06-20,paid,manufacturing,large,63519.88,Rep 2,Region East,Platform,22.5,True,34,False,USD,False,63519.88,18495.02,14293.52,45024.86,30731.34,True,2024-08-31,0,2024-07-27
DEAL-00003,DEAL-ACC-1723,2025-10-01,paid,finance,large,61348.82,Rep 7,Region West,Suite,21.02,False,66,False,USD,True,0.0,23378.3,12892.54,-23378.3,-36270.84,False,2025-12-01,0,2025-11-17
DEAL-00004,DEAL-ACC-1284,2025-02-08,referral,healthcare,small,8974.96,Rep 4,Region South,Platform,14.76,False,72,False,USD,True,0.0,2248.3,1324.96,-2248.3,-3573.26,False,2025-04-14,0,2025-03-11
DEAL-00005,DEAL-ACC-0845,2024-11-29,referral,finance,enterprise,162384.34,Rep 8,Region East,Standalone,23.81,True,34,True,USD,True,0.0,44171.7,38659.61,-44171.7,-82831.31,False,2024-12-06,1,2024-12-10
DEAL-00006,DEAL-ACC-0406,2024-08-17,organic,healthcare,medium,23983.57,Rep 6,Region Central,Standalone,3.66,False,53,False,USD,False,23983.57,2732.89,876.93,21250.68,20373.75,False,2024-09-17,0,2024-10-03
DEAL-00007,DEAL-ACC-2567,2025-04-02,cold_call,finance,medium,27535.42,Rep 2,Region West,Standalone,23.64,False,70,False,USD,False,27535.42,2753.23,6510.33,24782.19,18271.87,False,2025-05-30,1,2025-04-06
DEAL-00008,DEAL-ACC-2128,2025-03-02,organic,manufacturing,medium,30049.52,Rep 1,Region Central,Platform,23.71,False,53,False,USD,True,0.0,2945.68,7126.1,-2945.68,-10071.78,,2025-05-18,0,2025-03-11
DEAL-00009,DEAL-ACC-1689,2025-01-28,cold_call,finance,small,8333.34,Rep 7,Region South,Standalone,21.97,True,59,False,USD,False,8333.34,2345.49,1831.2,5987.86,4156.66,False,,1,2025-02-01
DEAL-00010,DEAL-ACC-1250,2024-07-25,referral,retail,medium,19030.42,Rep 1,Region West,Platform,26.89,True,44,True,USD,False,19030.42,2176.21,5117.29,16854.21,11736.93,False,2024-09-26,0,2024-07-31
