order_date,product_category,product_tier,product_price_usd,quantity,items_in_cart,discount_pct,payment_method,shipping_method,customer_segment,acquisition_channel,device_type,warehouse_id,fulfillment_agent,coupon_used,days_since_last_visit
2024-12-08,apparel,premium,74.76,1,3,0.05,card,standard,new,paid_search,mobile,WH2,Agent 6,true,1
2024-08-05,home_goods,standard,54.48,1,2,0.0,paypal,standard,returning,paid_search,mobile,WH1,Agent 6,false,22
2025-09-13,electronics,standard,96.24,4,2,0.05,card,next_day,new,organic,tablet,WH3,Agent 2,false,0
2025-09-08,apparel,standard,33.14,4,2,0.2,gift_card,standard,vip,organic,mobile,WH3,Agent 6,false,16
2024-10-20,beauty,standard,44.65,2,2,0.2,paypal,next_day,new,social,mobile,WH4,Agent 8,false,0
2024-01-27,beauty,standard,46.52,2,2,0.2,buy_now_pay_later,standard,new,organic,desktop,WH3,Agent 2,false,37
2024-12-21,apparel,premium,48.64,1,1,0.05,card,express,returning,social,mobile,WH4,Agent 4,true,17
2025-08-31,apparel,standard,62.15,5,1,0.0,paypal,standard,new,paid_search,mobile,WH1,Agent 5,true,32
2025-04-09,electronics,premium,132.3,1,6,0.15,paypal,express,returning,organic,mobile,WH1,Agent 7,false,6
2025-03-29,toys,standard,50.93,1,1,0.3,card,standard,new,paid_search,tablet,WH2,Agent 4,true,39
2024-07-19,beauty,standard,36.06,1,3,0.1,paypal,next_day,new,paid_search,desktop,WH1,Agent 4,false,8
2025-09-06,electronics,standard,94.22,3,5,0.0,paypal,standard,returning,email,desktop,WH3,Agent 2,false,4
2025-12-23,beauty,standard,44.17,4,2,0.3,card,standard,returning,paid_search,mobile,WH4,Agent 5,false,52
2024-04-25,beauty,standard,43.57,1,1,0.15,buy_now_pay_later,standard,vip,email,mobile,WH4,Agent 6,true,32
2025-11-23,apparel,premium,56.81,1,3,0.05,gift_card,standard,new,paid_search,mobile,WH2,Agent 6,false,41
2025-05-20,home_goods,premium,215.62,5,1,0.3,buy_now_pay_later,next_day,new,paid_search,mobile,WH2,Agent 1,false,66
2025-07-08,electronics,standard,49.65,1,2,0.15,card,standard,vip,organic,tablet,WH2,Agent 2,false,26
2024-05-22,toys,premium,80.37,5,2,0.05,card,next_day,new,affiliate,mobile,WH3,Agent 4,false,25
2024-12-06,home_goods,standard,70.37,2,1,0.05,card,standard,new,organic,desktop,WH1,Agent 2,true,89
2025-10-19,beauty,standard,27.69,1,5,0.15,gift_card,next_day,returning,organic,desktop,WH1,Agent 2,false,11
2025-08-11,electronics,standard,78.49,1,1,0.1,card,standard,new,email,mobile,WH1,Agent 7,false,20
2024-11-27,toys,standard,40.21,1,5,0.05,gift_card,next_day,returning,organic,desktop,WH3,Agent 2,true,25
2024-07-15,home_goods,standard,41.88,3,2,0.0,buy_now_pay_later,express,new,email,desktop,WH1,Agent 2,false,19
2024-10-02,toys,premium,57.47,2,1,0.15,paypal,next_day,returning,paid_search,mobile,WH1,Agent 5,false,20
2024-12-26,apparel,standard,23.53,3,1,0.2,card,standard,new,organic,tablet,WH4,Agent 7,false,3
2025-11-12,apparel,standard,70.08,7,2,0.2,card,express,new,affiliate,mobile,WH4,Agent 5,false,0
2025-05-12,toys,premium,69.89,2,4,0.2,gift_card,standard,vip,social,desktop,WH1,Agent 3,false,0
2024-01-25,home_goods,luxury,290.65,3,2,0.15,paypal,standard,returning,email,mobile,WH1,Agent 2,true,66
2025-11-03,apparel,standard,52.75,2,1,0.1,card,standard,returning,email,tablet,WH1,Agent 5,false,51
2024-06-17,apparel,premium,105.73,3,6,0.4,buy_now_pay_later,standard,returning,organic,desktop,WH2,Agent 2,false,42
2024-09-04,electronics,standard,62.31,7,2,0.0,buy_now_pay_later,express,new,email,mobile,WH2,Agent 2,false,61
2025-12-06,apparel,standard,48.56,1,3,0.2,paypal,standard,returning,email,mobile,WH2,Agent 1,false,0
2025-03-08,electronics,standard,31.08,1,1,0.0,buy_now_pay_later,next_day,returning,paid_search,tablet,WH1,Agent 2,false,0
2024-05-09,beauty,luxury,112.44,4,3,0.2,buy_now_pay_later,express,new,organic,mobile,WH2,Agent 2,false,23
2024-04-07,apparel,premium,35.79,3,3,0.4,buy_now_pay_later,standard,new,social,desktop,WH3,Agent 7,true,0
2024-02-13,home_goods,standard,81.73,1,6,0.0,paypal,standard,returning,social,mobile,WH2,Agent 2,true,38
2025-08-26,home_goods,premium,136.23,1,1,0.15,buy_now_pay_later,standard,vip,social,desktop,WH1,Agent 2,false,13
2024-02-19,electronics,standard,58.44,2,2,0.4,buy_now_pay_later,express,new,email,mobile,WH1,Agent 6,false,0
2024-03-02,beauty,premium,70.27,1,2,0.0,card,standard,new,email,tablet,WH2,Agent 5,false,47
2024-11-06,home_goods,standard,57.17,4,1,0.1,paypal,next_day,new,paid_search,mobile,WH2,Agent 2,false,0
2025-11-13,home_goods,standard,103.21,1,6,0.0,card,express,returning,organic,desktop,WH3,Agent 2,false,2
2025-09-25,toys,standard,27.5,2,2,0.05,card,standard,returning,organic,mobile,WH1,Agent 6,false,5
2025-02-11,beauty,standard,37.52,2,1,0.15,paypal,next_day,new,organic,mobile,WH2,Agent 7,false,31
2025-05-21,apparel,standard,19.06,4,1,0.05,paypal,standard,new,organic,desktop,WH1,Agent 6,false,37
2025-03-21,apparel,standard,42.43,5,3,0.0,card,standard,new,email,desktop,WH3,Agent 7,false,39
2025-11-28,electronics,standard,74.5,1,3,0.1,buy_now_pay_later,express,new,email,mobile,WH2,Agent 8,false,0
2025-07-10,electronics,standard,121.74,1,3,0.15,paypal,express,new,affiliate,tablet,WH1,Agent 2,true,14
2025-08-02,toys,standard,23.37,2,4,0.1,card,express,returning,email,mobile,WH2,Agent 6,false,63
2024-02-17,electronics,standard,42.56,2,1,0.0,buy_now_pay_later,standard,new,paid_search,mobile,WH4,Agent 6,false,11
2024-04-14,electronics,premium,18.37,2,4,0.1,paypal,standard,returning,affiliate,mobile,WH4,Agent 8,false,0
2024-11-16,apparel,luxury,152.6,1,2,0.3,card,standard,new,paid_search,mobile,WH4,Agent 1,true,0
2024-01-29,home_goods,standard,118.81,1,1,0.1,buy_now_pay_later,standard,returning,organic,mobile,WH1,Agent 2,false,34
2024-04-12,apparel,standard,22.14,5,1,0.4,paypal,standard,new,affiliate,mobile,WH2,Agent 6,false,0
2024-09-13,apparel,premium,13.8,6,1,0.15,card,next_day,returning,social,desktop,WH1,Agent 4,false,20
