order_id,customer_id
ECM-00001,ECM-CUST-0001
ECM-00002,ECM-CUST-0562
ECM-00003,ECM-CUST-1123
ECM-00004,ECM-CUST-1684
ECM-00005,ECM-CUST-2245
ECM-00006,ECM-CUST-2806
ECM-00007,ECM-CUST-0167
ECM-00008,ECM-CUST-0728
ECM-00009,ECM-CUST-1289
ECM-00010,ECM-CUST-1850
ECM-00011,ECM-CUST-2411
ECM-00012,ECM-CUST-2972
ECM-00013,ECM-CUST-0333
ECM-00014,ECM-CUST-0894
ECM-00015,ECM-CUST-1455
ECM-00016,ECM-CUST-2016
ECM-00017,ECM-CUST-2577
ECM-00018,ECM-CUST-3138
ECM-00019,ECM-CUST-0499
ECM-00020,ECM-CUST-1060
ECM-00021,ECM-CUST-1621
ECM-00022,ECM-CUST-2182
ECM-00023,ECM-CUST-2743
ECM-00024,ECM-CUST-0104
ECM-00025,ECM-CUST-0665
ECM-00026,ECM-CUST-1226
ECM-00027,ECM-CUST-1787
ECM-00028,ECM-CUST-2348
ECM-00029,ECM-CUST-2909
ECM-00030,ECM-CUST-0270
ECM-00031,ECM-CUST-0831
ECM-00032,ECM-CUST-1392
ECM-00033,ECM-CUST-1953
ECM-00034,ECM-CUST-2514
ECM-00035,ECM-CUST-3075
ECM-00036,ECM-CUST-0436
ECM-00037,ECM-CUST-0997
ECM-00038,ECM-CUST-1558
ECM-00039,ECM-CUST-2119
ECM-00040,ECM-CUST-2680
ECM-00041,ECM-CUST-0041
ECM-00042,ECM-CUST-0602
ECM-00043,ECM-CUST-1163
ECM-00044,ECM-CUST-1724
ECM-00045,ECM-CUST-2285
ECM-00046,ECM-CUST-2846
ECM-00047,ECM-CUST-0207
ECM-00048,ECM-CUST-0768
ECM-00049,ECM-CUST-1329
ECM-00050,ECM-CUST-1890
ECM-00051,ECM-CUST-2451
ECM-00052,ECM-CUST-3012
ECM-00053,ECM-CUST-0373
ECM-00054,ECM-CUST-0934
ECM-00055,ECM-CUST-1495
ECM-00056,ECM-CUST-2056
ECM-00057,ECM-CUST-2617
ECM-00058,ECM-CUST-3178
ECM-00059,ECM-CUST-0539
ECM-00060,ECM-CUST-1100
ECM-00061,ECM-CUST-1661
ECM-00062,ECM-CUST-2222
ECM-00063,ECM-CUST-2783
ECM-00064,ECM-CUST-0144
ECM-00065,ECM-CUST-0705
ECM-00066,ECM-CUST-1266
ECM-00067,ECM-CUST-1827
ECM-00068,ECM-CUST-2388
ECM-00069,ECM-CUST-2949
ECM-00070,ECM-CUST-0310
ECM-00071,ECM-CUST-0871
ECM-00072,ECM-CUST-1432
ECM-00073,ECM-CUST-1993
ECM-00074,ECM-CUST-2554
ECM-00075,ECM-CUST-3115
ECM-00076,ECM-CUST-0476
ECM-00077,ECM-CUST-1037
ECM-00078,ECM-CUST-1598
ECM-00079,ECM-CUST-2159
ECM-00080,ECM-CUST-2720
ECM-00081,ECM-CUST-0081
ECM-00082,ECM-CUST-0642
ECM-00083,ECM-CUST-1203
ECM-00084,ECM-CUST-1764
ECM-00085,ECM-CUST-2325
ECM-00086,ECM-CUST-2886
ECM-00087,ECM-CUST-0247
ECM-00088,ECM-CUST-0808
ECM-00089,ECM-CUST-1369
ECM-00090,ECM-CUST-1930
ECM-00091,ECM-CUST-2491
ECM-00092,ECM-CUST-3052
ECM-00093,ECM-CUST-0413
ECM-00094,ECM-CUST-0974
ECM-00095,ECM-CUST-1535
ECM-00096,ECM-CUST-2096
ECM-00097,ECM-CUST-2657
ECM-00098,ECM-CUST-0018
ECM-00099,ECM-CUST-0579
ECM-00100,ECM-CUST-1140
ECM-00101,ECM-CUST-1701
ECM-00102,ECM-CUST-2262
ECM-00103,ECM-CUST-2823
ECM-00104,ECM-CUST-0184
ECM-00105,ECM-CUST-0745
ECM-00106,ECM-CUST-1306
ECM-00107,ECM-CUST-1867
ECM-00108,ECM-CUST-2428
ECM-00109,ECM-CUST-2989
ECM-00110,ECM-CUST-0350
ECM-00111,ECM-CUST-0911
ECM-00112,ECM-CUST-1472
ECM-00113,ECM-CUST-2033
ECM-00114,ECM-CUST-2594
ECM-00115,ECM-CUST-3155
ECM-00116,ECM-CUST-0516
ECM-00117,ECM-CUST-1077
ECM-00118,ECM-CUST-1638
ECM-00119,ECM-CUST-2199
ECM-00120,ECM-CUST-2760
ECM-00121,ECM-CUST-0121
ECM-00122,ECM-CUST-0682
ECM-00123,ECM-CUST-1243
ECM-00124,ECM-CUST-1804
ECM-00125,ECM-CUST-2365
ECM-00126,ECM-CUST-2926
ECM-00127,ECM-CUST-0287
ECM-00128,ECM-CUST-0848
ECM-00129,ECM-CUST-1409
ECM-00130,ECM-CUST-1970
ECM-00131,ECM-CUST-2531
ECM-00132,ECM-CUST-3092
ECM-00133,ECM-CUST-0453
ECM-00134,ECM-CUST-1014
ECM-00135,ECM-CUST-1575
ECM-00136,ECM-CUST-2136
ECM-00137,ECM-CUST-2697
ECM-00138,ECM-CUST-0058
ECM-00139,ECM-CUST-0619
ECM-00140,ECM-CUST-1180
ECM-00141,ECM-CUST-1741
ECM-00142,ECM-CUST-2302
ECM-00143,ECM-CUST-2863
ECM-00144,ECM-CUST-0224
ECM-00145,ECM-CUST-0785
ECM-00146,ECM-CUST-1346
ECM-00147,ECM-CUST-1907
ECM-00148,ECM-CUST-2468
ECM-00149,ECM-CUST-3029
ECM-00150,ECM-CUST-0390
ECM-00151,ECM-CUST-0951
ECM-00152,ECM-CUST-1512
ECM-00153,ECM-CUST-2073
ECM-00154,ECM-CUST-2634
ECM-00155,ECM-CUST-3195
ECM-00156,ECM-CUST-0556
ECM-00157,ECM-CUST-1117
ECM-00158,ECM-CUST-1678
ECM-00159,ECM-CUST-2239
ECM-00160,ECM-CUST-2800
ECM-00161,ECM-CUST-0161
ECM-00162,ECM-CUST-0722
ECM-00163,ECM-CUST-1283
ECM-00164,ECM-CUST-1844
ECM-00165,ECM-CUST-2405
ECM-00166,ECM-CUST-2966
ECM-00167,ECM-CUST-0327
ECM-00168,ECM-CUST-0888
ECM-00169,ECM-CUST-1449
ECM-00170,ECM-CUST-2010
ECM-00171,ECM-CUST-2571
ECM-00172,ECM-CUST-3132
ECM-00173,ECM-CUST-0493
ECM-00174,ECM-CUST-1054
ECM-00175,ECM-CUST-1615
ECM-00176,ECM-CUST-2176
ECM-00177,ECM-CUST-2737
ECM-00178,ECM-CUST-0098
ECM-00179,ECM-CUST-0659
ECM-00180,ECM-CUST-1220
ECM-00181,ECM-CUST-1781
ECM-00182,ECM-CUST-2342
ECM-00183,ECM-CUST-2903
ECM-00184,ECM-CUST-0264
ECM-00185,ECM-CUST-0825
ECM-00186,ECM-CUST-1386
ECM-00187,ECM-CUST-1947
ECM-00188,ECM-CUST-2508
ECM-00189,ECM-CUST-3069
ECM-00190,ECM-CUST-0430
ECM-00191,ECM-CUST-0991
ECM-00192,ECM-CUST-1552
ECM-00193,ECM-CUST-2113
ECM-00194,ECM-CUST-2674
ECM-00195,ECM-CUST-0035
ECM-00196,ECM-CUST-0596
ECM-00197,ECM-CUST-1157
ECM-00198,ECM-CUST-1718
ECM-00199,ECM-CUST-2279
ECM-00200,ECM-CUST-2840
ECM-00201,ECM-CUST-0201
ECM-00202,ECM-CUST-0762
ECM-00203,ECM-CUST-1323
ECM-00204,ECM-CUST-1884
ECM-00205,ECM-CUST-2445
ECM-00206,ECM-CUST-3006
ECM-00207,ECM-CUST-0367
ECM-00208,ECM-CUST-0928
ECM-00209,ECM-CUST-1489
ECM-00210,ECM-CUST-2050
ECM-00211,ECM-CUST-2611
ECM-00212,ECM-CUST-3172
ECM-00213,ECM-CUST-0533
ECM-00214,ECM-CUST-1094
ECM-00215,ECM-CUST-1655
ECM-00216,ECM-CUST-2216
ECM-00217,ECM-CUST-2777
ECM-00218,ECM-CUST-0138
ECM-00219,ECM-CUST-0699
ECM-00220,ECM-CUST-1260
ECM-00221,ECM-CUST-1821
ECM-00222,ECM-CUST-2382
ECM-00223,ECM-CUST-2943
ECM-00224,ECM-CUST-0304
ECM-00225,ECM-CUST-0865
ECM-00226,ECM-CUST-1426
ECM-00227,ECM-CUST-1987
ECM-00228,ECM-CUST-2548
ECM-00229,ECM-CUST-3109
ECM-00230,ECM-CUST-0470
ECM-00231,ECM-CUST-1031
ECM-00232,ECM-CUST-1592
ECM-00233,ECM-CUST-2153
ECM-00234,ECM-CUST-2714
ECM-00235,ECM-CUST-0075
ECM-00236,ECM-CUST-0636
ECM-00237,ECM-CUST-1197
ECM-00238,ECM-CUST-1758
ECM-00239,ECM-CUST-2319
ECM-00240,ECM-CUST-2880
ECM-00241,ECM-CUST-0241
ECM-00242,ECM-CUST-0802
ECM-00243,ECM-CUST-1363
ECM-00244,ECM-CUST-1924
ECM-00245,ECM-CUST-2485
ECM-00246,ECM-CUST-3046
ECM-00247,ECM-CUST-0407
ECM-00248,ECM-CUST-0968
ECM-00249,ECM-CUST-1529
ECM-00250,ECM-CUST-2090
ECM-00251,ECM-CUST-2651
ECM-00252,ECM-CUST-0012
ECM-00253,ECM-CUST-0573
ECM-00254,ECM-CUST-1134
ECM-00255,ECM-CUST-1695
ECM-00256,ECM-CUST-2256
ECM-00257,ECM-CUST-2817
ECM-00258,ECM-CUST-0178
ECM-00259,ECM-CUST-0739
ECM-00260,ECM-CUST-1300
ECM-00261,ECM-CUST-1861
ECM-00262,ECM-CUST-2422
ECM-00263,ECM-CUST-2983
ECM-00264,ECM-CUST-0344
ECM-00265,ECM-CUST-0905
ECM-00266,ECM-CUST-1466
ECM-00267,ECM-CUST-2027
ECM-00268,ECM-CUST-2588
ECM-00269,ECM-CUST-3149
ECM-00270,ECM-CUST-0510
ECM-00271,ECM-CUST-1071
ECM-00272,ECM-CUST-1632
ECM-00273,ECM-CUST-2193
ECM-00274,ECM-CUST-2754
ECM-00275,ECM-CUST-0115
ECM-00276,ECM-CUST-0676
ECM-00277,ECM-CUST-1237
ECM-00278,ECM-CUST-1798
ECM-00279,ECM-CUST-2359
ECM-00280,ECM-CUST-2920
ECM-00281,ECM-CUST-0281
ECM-00282,ECM-CUST-0842
ECM-00283,ECM-CUST-1403
ECM-00284,ECM-CUST-1964
ECM-00285,ECM-CUST-2525
ECM-00286,ECM-CUST-3086
ECM-00287,ECM-CUST-0447
ECM-00288,ECM-CUST-1008
