source_row_number,split_label,source_currency
1,development,USD
2,development,USD
3,future_holdout,USD
4,future_holdout,USD
5,development,USD
6,development,USD
7,development,USD
8,future_holdout,USD
9,validation,USD
10,validation,USD
11,development,USD
12,future_holdout,USD
13,future_holdout,USD
14,development,USD
15,future_holdout,USD
16,validation,USD
17,future_holdout,USD
18,development,USD
19,development,USD
20,future_holdout,USD
21,future_holdout,USD
22,development,USD
23,development,USD
24,development,USD
25,development,USD
26,future_holdout,USD
27,validation,USD
28,development,USD
29,future_holdout,USD
30,development,USD
31,development,USD
32,future_holdout,USD
33,validation,USD
34,development,USD
35,development,USD
36,development,USD
37,future_holdout,USD
38,development,USD
39,development,USD
40,development,USD
41,future_holdout,USD
42,future_holdout,USD
43,validation,USD
44,validation,USD
45,validation,USD
46,future_holdout,USD
47,future_holdout,USD
48,future_holdout,USD
49,development,USD
50,development,USD
51,development,USD
52,development,USD
53,development,USD
54,development,USD
55,future_holdout,USD
56,development,USD
57,development,USD
58,future_holdout,USD
59,validation,USD
60,development,USD
61,validation,USD
62,development,USD
63,future_holdout,USD
64,validation,USD
65,development,USD
66,future_holdout,USD
67,development,USD
68,development,USD
69,development,USD
70,development,USD
71,future_holdout,USD
72,development,USD
73,development,USD
74,development,USD
75,development,USD
76,validation,USD
77,validation,USD
78,development,USD
79,development,USD
80,development,USD
81,validation,USD
82,future_holdout,USD
83,validation,USD
84,future_holdout,USD
85,development,USD
86,validation,USD
87,future_holdout,USD
88,development,USD
89,validation,USD
90,development,USD
91,development,USD
92,development,USD
93,validation,USD
94,future_holdout,USD
95,development,USD
96,validation,USD
97,validation,USD
98,development,USD
99,future_holdout,USD
100,development,USD
101,validation,USD
102,validation,USD
103,validation,USD
104,future_holdout,USD
105,validation,USD
106,validation,USD
107,development,USD
108,future_holdout,USD
109,development,USD
110,development,USD
111,development,USD
112,development,USD
113,development,USD
114,development,USD
115,development,USD
116,development,USD
117,development,USD
118,development,USD
119,validation,USD
120,validation,USD
121,future_holdout,USD
122,development,USD
123,validation,USD
124,future_holdout,USD
125,development,USD
126,development,USD
127,development,USD
128,validation,USD
129,development,USD
130,development,USD
131,future_holdout,USD
132,development,USD
133,validation,USD
134,future_holdout,USD
135,future_holdout,USD
136,validation,USD
137,validation,USD
138,validation,USD
139,validation,USD
140,validation,USD
141,future_holdout,USD
142,validation,USD
143,development,USD
144,future_holdout,USD
145,development,USD
146,future_holdout,USD
147,development,USD
148,development,USD
149,development,USD
150,validation,USD
151,validation,USD
152,development,USD
153,development,USD
154,future_holdout,USD
155,development,USD
156,validation,USD
157,development,USD
158,future_holdout,USD
159,validation,USD
160,future_holdout,USD
161,development,USD
162,development,USD
163,future_holdout,USD
164,development,USD
165,future_holdout,USD
166,future_holdout,USD
167,validation,USD
168,validation,USD
169,development,USD
170,future_holdout,USD
171,development,USD
172,validation,USD
173,development,USD
174,future_holdout,USD
175,validation,USD
176,future_holdout,USD
177,development,USD
178,future_holdout,USD
179,future_holdout,USD
180,development,USD
181,development,USD
182,development,USD
183,future_holdout,USD
184,development,USD
185,development,USD
186,development,USD
187,validation,USD
188,validation,USD
189,validation,USD
190,validation,USD
191,development,USD
192,development,USD
193,development,USD
194,development,USD
195,future_holdout,USD
196,validation,USD
197,future_holdout,USD
198,development,USD
199,development,USD
200,development,USD
201,validation,USD
202,development,USD
203,future_holdout,USD
204,development,USD
205,development,USD
206,validation,USD
207,future_holdout,USD
208,development,USD
209,validation,USD
210,development,USD
211,validation,USD
212,development,USD
213,validation,USD
214,development,USD
215,development,USD
216,development,USD
217,future_holdout,USD
218,development,USD
219,development,USD
220,development,USD
221,future_holdout,USD
222,validation,USD
223,future_holdout,USD
224,future_holdout,USD
225,development,USD
226,validation,USD
227,development,USD
228,validation,USD
229,future_holdout,USD
230,development,USD
231,validation,USD
232,development,USD
233,development,USD
234,future_holdout,USD
235,development,USD
236,future_holdout,USD
237,future_holdout,USD
238,development,USD
239,validation,USD
240,development,USD
241,development,USD
242,development,USD
243,future_holdout,USD
244,validation,USD
245,development,USD
246,development,USD
247,validation,USD
248,development,USD
249,future_holdout,USD
250,development,USD
251,development,USD
252,future_holdout,USD
253,future_holdout,USD
254,development,USD
255,development,USD
256,validation,USD
257,development,USD
258,development,USD
259,validation,USD
260,development,USD
261,future_holdout,USD
262,development,USD
263,development,USD
264,validation,USD
265,validation,USD
266,development,USD
267,future_holdout,USD
268,future_holdout,USD
269,validation,USD
270,future_holdout,USD
271,future_holdout,USD
272,development,USD
273,future_holdout,USD
274,future_holdout,USD
275,development,USD
276,development,USD
277,development,USD
278,development,USD
279,future_holdout,USD
280,development,USD
281,development,USD
282,development,USD
283,development,USD
284,development,USD
285,development,USD
286,future_holdout,USD
287,development,USD
288,future_holdout,USD
289,validation,USD
290,development,USD
291,development,USD
292,future_holdout,USD
293,development,USD
294,validation,USD
295,validation,USD
296,development,USD
297,validation,USD
298,future_holdout,USD
299,development,USD
300,future_holdout,USD
301,development,USD
302,validation,USD
303,development,USD
304,development,USD
305,development,USD
306,development,USD
307,future_holdout,USD
308,future_holdout,USD
309,development,USD
310,future_holdout,USD
311,validation,USD
312,future_holdout,USD
313,future_holdout,USD
314,validation,USD
315,future_holdout,USD
316,validation,USD
317,future_holdout,USD
318,development,USD
319,future_holdout,USD
320,validation,USD
321,future_holdout,USD
322,development,USD
323,development,USD
324,validation,USD
325,development,USD
326,development,USD
327,development,USD
328,development,USD
329,development,USD
330,future_holdout,USD
331,validation,USD
332,future_holdout,USD
333,development,USD
334,future_holdout,USD
335,validation,USD
336,future_holdout,USD
337,future_holdout,USD
338,validation,USD
339,future_holdout,USD
340,validation,USD
341,validation,USD
342,development,USD
343,development,USD
344,development,USD
345,validation,USD
346,development,USD
347,future_holdout,USD
348,development,USD
349,validation,USD
350,validation,USD
351,future_holdout,USD
352,future_holdout,USD
353,future_holdout,USD
354,development,USD
355,validation,USD
356,validation,USD
357,future_holdout,USD
358,development,USD
359,future_holdout,USD
360,development,USD
361,development,USD
362,development,USD
363,validation,USD
364,development,USD
365,development,USD
366,validation,USD
367,development,USD
368,validation,USD
369,future_holdout,USD
370,development,USD
371,development,USD
372,development,USD
373,future_holdout,USD
374,validation,USD
375,development,USD
376,development,USD
377,development,USD
378,future_holdout,USD
379,development,USD
380,future_holdout,USD
381,future_holdout,USD
382,validation,USD
383,development,USD
384,validation,USD
385,future_holdout,USD
386,future_holdout,USD
387,future_holdout,USD
388,future_holdout,USD
389,development,USD
390,development,USD
391,future_holdout,USD
392,validation,USD
393,development,USD
394,development,USD
395,development,USD
396,development,USD
397,future_holdout,USD
398,development,USD
399,development,USD
400,development,USD
401,future_holdout,USD
402,development,USD
403,development,USD
404,development,USD
405,validation,USD
406,development,USD
407,development,USD
408,future_holdout,USD
409,future_holdout,USD
410,development,USD
411,future_holdout,USD
412,validation,USD
413,development,USD
414,validation,USD
415,development,USD
416,validation,USD
417,development,USD
418,future_holdout,USD
419,development,USD
420,validation,USD
421,development,USD
422,future_holdout,USD
423,future_holdout,USD
424,development,USD
425,validation,USD
426,development,USD
427,development,USD
428,validation,USD
429,development,USD
430,development,USD
431,future_holdout,USD
432,future_holdout,USD
433,development,USD
434,development,USD
435,development,USD
436,development,USD
437,development,USD
438,development,USD
439,development,USD
440,development,USD
441,future_holdout,USD
442,development,USD
443,development,USD
444,future_holdout,USD
445,development,USD
446,future_holdout,USD
447,development,USD
448,future_holdout,USD
449,development,USD
450,development,USD
451,future_holdout,USD
452,future_holdout,USD
453,development,USD
454,future_holdout,USD
455,development,USD
456,future_holdout,USD
457,development,USD
458,future_holdout,USD
459,development,USD
460,future_holdout,USD
461,development,USD
462,development,USD
463,development,USD
464,future_holdout,USD
465,validation,USD
466,future_holdout,USD
467,development,USD
468,development,USD
469,validation,USD
470,development,USD
471,validation,USD
472,development,USD
473,validation,USD
474,future_holdout,USD
475,development,USD
476,development,USD
477,development,USD
478,future_holdout,USD
479,validation,USD
480,development,USD
481,validation,USD
482,validation,USD
483,development,USD
484,development,USD
485,future_holdout,USD
486,validation,USD
487,development,USD
488,validation,USD
489,future_holdout,USD
490,future_holdout,USD
491,future_holdout,USD
492,development,USD
493,development,USD
494,validation,USD
495,development,USD
496,development,USD
497,future_holdout,USD
498,development,USD
499,development,USD
500,future_holdout,USD
501,validation,USD
502,development,USD
503,development,USD
504,future_holdout,USD
505,development,USD
506,development,USD
507,validation,USD
508,development,USD
509,development,USD
510,future_holdout,USD
511,future_holdout,USD
512,development,USD
513,development,USD
514,validation,USD
515,future_holdout,USD
516,development,USD
517,development,USD
518,future_holdout,USD
519,development,USD
520,validation,USD
521,future_holdout,USD
522,development,USD
523,development,USD
524,development,USD
525,validation,USD
526,development,USD
527,validation,USD
528,development,USD
529,development,USD
530,development,USD
531,validation,USD
532,development,USD
533,future_holdout,USD
534,development,USD
535,development,USD
536,future_holdout,USD
537,validation,USD
538,development,USD
539,development,USD
540,development,USD
541,development,USD
542,development,USD
543,development,USD
544,future_holdout,USD
545,development,USD
546,development,USD
547,development,USD
548,development,USD
549,development,USD
550,future_holdout,USD
551,development,USD
552,future_holdout,USD
553,development,USD
554,validation,USD
555,validation,USD
556,development,USD
557,future_holdout,USD
558,development,USD
559,development,USD
560,development,USD
561,development,USD
562,development,USD
563,development,USD
564,development,USD
565,future_holdout,USD
566,development,USD
567,validation,USD
568,future_holdout,USD
569,development,USD
570,future_holdout,USD
571,development,USD
572,development,USD
573,development,USD
574,development,USD
575,development,USD
576,development,USD
577,future_holdout,USD
578,future_holdout,USD
579,development,USD
580,future_holdout,USD
581,development,USD
582,development,USD
583,validation,USD
584,development,USD
585,development,USD
586,development,USD
587,development,USD
588,future_holdout,USD
589,future_holdout,USD
590,future_holdout,USD
591,development,USD
592,development,USD
593,development,USD
594,validation,USD
595,future_holdout,USD
596,development,USD
597,development,USD
598,development,USD
599,development,USD
600,future_holdout,USD
601,development,USD
602,future_holdout,USD
603,validation,USD
604,validation,USD
605,development,USD
606,development,USD
607,future_holdout,USD
608,development,USD
609,future_holdout,USD
610,development,USD
611,development,USD
612,development,USD
613,validation,USD
614,validation,USD
615,validation,USD
616,development,USD
617,development,USD
618,future_holdout,USD
619,development,USD
620,development,USD
621,development,USD
622,validation,USD
623,validation,USD
624,development,USD
625,validation,USD
626,validation,USD
627,development,USD
628,development,USD
629,development,USD
630,future_holdout,USD
631,validation,USD
632,future_holdout,USD
633,validation,USD
634,future_holdout,USD
635,development,USD
636,future_holdout,USD
637,future_holdout,USD
638,validation,USD
639,future_holdout,USD
640,development,USD
641,validation,USD
642,validation,USD
643,development,USD
644,validation,USD
645,future_holdout,USD
