returned,return_amount_usd,refund_processing_cost_usd,restocking_cost_usd,gross_margin_usd,net_contribution_usd,repeat_purchase_90d
false,0.0,0.0,0.0,20.55,19.21,false
false,0.0,0.0,19.68,20.69,0.02,true
false,0.0,0.0,6.56,138.91,125.41,true
false,0.0,0.0,17.07,22.02,2.57,false
false,0.0,0.0,5.06,18.94,12.26,
false,0.0,0.0,11.51,19.72,6.54,false
false,0.0,0.0,11.0,19.43,7.55,false
false,0.0,0.0,1.5,138.86,131.77,true
false,0.0,0.0,0.8,25.21,20.44,false
false,0.0,0.0,8.48,7.04,-2.35,true
false,0.0,0.0,13.94,9.99,-4.61,true
false,0.0,0.0,2.33,119.91,110.8,false
false,0.0,0.0,0.0,6.83,3.65,true
false,0.0,0.0,9.66,8.59,-1.86,false
false,0.0,0.0,3.09,19.7,15.58,false
false,0.0,0.0,9.57,8.46,-20.51,false
false,0.0,0.0,26.01,12.49,-14.41,true
false,0.0,0.0,5.01,113.23,100.98,false
false,0.0,0.0,17.75,46.59,26.31,true
false,0.0,0.0,7.02,6.34,-1.35,true
false,0.0,0.0,5.08,23.4,16.91,false
false,0.0,0.0,8.79,14.9,5.14,false
false,0.0,0.0,1.51,50.49,46.72,false
false,0.0,0.0,4.14,30.21,24.0,true
false,0.0,0.0,11.63,15.82,2.92,
false,0.0,0.0,13.25,102.5,80.42,false
true,100.3,0.0,0.0,-82.39,-84.9,false
true,729.7,0.0,18.67,-549.41,-583.77,false
false,0.0,0.0,14.63,25.96,9.43,true
false,0.0,12.96,49.35,-24.83,-96.65,false
false,0.0,0.0,2.77,146.57,135.95,true
false,0.0,0.0,5.9,10.52,3.75,false
false,0.0,0.0,24.17,12.85,-11.88,true
false,0.0,0.0,6.22,104.28,89.96,false
false,0.0,0.0,1.0,-4.3,-7.23,false
false,0.0,0.0,0.0,29.17,26.72,false
false,0.0,0.0,11.54,23.41,9.41,false
false,0.0,0.0,0.0,0.7,-1.41,false
false,0.0,0.0,3.32,26.98,22.39,false
false,0.0,0.0,1.47,68.0,62.41,false
true,88.08,0.0,4.82,-44.45,-52.37,false
false,0.0,0.0,2.53,15.7,12.18,false
false,0.0,0.0,4.73,12.78,6.71,false
false,0.0,0.0,3.39,29.36,24.6,false
false,0.0,0.0,4.0,87.1,79.28,false
false,0.0,0.0,14.38,19.94,4.22,false
true,87.07,0.0,10.25,-57.2,-69.64,false
false,0.0,0.0,15.73,15.77,-0.81,true
false,0.0,0.0,40.7,37.24,-4.99,false
false,0.0,0.0,4.35,8.56,3.54,true
false,0.0,0.0,0.0,15.84,13.1,true
false,0.0,0.0,8.07,39.68,29.47,true
false,0.0,0.0,9.04,-0.13,-11.16,true
false,0.0,0.0,13.06,23.22,8.66,
false,0.0,0.0,3.12,6.06,-2.37,false
false,0.0,0.0,11.76,53.46,37.4,
false,0.0,0.0,4.8,22.1,15.57,false
false,0.0,0.0,12.91,9.6,-4.16,false
false,0.0,0.0,16.88,22.23,3.4,false
false,0.0,0.0,1.62,52.53,48.24,true
false,0.0,0.0,3.53,37.93,31.8,true
false,0.0,0.0,0.0,41.45,39.46,true
false,0.0,0.0,13.83,141.88,120.09,false
false,0.0,0.0,0.19,30.0,24.68,false
false,0.0,0.0,7.33,15.79,7.32,false
false,0.0,0.0,7.46,31.01,21.99,
true,62.84,0.0,8.78,-64.11,-75.5,false
false,0.0,0.0,17.16,41.06,21.61,false
false,0.0,0.0,0.0,15.65,14.58,false
false,0.0,0.0,3.93,4.96,-1.27,false
false,0.0,0.0,15.63,1.35,-15.75,false
false,0.0,0.0,1.32,8.73,6.94,true
false,0.0,0.0,1.27,20.54,17.96,true
false,0.0,0.0,17.85,23.98,2.88,true
true,194.57,0.0,16.24,-168.52,-190.48,false
false,0.0,0.0,8.85,100.36,85.53,true
false,0.0,0.0,0.0,7.73,6.58,false
false,0.0,0.0,4.0,12.17,6.02,false
false,0.0,0.0,8.61,24.03,12.83,false
false,0.0,0.0,0.0,25.71,22.4,true
