order_id,order_date,split_label,outcomes_final
ECM-00001,2024-12-08,development,true
ECM-00002,2024-08-05,development,true
ECM-00003,2025-09-13,future_holdout,true
ECM-00004,2025-09-08,future_holdout,true
ECM-00005,2024-10-20,development,true
ECM-00006,2024-01-27,development,true
ECM-00007,2024-12-21,development,true
ECM-00008,2025-08-31,future_holdout,true
ECM-00009,2025-04-09,validation,true
ECM-00010,2025-03-29,validation,true
ECM-00011,2024-07-19,development,true
ECM-00012,2025-09-06,future_holdout,true
ECM-00013,2025-12-23,future_holdout,true
ECM-00014,2024-04-25,development,true
ECM-00015,2025-11-23,future_holdout,true
ECM-00016,2025-05-20,validation,true
ECM-00017,2025-07-08,future_holdout,true
ECM-00018,2024-05-22,development,true
ECM-00019,2024-12-06,development,true
ECM-00020,2025-10-19,future_holdout,true
ECM-00021,2025-08-11,future_holdout,true
ECM-00022,2024-11-27,development,true
ECM-00023,2024-07-15,development,true
ECM-00024,2024-10-02,development,true
ECM-00025,2024-12-26,development,true
ECM-00026,2025-11-12,future_holdout,true
ECM-00027,2025-05-12,validation,true
ECM-00028,2024-01-25,development,true
ECM-00029,2025-11-03,future_holdout,true
ECM-00030,2024-06-17,development,true
ECM-00031,2024-09-04,development,true
ECM-00032,2025-12-06,future_holdout,true
ECM-00033,2025-03-08,validation,true
ECM-00034,2024-05-09,development,true
ECM-00035,2024-04-07,development,true
ECM-00036,2024-02-13,development,true
ECM-00037,2025-08-26,future_holdout,true
ECM-00038,2024-02-19,development,true
ECM-00039,2024-03-02,development,true
ECM-00040,2024-11-06,development,true
ECM-00041,2025-11-13,future_holdout,true
ECM-00042,2025-09-25,future_holdout,true
ECM-00043,2025-02-11,validation,true
ECM-00044,2025-05-21,validation,true
ECM-00045,2025-03-21,validation,true
ECM-00046,2025-11-28,future_holdout,true
ECM-00047,2025-07-10,future_holdout,true
ECM-00048,2025-08-02,future_holdout,true
ECM-00049,2024-02-17,development,true
ECM-00050,2024-04-14,development,true
ECM-00051,2024-11-16,development,true
ECM-00052,2024-01-29,development,true
ECM-00053,2024-04-12,development,true
ECM-00054,2024-09-13,development,true
ECM-00055,2025-08-24,future_holdout,true
ECM-00056,2024-04-16,development,true
ECM-00057,2024-03-16,development,true
ECM-00058,2025-07-04,future_holdout,true
ECM-00059,2025-04-11,validation,true
ECM-00060,2024-09-01,development,true
ECM-00061,2025-06-17,validation,true
ECM-00062,2024-09-11,development,true
ECM-00063,2025-12-27,future_holdout,true
ECM-00064,2025-06-30,validation,true
ECM-00065,2024-11-10,development,true
ECM-00066,2025-07-16,future_holdout,true
ECM-00067,2024-06-06,development,true
ECM-00068,2024-09-04,development,true
ECM-00069,2024-06-27,development,true
ECM-00070,2024-10-23,development,true
ECM-00071,2025-11-24,future_holdout,true
ECM-00072,2024-01-05,development,true
ECM-00073,2024-09-09,development,true
ECM-00074,2024-09-04,development,true
ECM-00075,2024-07-17,development,true
ECM-00076,2025-03-23,validation,true
ECM-00077,2025-04-23,validation,true
ECM-00078,2024-09-12,development,true
ECM-00079,2024-03-26,development,true
ECM-00080,2024-08-09,development,true
ECM-00081,2025-06-06,validation,true
ECM-00082,2025-11-30,future_holdout,true
ECM-00083,2025-06-06,validation,true
ECM-00084,2025-11-06,future_holdout,true
ECM-00085,2024-09-21,development,true
ECM-00086,2025-01-28,validation,true
ECM-00087,2025-09-28,future_holdout,true
ECM-00088,2024-02-10,development,true
ECM-00089,2025-06-02,validation,true
ECM-00090,2024-10-27,development,true
ECM-00091,2024-08-08,development,true
ECM-00092,2024-05-13,development,true
ECM-00093,2025-01-21,validation,true
ECM-00094,2025-11-21,future_holdout,true
ECM-00095,2024-08-04,development,true
ECM-00096,2025-03-16,validation,true
ECM-00097,2025-06-06,validation,true
ECM-00098,2024-01-05,development,true
ECM-00099,2025-07-29,future_holdout,true
ECM-00100,2024-06-24,development,true
ECM-00101,2025-04-17,validation,true
ECM-00102,2025-01-24,validation,true
ECM-00103,2025-04-25,validation,true
ECM-00104,2025-12-30,future_holdout,true
ECM-00105,2025-06-26,validation,true
ECM-00106,2025-01-30,validation,true
ECM-00107,2024-05-08,development,true
ECM-00108,2025-11-16,future_holdout,true
ECM-00109,2024-09-23,development,true
ECM-00110,2024-12-25,development,true
ECM-00111,2024-02-10,development,true
ECM-00112,2024-11-16,development,true
ECM-00113,2024-07-20,development,true
ECM-00114,2024-12-29,development,true
ECM-00115,2024-10-31,development,true
ECM-00116,2024-03-04,development,true
ECM-00117,2024-08-20,development,true
ECM-00118,2024-08-27,development,true
ECM-00119,2025-05-19,validation,true
ECM-00120,2025-04-15,validation,true
ECM-00121,2025-11-12,future_holdout,true
ECM-00122,2024-07-18,development,true
ECM-00123,2025-06-20,validation,true
ECM-00124,2025-10-06,future_holdout,true
ECM-00125,2024-12-30,development,true
ECM-00126,2024-06-01,development,true
ECM-00127,2024-07-27,development,true
ECM-00128,2025-02-10,validation,true
ECM-00129,2024-11-15,development,true
ECM-00130,2024-01-30,development,true
ECM-00131,2025-07-08,future_holdout,true
ECM-00132,2024-08-09,development,true
ECM-00133,2025-05-03,validation,true
ECM-00134,2025-12-04,future_holdout,true
ECM-00135,2025-11-27,future_holdout,true
ECM-00136,2025-02-08,validation,true
ECM-00137,2025-03-16,validation,true
ECM-00138,2025-06-10,validation,true
ECM-00139,2025-04-07,validation,true
ECM-00140,2025-03-26,validation,true
ECM-00141,2025-09-10,future_holdout,true
ECM-00142,2025-01-31,validation,true
ECM-00143,2024-07-20,development,true
ECM-00144,2025-10-07,future_holdout,true
ECM-00145,2024-06-23,development,true
ECM-00146,2025-08-22,future_holdout,true
ECM-00147,2024-02-10,development,true
ECM-00148,2024-03-04,development,true
ECM-00149,2024-08-04,development,true
ECM-00150,2025-04-22,validation,true
ECM-00151,2025-03-25,validation,true
ECM-00152,2024-07-05,development,true
ECM-00153,2024-02-10,development,true
ECM-00154,2025-10-21,future_holdout,true
ECM-00155,2024-11-07,development,true
ECM-00156,2025-03-23,validation,true
ECM-00157,2024-06-09,development,true
ECM-00158,2025-07-19,future_holdout,true
ECM-00159,2025-02-21,validation,true
ECM-00160,2025-10-01,future_holdout,true
ECM-00161,2024-07-31,development,true
ECM-00162,2024-03-22,development,true
ECM-00163,2025-09-13,future_holdout,true
ECM-00164,2024-02-25,development,true
ECM-00165,2025-07-06,future_holdout,true
ECM-00166,2025-12-12,future_holdout,true
ECM-00167,2025-06-02,validation,true
ECM-00168,2025-04-15,validation,true
ECM-00169,2024-03-05,development,true
ECM-00170,2025-10-07,future_holdout,true
ECM-00171,2024-05-11,development,true
ECM-00172,2025-03-14,validation,true
ECM-00173,2024-03-28,development,true
ECM-00174,2025-09-14,future_holdout,true
ECM-00175,2025-04-15,validation,true
ECM-00176,2025-11-09,future_holdout,true
ECM-00177,2024-06-10,development,true
ECM-00178,2025-10-13,future_holdout,true
ECM-00179,2025-09-27,future_holdout,true
ECM-00180,2024-07-24,development,true
ECM-00181,2024-10-17,development,true
ECM-00182,2024-12-31,development,true
ECM-00183,2025-08-30,future_holdout,true
ECM-00184,2024-03-30,development,true
ECM-00185,2024-05-28,development,true
ECM-00186,2024-04-10,development,true
ECM-00187,2025-03-30,validation,true
ECM-00188,2025-05-14,validation,true
ECM-00189,2025-06-04,validation,true
ECM-00190,2025-05-13,validation,true
ECM-00191,2024-05-23,development,true
ECM-00192,2024-08-01,development,true
ECM-00193,2024-01-30,development,true
ECM-00194,2024-10-30,development,true
ECM-00195,2025-10-10,future_holdout,true
ECM-00196,2025-03-11,validation,true
ECM-00197,2025-11-09,future_holdout,true
ECM-00198,2024-04-16,development,true
ECM-00199,2024-08-12,development,true
ECM-00200,2024-02-15,development,true
ECM-00201,2025-02-17,validation,true
ECM-00202,2024-05-29,development,true
ECM-00203,2025-07-07,future_holdout,true
ECM-00204,2024-04-06,development,true
ECM-00205,2024-04-13,development,true
ECM-00206,2025-06-27,validation,true
ECM-00207,2025-12-28,future_holdout,true
ECM-00208,2024-06-01,development,true
ECM-00209,2025-04-15,validation,true
ECM-00210,2024-11-13,development,true
ECM-00211,2025-04-16,validation,true
ECM-00212,2024-09-20,development,true
ECM-00213,2025-03-16,validation,true
ECM-00214,2024-03-21,development,true
ECM-00215,2024-08-26,development,true
ECM-00216,2024-09-27,development,true
ECM-00217,2025-12-30,future_holdout,true
ECM-00218,2024-12-13,development,true
ECM-00219,2024-09-10,development,true
ECM-00220,2024-01-09,development,true
ECM-00221,2025-07-18,future_holdout,true
ECM-00222,2025-01-25,validation,true
ECM-00223,2025-12-12,future_holdout,true
ECM-00224,2025-08-20,future_holdout,true
ECM-00225,2024-01-12,development,true
ECM-00226,2025-05-25,validation,true
ECM-00227,2024-12-15,development,true
ECM-00228,2025-02-19,validation,true
ECM-00229,2025-10-31,future_holdout,true
ECM-00230,2024-06-09,development,true
ECM-00231,2025-01-22,validation,true
ECM-00232,2024-08-03,development,true
ECM-00233,2024-02-18,development,true
ECM-00234,2025-08-10,future_holdout,true
ECM-00235,2024-02-24,development,true
ECM-00236,2025-12-21,future_holdout,true
ECM-00237,2025-11-07,future_holdout,true
ECM-00238,2024-09-15,development,true
ECM-00239,2025-04-04,validation,true
ECM-00240,2024-09-12,development,true
ECM-00241,2024-08-23,development,true
ECM-00242,2024-08-08,development,true
ECM-00243,2025-11-04,future_holdout,true
ECM-00244,2025-03-18,validation,true
ECM-00245,2024-09-14,development,true
ECM-00246,2024-03-23,development,true
ECM-00247,2025-05-31,validation,true
ECM-00248,2024-03-21,development,true
ECM-00249,2025-10-15,future_holdout,true
ECM-00250,2024-06-12,development,true
ECM-00251,2024-10-07,development,true
ECM-00252,2025-11-18,future_holdout,true
ECM-00253,2025-08-26,future_holdout,true
ECM-00254,2024-03-21,development,true
ECM-00255,2024-11-24,development,true
ECM-00256,2025-02-21,validation,true
ECM-00257,2024-06-23,development,true
ECM-00258,2024-12-18,development,true
ECM-00259,2025-04-21,validation,true
ECM-00260,2024-04-19,development,true
ECM-00261,2025-07-13,future_holdout,true
ECM-00262,2024-06-29,development,true
ECM-00263,2024-01-19,development,true
ECM-00264,2025-06-10,validation,true
ECM-00265,2025-05-26,validation,true
ECM-00266,2024-03-29,development,true
ECM-00267,2025-12-17,future_holdout,true
ECM-00268,2025-10-08,future_holdout,true
ECM-00269,2025-03-03,validation,true
ECM-00270,2025-07-23,future_holdout,true
ECM-00271,2025-08-11,future_holdout,true
ECM-00272,2024-07-04,development,true
ECM-00273,2025-10-08,future_holdout,true
ECM-00274,2025-10-16,future_holdout,true
ECM-00275,2024-12-09,development,true
ECM-00276,2024-04-14,development,true
ECM-00277,2024-12-13,development,true
ECM-00278,2024-10-13,development,true
ECM-00279,2025-09-22,future_holdout,true
ECM-00280,2024-12-22,development,true
ECM-00281,2024-06-14,development,true
ECM-00282,2024-06-18,development,true
ECM-00283,2024-10-20,development,true
ECM-00284,2024-01-12,development,true
ECM-00285,2024-10-24,development,true
ECM-00286,2025-12-22,future_holdout,true
ECM-00287,2024-01-22,development,true
ECM-00288,2025-09-20,future_holdout,true
ECM-00289,2025-06-08,validation,true
ECM-00290,2024-01-31,development,true
ECM-00291,2024-07-08,development,true
ECM-00292,2025-08-25,future_holdout,true
ECM-00293,2024-12-16,development,true
ECM-00294,2025-04-05,validation,true
ECM-00295,2025-05-17,validation,true
ECM-00296,2024-08-04,development,true
ECM-00297,2025-05-30,validation,true
ECM-00298,2025-07-06,future_holdout,true
ECM-00299,2024-11-07,development,true
ECM-00300,2025-12-14,future_holdout,true
ECM-00301,2024-06-05,development,true
ECM-00302,2025-06-12,validation,true
ECM-00303,2024-06-18,development,true
ECM-00304,2024-11-24,development,true
ECM-00305,2024-01-11,development,true
ECM-00306,2024-09-09,development,true
ECM-00307,2025-12-05,future_holdout,true
ECM-00308,2025-11-17,future_holdout,true
ECM-00309,2024-07-24,development,true
ECM-00310,2025-08-22,future_holdout,true
ECM-00311,2025-03-07,validation,true
ECM-00312,2025-11-05,future_holdout,true
ECM-00313,2025-07-26,future_holdout,true
ECM-00314,2025-02-20,validation,true
ECM-00315,2025-11-11,future_holdout,true
ECM-00316,2025-03-14,validation,true
ECM-00317,2025-12-01,future_holdout,true
ECM-00318,2024-10-30,development,true
ECM-00319,2025-09-11,future_holdout,true
ECM-00320,2025-03-16,validation,true
ECM-00321,2025-10-21,future_holdout,true
ECM-00322,2024-10-15,development,true
ECM-00323,2024-11-19,development,true
ECM-00324,2025-02-21,validation,true
ECM-00325,2024-03-04,development,true
ECM-00326,2024-02-19,development,true
ECM-00327,2024-05-29,development,true
ECM-00328,2024-12-10,development,true
ECM-00329,2024-06-06,development,true
ECM-00330,2025-11-18,future_holdout,true
