order_id,customer_id,order_date,product_category,product_tier,product_price_usd,quantity,items_in_cart,discount_pct,payment_method,shipping_method,customer_segment,acquisition_channel,device_type,warehouse_id,fulfillment_agent,coupon_used,days_since_last_visit,currency,returned,return_amount_usd,return_date,delivery_delay_days,support_tickets,refund_processing_cost_usd,restocking_cost_usd,gross_margin_usd,net_contribution_usd,repeat_purchase_90d,last_modified_at
ECM-00001,ECM-CUST-0001,2024-12-08,apparel,premium,74.76,1,3,0.05,card,standard,new,paid_search,mobile,WH2,Agent 6,False,1,USD,False,0.0,,0,0,0.0,0.0,20.55,19.21,False,2025-02-28
ECM-00002,ECM-CUST-0562,2024-08-05,home_goods,standard,54.48,1,2,0.0,paypal,standard,returning,paid_search,mobile,WH1,Agent 6,False,22,USD,False,0.0,,0,0,0.0,19.68,20.69,0.02,True,2024-09-22
ECM-00003,ECM-CUST-1123,2025-09-13,electronics,standard,96.24,4,2,0.05,card,next_day,new,organic,tablet,WH3,Agent 2,False,0,USD,False,0.0,,0,0,0.0,6.56,138.91,125.41,True,2025-10-17
ECM-00004,ECM-CUST-1684,2025-09-08,apparel,standard,33.14,4,2,0.2,gift_card,standard,vip,organic,mobile,WH3,Agent 6,False,16,USD,False,0.0,,0,0,0.0,17.07,22.02,2.57,False,2025-09-10
ECM-00005,ECM-CUST-2245,2024-10-20,beauty,standard,44.65,2,2,0.2,paypal,next_day,new,social,mobile,WH4,Agent 8,False,0,USD,False,0.0,,0,0,0.0,5.06,18.94,12.26,,2024-11-24
ECM-00006,ECM-CUST-2806,2024-01-27,beauty,standard,46.52,2,2,0.2,buy_now_pay_later,standard,new,organic,desktop,WH3,Agent 2,False,37,USD,False,0.0,,0,0,0.0,11.51,19.72,6.54,False,2024-02-04
ECM-00007,ECM-CUST-0167,2024-12-21,apparel,premium,48.64,1,1,0.05,card,express,returning,social,mobile,WH4,Agent 4,False,17,USD,False,0.0,,0,0,0.0,11.0,19.43,7.55,False,2025-02-15
ECM-00008,ECM-CUST-0728,2025-08-31,apparel,standard,62.15,5,1,0.0,paypal,standard,new,paid_search,mobile,WH1,Agent 5,True,32,USD,False,0.0,,0,0,0.0,1.5,138.86,131.77,True,2025-09-01
ECM-00009,ECM-CUST-1289,2025-04-09,electronics,premium,132.3,1,6,0.15,card,express,returning,organic,mobile,WH1,Agent 7,False,6,USD,False,0.0,,1,0,0.0,0.8,25.21,20.44,False,2025-04-18
ECM-00010,ECM-CUST-1850,2025-03-29,toys,standard,50.93,1,1,0.3,card,standard,new,paid_search,tablet,WH2,Agent 4,True,39,USD,False,0.0,,0,0,0.0,8.48,7.04,-2.35,True,2025-06-18
ECM-00011,ECM-CUST-2411,2024-07-19,beauty,standard,36.06,1,3,0.1,paypal,next_day,new,paid_search,desktop,WH1,Agent 4,False,8,USD,False,0.0,,0,0,0.0,13.94,9.99,-4.61,True,2024-08-27
ECM-00012,ECM-CUST-2972,2025-09-06,electronics,standard,94.22,3,5,0.0,paypal,standard,returning,email,desktop,WH3,Agent 2,False,4,USD,False,0.0,,0,0,0.0,2.33,119.91,110.8,False,2025-12-01
ECM-00013,ECM-CUST-0333,2025-12-23,beauty,standard,44.17,4,2,0.3,card,standard,returning,paid_search,mobile,WH4,Agent 5,False,52,USD,False,0.0,,0,0,0.0,0.0,6.83,3.65,True,2026-01-07
ECM-00014,ECM-CUST-0894,2024-04-25,beauty,standard,43.57,1,1,0.15,buy_now_pay_later,standard,vip,email,mobile,WH4,Agent 6,False,32,USD,False,0.0,,0,0,0.0,9.66,8.59,-1.86,False,2024-06-23
ECM-00015,ECM-CUST-1455,2025-11-23,apparel,premium,56.81,1,3,0.05,buy_now_pay_later,standard,new,paid_search,mobile,WH2,Agent 6,False,41,USD,False,0.0,,0,0,0.0,3.09,19.7,15.58,False,2026-02-15
ECM-00016,ECM-CUST-2016,2025-05-20,home_goods,premium,215.62,5,1,0.3,paypal,next_day,new,paid_search,mobile,WH2,Agent 1,False,66,USD,False,0.0,,1,0,0.0,0.0,8.46,-10.94,False,2025-06-18
ECM-00017,ECM-CUST-2577,2025-07-08,electronics,standard,49.65,1,2,0.15,card,standard,vip,organic,tablet,WH2,Agent 2,False,26,USD,False,0.0,,0,0,0.0,26.01,12.49,-14.41,True,2025-09-06
ECM-00018,ECM-CUST-3138,2024-05-22,toys,premium,80.37,5,2,0.05,card,next_day,new,affiliate,mobile,WH3,Agent 4,False,25,USD,False,0.0,,0,0,0.0,5.01,113.23,100.98,False,2024-06-01
ECM-00019,ECM-CUST-0499,2024-12-06,home_goods,standard,70.37,2,1,0.05,card,standard,new,organic,desktop,WH1,Agent 2,True,89,USD,False,0.0,,0,0,0.0,17.75,46.59,26.31,True,2025-02-28
ECM-00020,ECM-CUST-1060,2025-10-19,beauty,standard,27.69,1,5,0.15,gift_card,next_day,returning,organic,desktop,WH1,Agent 2,False,11,USD,False,0.0,,0,0,0.0,7.02,6.34,-1.35,True,2025-11-14
ECM-00021,ECM-CUST-1621,2025-08-11,electronics,standard,78.49,1,1,0.1,card,standard,new,email,mobile,WH1,Agent 7,False,20,USD,False,0.0,,0,0,0.0,5.08,23.4,16.91,False,2025-09-16
ECM-00022,ECM-CUST-2182,2024-11-27,toys,standard,40.21,1,5,0.05,gift_card,next_day,returning,organic,desktop,WH3,Agent 2,False,25,USD,False,0.0,,0,0,0.0,8.79,14.9,5.14,False,2025-02-18
ECM-00023,ECM-CUST-2743,2024-07-15,home_goods,standard,41.88,3,2,0.0,buy_now_pay_later,express,new,email,desktop,WH1,Agent 2,False,19,USD,False,0.0,,0,0,0.0,1.51,50.49,46.72,False,2024-09-20
ECM-00024,ECM-CUST-0104,2024-10-02,toys,premium,57.47,2,1,0.15,paypal,next_day,returning,paid_search,mobile,WH1,Agent 5,False,20,USD,False,0.0,,0,0,0.0,4.14,30.21,24.0,True,2024-12-19
ECM-00025,ECM-CUST-0665,2024-12-26,APPAREL,standard,23.53,3,1,0.2,card,standard,new,organic,tablet,WH4,Agent 7,False,3,USD,False,0.0,,0,0,0.0,11.63,15.82,2.92,,2025-03-10
ECM-00026,ECM-CUST-1226,2025-11-12,apparel,standard,70.08,7,2,0.2,card,express,new,affiliate,mobile,WH4,Agent 5,False,0,USD,False,0.0,,0,0,0.0,13.25,102.5,80.42,False,2025-12-22
ECM-00027,ECM-CUST-1787,2025-05-12,toys,premium,69.89,2,4,0.2,buy_now_pay_later,standard,vip,social,desktop,WH1,Agent 3,False,0,USD,True,100.3,2025-05-18,0,0,0.0,0.0,-82.39,-84.9,False,2025-07-11
ECM-00028,ECM-CUST-2348,2024-01-25,home_goods,luxury,290.65,3,2,0.15,paypal,standard,returning,email,mobile,WH1,Agent 2,True,66,USD,True,729.7,2024-02-09,0,0,0.0,18.67,-549.41,-583.77,False,2024-03-31
ECM-00029,ECM-CUST-2909,2025-11-03,apparel,standard,52.75,2,1,0.1,card,standard,returning,email,tablet,WH1,Agent 5,False,51,USD,False,0.0,,0,0,0.0,14.63,25.96,9.43,True,2025-12-12
ECM-00030,ECM-CUST-0270,2024-06-17,apparel,premium,105.73,3,6,0.4,paypal,standard,returning,organic,desktop,WH2,Agent 2,False,42,USD,False,0.0,,0,0,0.0,14.84,-24.83,-49.18,False,2024-07-06
ECM-00031,ECM-CUST-0831,2024-09-04,electronics,standard,62.31,7,2,0.0,buy_now_pay_later,express,new,email,mobile,WH2,Agent 2,False,61,USD,False,0.0,,0,0,0.0,2.77,146.57,135.95,True,2024-09-13
ECM-00032,ECM-CUST-1392,2025-12-06,apparel,standard,48.56,1,3,0.2,paypal,standard,returning,email,mobile,WH2,Agent 1,False,0,USD,False,0.0,,0,0,0.0,5.9,10.52,3.75,False,2026-02-24
ECM-00033,ECM-CUST-1953,2025-03-08,electronics,standard,31.08,1,1,0.0,buy_now_pay_later,next_day,returning,paid_search,tablet,WH1,Agent 2,False,0,USD,False,0.0,,0,0,0.0,24.17,12.85,-11.88,True,2025-03-30
ECM-00034,ECM-CUST-2514,2024-05-09,beauty,luxury,112.44,4,3,0.2,buy_now_pay_later,express,new,organic,mobile,WH2,Agent 2,False,23,USD,False,0.0,,0,0,0.0,6.22,104.28,89.96,False,2024-07-27
ECM-00035,ECM-CUST-3075,2024-04-07,apparel,premium,35.79,3,3,0.4,buy_now_pay_later,standard,new,social,desktop,WH3,Agent 7,True,0,USD,False,0.0,,0,0,0.0,1.0,-4.3,-7.23,False,2024-06-18
ECM-00036,ECM-CUST-0436,2024-02-13,home_goods,standard,81.73,1,6,0.0,paypal,standard,returning,social,mobile,WH2,Agent 2,False,38,USD,False,0.0,,2,0,0.0,0.0,29.17,26.72,False,2024-03-21
ECM-00037,ECM-CUST-0997,2025-08-26,home_goods,premium,136.23,1,1,0.15,paypal,standard,vip,social,desktop,WH1,Agent 2,False,13,USD,False,0.0,,0,0,0.0,11.54,23.41,9.41,False,2025-10-22
ECM-00038,ECM-CUST-1558,2024-02-19,electronics,standard,58.44,2,2,0.4,buy_now_pay_later,express,new,email,mobile,WH1,Agent 6,False,0,USD,False,0.0,,0,0,0.0,0.0,0.7,-1.41,False,2024-03-24
ECM-00039,ECM-CUST-2119,2024-03-02,beauty,premium,70.27,1,2,0.0,card,standard,new,email,tablet,WH2,Agent 5,False,47,USD,False,0.0,,0,0,0.0,3.32,26.98,22.39,False,2024-04-26
ECM-00040,ECM-CUST-2680,2024-11-06,home_goods,standard,57.17,4,1,0.1,paypal,next_day,new,paid_search,mobile,WH2,Agent 2,False,0,USD,False,0.0,,0,0,0.0,1.47,68.0,62.41,False,2024-11-26
ECM-00041,ECM-CUST-0041,2025-11-13,home_goods,standard,103.21,1,6,0.0,card,express,returning,organic,desktop,WH3,Agent 2,False,2,USD,True,88.08,2025-12-18,0,0,0.0,4.82,-44.45,-52.37,False,2026-01-02
ECM-00042,ECM-CUST-0602,2025-09-25,toys,standard,27.5,2,2,0.05,card,standard,returning,organic,mobile,WH1,Agent 6,False,5,USD,False,0.0,,0,0,0.0,2.53,15.7,12.18,False,2025-10-22
ECM-00043,ECM-CUST-1163,2025-02-11,beauty,standard,37.52,2,1,0.15,paypal,next_day,new,organic,mobile,WH2,Agent 7,False,31,USD,False,0.0,,0,0,0.0,4.73,12.78,6.71,False,2025-04-06
ECM-00044,ECM-CUST-1724,2025-05-21,apparel,standard,19.06,4,1,0.05,paypal,standard,new,organic,desktop,WH1,Agent 6,False,37,USD,False,0.0,,0,0,0.0,3.39,29.36,24.6,False,2025-07-06
