source_row_number,split_label,source_currency
1,development,USD
2,development,USD
3,future_holdout,USD
4,validation,USD
5,validation,USD
6,validation,USD
7,development,USD
8,development,USD
9,development,USD
10,validation,USD
11,validation,USD
12,validation,USD
13,validation,USD
14,future_holdout,USD
15,development,USD
16,future_holdout,USD
17,future_holdout,USD
18,future_holdout,USD
19,development,USD
20,development,USD
21,future_holdout,USD
22,future_holdout,USD
23,validation,USD
24,development,USD
25,validation,USD
26,development,USD
27,development,USD
28,validation,USD
29,future_holdout,USD
30,development,USD
31,validation,USD
32,validation,USD
33,development,USD
34,development,USD
35,development,USD
36,validation,USD
37,future_holdout,USD
38,future_holdout,USD
39,development,USD
40,development,USD
41,development,USD
42,validation,USD
43,future_holdout,USD
44,validation,USD
45,validation,USD
46,validation,USD
47,development,USD
48,validation,USD
49,future_holdout,USD
50,development,USD
51,development,USD
52,development,USD
53,development,USD
54,development,USD
55,development,USD
56,future_holdout,USD
57,future_holdout,USD
58,development,USD
59,future_holdout,USD
60,development,USD
61,future_holdout,USD
62,future_holdout,USD
63,development,USD
64,future_holdout,USD
65,development,USD
66,future_holdout,USD
67,validation,USD
68,validation,USD
69,development,USD
70,validation,USD
71,validation,USD
72,development,USD
73,development,USD
74,future_holdout,USD
75,future_holdout,USD
76,future_holdout,USD
77,development,USD
78,validation,USD
79,future_holdout,USD
80,development,USD
81,validation,USD
82,development,USD
83,development,USD
84,future_holdout,USD
85,validation,USD
86,development,USD
87,validation,USD
88,development,USD
89,development,USD
90,development,USD
91,future_holdout,USD
92,development,USD
93,development,USD
94,validation,USD
95,development,USD
96,development,USD
97,future_holdout,USD
98,validation,USD
99,development,USD
100,future_holdout,USD
101,development,USD
102,development,USD
103,validation,USD
104,development,USD
105,development,USD
106,development,USD
107,validation,USD
108,development,USD
109,development,USD
110,development,USD
111,development,USD
112,development,USD
113,development,USD
114,development,USD
115,development,USD
116,development,USD
117,development,USD
118,future_holdout,USD
119,validation,USD
120,development,USD
121,development,USD
122,development,USD
123,development,USD
124,validation,USD
125,future_holdout,USD
126,development,USD
127,development,USD
128,validation,USD
129,development,USD
130,future_holdout,USD
131,validation,USD
132,validation,USD
133,development,USD
134,development,USD
135,future_holdout,USD
136,validation,USD
137,future_holdout,USD
138,development,USD
139,validation,USD
140,development,USD
141,future_holdout,USD
142,validation,USD
143,future_holdout,USD
144,development,USD
145,development,USD
146,future_holdout,USD
147,future_holdout,USD
148,future_holdout,USD
149,development,USD
150,future_holdout,USD
151,future_holdout,USD
152,development,USD
153,future_holdout,USD
154,development,USD
155,development,USD
156,future_holdout,USD
157,development,USD
158,development,USD
159,development,USD
160,development,USD
161,development,USD
162,development,USD
163,development,USD
164,development,USD
165,validation,USD
166,development,USD
167,development,USD
168,future_holdout,USD
169,development,USD
170,validation,USD
171,development,USD
172,development,USD
173,development,USD
174,development,USD
175,development,USD
176,development,USD
177,development,USD
178,future_holdout,USD
179,future_holdout,USD
180,validation,USD
181,development,USD
182,validation,USD
183,future_holdout,USD
184,development,USD
185,development,USD
186,development,USD
187,future_holdout,USD
188,development,USD
189,development,USD
190,validation,USD
191,development,USD
192,development,USD
193,development,USD
194,future_holdout,USD
195,development,USD
196,future_holdout,USD
197,validation,USD
198,validation,USD
199,validation,USD
200,development,USD
201,development,USD
202,future_holdout,USD
203,development,USD
204,validation,USD
205,development,USD
206,future_holdout,USD
207,validation,USD
208,validation,USD
209,development,USD
210,development,USD
211,development,USD
212,development,USD
213,development,USD
214,future_holdout,USD
215,development,USD
216,development,USD
217,validation,USD
218,future_holdout,USD
219,development,USD
220,development,USD
221,development,USD
222,development,USD
223,validation,USD
224,development,USD
225,development,USD
226,future_holdout,USD
227,validation,USD
228,validation,USD
229,development,USD
230,development,USD
231,development,USD
232,development,USD
233,validation,USD
234,validation,USD
235,validation,USD
236,future_holdout,USD
237,development,USD
238,validation,USD
239,development,USD
240,validation,USD
241,development,USD
242,validation,USD
243,development,USD
244,validation,USD
245,validation,USD
246,development,USD
247,development,USD
248,future_holdout,USD
249,development,USD
250,development,USD
251,validation,USD
252,future_holdout,USD
253,development,USD
254,development,USD
255,validation,USD
256,development,USD
257,validation,USD
258,validation,USD
259,validation,USD
260,development,USD
261,development,USD
262,validation,USD
263,validation,USD
264,development,USD
265,development,USD
266,development,USD
267,development,USD
268,future_holdout,USD
269,future_holdout,USD
270,development,USD
271,development,USD
272,development,USD
273,development,USD
274,validation,USD
275,future_holdout,USD
276,development,USD
277,development,USD
278,development,USD
279,development,USD
280,development,USD
281,development,USD
282,development,USD
283,future_holdout,USD
284,development,USD
285,development,USD
286,development,USD
287,validation,USD
288,future_holdout,USD
289,future_holdout,USD
290,validation,USD
291,validation,USD
292,validation,USD
293,development,USD
294,development,USD
295,development,USD
296,development,USD
297,development,USD
298,development,USD
299,validation,USD
300,development,USD
301,validation,USD
302,future_holdout,USD
303,future_holdout,USD
304,validation,USD
305,validation,USD
306,development,USD
307,development,USD
308,development,USD
309,development,USD
310,validation,USD
311,development,USD
312,future_holdout,USD
313,development,USD
314,development,USD
315,validation,USD
316,validation,USD
317,validation,USD
318,future_holdout,USD
319,future_holdout,USD
320,validation,USD
321,development,USD
322,development,USD
323,development,USD
324,development,USD
325,validation,USD
326,development,USD
327,development,USD
328,future_holdout,USD
329,future_holdout,USD
330,validation,USD
331,development,USD
332,future_holdout,USD
333,validation,USD
334,validation,USD
335,development,USD
336,development,USD
337,development,USD
338,validation,USD
339,future_holdout,USD
340,development,USD
341,development,USD
342,future_holdout,USD
343,development,USD
344,future_holdout,USD
345,future_holdout,USD
346,development,USD
347,development,USD
348,development,USD
349,development,USD
350,validation,USD
351,future_holdout,USD
352,development,USD
353,future_holdout,USD
354,development,USD
355,development,USD
356,validation,USD
357,validation,USD
358,development,USD
359,development,USD
360,development,USD
361,future_holdout,USD
362,development,USD
363,future_holdout,USD
364,future_holdout,USD
365,future_holdout,USD
366,development,USD
367,development,USD
368,development,USD
369,development,USD
370,validation,USD
371,validation,USD
372,future_holdout,USD
373,validation,USD
374,future_holdout,USD
375,development,USD
376,development,USD
377,development,USD
378,future_holdout,USD
379,future_holdout,USD
380,validation,USD
381,development,USD
382,validation,USD
383,development,USD
384,development,USD
385,development,USD
386,future_holdout,USD
387,development,USD
388,validation,USD
389,development,USD
390,future_holdout,USD
391,development,USD
392,validation,USD
393,development,USD
394,development,USD
395,future_holdout,USD
396,development,USD
397,development,USD
398,development,USD
399,development,USD
400,future_holdout,USD
401,validation,USD
402,development,USD
403,validation,USD
404,development,USD
405,validation,USD
406,validation,USD
407,development,USD
408,future_holdout,USD
409,development,USD
410,development,USD
411,validation,USD
412,validation,USD
413,development,USD
414,development,USD
415,development,USD
416,development,USD
417,development,USD
418,validation,USD
419,validation,USD
420,validation,USD
421,development,USD
422,development,USD
423,validation,USD
424,development,USD
425,development,USD
426,development,USD
427,development,USD
428,development,USD
429,validation,USD
430,development,USD
431,future_holdout,USD
432,development,USD
433,development,USD
434,future_holdout,USD
435,development,USD
436,future_holdout,USD
437,validation,USD
438,development,USD
439,future_holdout,USD
440,future_holdout,USD
441,validation,USD
442,development,USD
443,development,USD
444,validation,USD
445,future_holdout,USD
446,future_holdout,USD
447,future_holdout,USD
448,future_holdout,USD
449,development,USD
450,validation,USD
451,future_holdout,USD
452,future_holdout,USD
453,validation,USD
454,validation,USD
455,development,USD
456,future_holdout,USD
457,development,USD
458,development,USD
459,future_holdout,USD
460,development,USD
461,validation,USD
462,development,USD
463,future_holdout,USD
464,development,USD
465,development,USD
466,future_holdout,USD
467,development,USD
468,future_holdout,USD
469,development,USD
470,validation,USD
471,development,USD
472,development,USD
473,development,USD
474,development,USD
475,development,USD
476,development,USD
477,development,USD
478,future_holdout,USD
479,future_holdout,USD
480,future_holdout,USD
481,development,USD
482,validation,USD
483,development,USD
484,future_holdout,USD
485,validation,USD
486,development,USD
487,development,USD
488,development,USD
489,development,USD
490,future_holdout,USD
491,future_holdout,USD
492,development,USD
493,future_holdout,USD
494,development,USD
495,validation,USD
496,future_holdout,USD
497,development,USD
498,future_holdout,USD
499,development,USD
500,development,USD
501,validation,USD
502,validation,USD
503,development,USD
504,future_holdout,USD
505,future_holdout,USD
506,future_holdout,USD
507,validation,USD
508,development,USD
509,future_holdout,USD
510,validation,USD
511,future_holdout,USD
512,validation,USD
513,validation,USD
514,development,USD
515,future_holdout,USD
516,development,USD
517,validation,USD
518,development,USD
519,development,USD
520,development,USD
521,development,USD
522,future_holdout,USD
523,development,USD
524,development,USD
525,validation,USD
526,development,USD
527,future_holdout,USD
528,development,USD
529,validation,USD
530,development,USD
531,validation,USD
532,future_holdout,USD
533,development,USD
534,validation,USD
535,development,USD
536,validation,USD
537,future_holdout,USD
538,development,USD
539,validation,USD
540,development,USD
541,validation,USD
542,development,USD
543,development,USD
544,future_holdout,USD
545,development,USD
546,development,USD
547,development,USD
548,development,USD
549,development,USD
550,development,USD
551,validation,USD
552,development,USD
553,development,USD
554,development,USD
555,future_holdout,USD
556,development,USD
557,development,USD
558,validation,USD
559,future_holdout,USD
560,validation,USD
561,development,USD
562,development,USD
563,development,USD
564,validation,USD
565,future_holdout,USD
566,development,USD
567,development,USD
568,development,USD
569,future_holdout,USD
570,future_holdout,USD
571,development,USD
572,development,USD
573,development,USD
574,validation,USD
575,validation,USD
576,development,USD
577,development,USD
578,development,USD
579,development,USD
580,development,USD
581,future_holdout,USD
582,validation,USD
583,development,USD
584,validation,USD
585,development,USD
586,validation,USD
587,future_holdout,USD
588,development,USD
589,development,USD
590,future_holdout,USD
591,validation,USD
592,validation,USD
593,development,USD
594,development,USD
595,development,USD
596,validation,USD
597,development,USD
598,future_holdout,USD
599,development,USD
600,development,USD
601,development,USD
602,validation,USD
603,development,USD
604,future_holdout,USD
605,validation,USD
606,validation,USD
607,development,USD
608,validation,USD
609,validation,USD
610,development,USD
611,development,USD
612,validation,USD
613,validation,USD
614,development,USD
615,development,USD
616,development,USD
617,validation,USD
618,validation,USD
619,development,USD
620,future_holdout,USD
621,development,USD
622,future_holdout,USD
623,validation,USD
624,validation,USD
625,future_holdout,USD
626,validation,USD
627,validation,USD
628,development,USD
629,validation,USD
630,future_holdout,USD
631,development,USD
632,development,USD
633,development,USD
634,validation,USD
635,validation,USD
636,development,USD
637,development,USD
638,validation,USD
639,development,USD
640,development,USD
641,validation,USD
642,future_holdout,USD
643,validation,USD
644,future_holdout,USD
645,development,USD
646,development,USD
647,validation,USD
648,development,USD
649,future_holdout,USD
650,future_holdout,USD
651,validation,USD
652,future_holdout,USD
653,future_holdout,USD
654,validation,USD
655,validation,USD
656,validation,USD
657,validation,USD
