source_row_number,split_label,source_currency
1,development,USD
2,development,USD
3,validation,USD
4,validation,USD
5,future_holdout,USD
6,validation,USD
7,development,USD
8,validation,USD
9,validation,USD
10,development,USD
11,future_holdout,USD
12,development,USD
13,validation,USD
14,future_holdout,USD
15,validation,USD
16,development,USD
17,development,USD
18,future_holdout,USD
19,future_holdout,USD
20,future_holdout,USD
21,development,USD
22,development,USD
23,development,USD
24,validation,USD
25,development,USD
26,development,USD
27,validation,USD
28,development,USD
29,development,USD
30,development,USD
31,development,USD
32,future_holdout,USD
33,validation,USD
34,development,USD
35,development,USD
36,validation,USD
37,validation,USD
38,future_holdout,USD
39,future_holdout,USD
40,validation,USD
41,validation,USD
42,development,USD
43,future_holdout,USD
44,development,USD
45,validation,USD
46,development,USD
47,development,USD
48,development,USD
49,validation,USD
50,future_holdout,USD
51,development,USD
52,validation,USD
53,development,USD
54,future_holdout,USD
55,development,USD
56,validation,USD
57,development,USD
58,validation,USD
59,future_holdout,USD
60,future_holdout,USD
61,future_holdout,USD
62,development,USD
63,future_holdout,USD
64,future_holdout,USD
65,development,USD
66,development,USD
67,future_holdout,USD
68,development,USD
69,validation,USD
70,future_holdout,USD
71,validation,USD
72,future_holdout,USD
73,development,USD
74,validation,USD
75,development,USD
76,future_holdout,USD
77,development,USD
78,development,USD
79,validation,USD
80,validation,USD
81,future_holdout,USD
82,validation,USD
83,development,USD
84,development,USD
85,future_holdout,USD
86,development,USD
87,validation,USD
88,validation,USD
89,future_holdout,USD
90,development,USD
91,validation,USD
92,future_holdout,USD
93,development,USD
94,future_holdout,USD
95,validation,USD
96,validation,USD
97,validation,USD
98,validation,USD
99,future_holdout,USD
100,development,USD
101,development,USD
102,development,USD
103,development,USD
104,validation,USD
105,future_holdout,USD
106,development,USD
107,development,USD
108,development,USD
109,future_holdout,USD
110,future_holdout,USD
111,future_holdout,USD
112,validation,USD
113,future_holdout,USD
114,development,USD
115,future_holdout,USD
116,validation,USD
117,development,USD
118,development,USD
119,development,USD
120,validation,USD
121,development,USD
122,validation,USD
123,validation,USD
124,validation,USD
125,future_holdout,USD
126,development,USD
127,development,USD
128,validation,USD
129,future_holdout,USD
130,validation,USD
131,validation,USD
132,validation,USD
133,development,USD
134,development,USD
135,future_holdout,USD
136,future_holdout,USD
137,development,USD
138,development,USD
139,validation,USD
140,future_holdout,USD
141,validation,USD
142,validation,USD
143,development,USD
144,validation,USD
145,development,USD
146,future_holdout,USD
147,development,USD
148,development,USD
149,validation,USD
150,future_holdout,USD
151,development,USD
152,development,USD
153,development,USD
154,development,USD
155,future_holdout,USD
156,validation,USD
157,development,USD
158,validation,USD
159,future_holdout,USD
160,development,USD
161,development,USD
162,future_holdout,USD
163,development,USD
164,development,USD
165,future_holdout,USD
166,development,USD
167,future_holdout,USD
168,development,USD
169,validation,USD
170,development,USD
171,future_holdout,USD
172,development,USD
173,validation,USD
174,future_holdout,USD
175,future_holdout,USD
176,future_holdout,USD
177,validation,USD
178,future_holdout,USD
179,development,USD
180,validation,USD
181,validation,USD
182,future_holdout,USD
183,future_holdout,USD
184,development,USD
185,development,USD
186,validation,USD
187,future_holdout,USD
188,validation,USD
189,development,USD
190,future_holdout,USD
191,validation,USD
192,development,USD
193,future_holdout,USD
194,development,USD
195,development,USD
196,future_holdout,USD
197,validation,USD
198,development,USD
199,development,USD
200,validation,USD
201,development,USD
202,validation,USD
203,future_holdout,USD
204,future_holdout,USD
205,validation,USD
206,development,USD
207,development,USD
208,future_holdout,USD
209,development,USD
210,development,USD
211,future_holdout,USD
212,development,USD
213,development,USD
214,development,USD
215,validation,USD
216,future_holdout,USD
217,development,USD
218,development,USD
219,development,USD
220,development,USD
221,validation,USD
222,development,USD
223,future_holdout,USD
224,future_holdout,USD
225,validation,USD
226,development,USD
227,development,USD
228,future_holdout,USD
229,development,USD
230,future_holdout,USD
231,development,USD
232,development,USD
233,validation,USD
234,future_holdout,USD
235,development,USD
236,future_holdout,USD
237,development,USD
238,validation,USD
239,development,USD
240,development,USD
241,validation,USD
242,future_holdout,USD
243,future_holdout,USD
244,validation,USD
245,validation,USD
246,validation,USD
247,validation,USD
248,validation,USD
249,development,USD
250,development,USD
251,validation,USD
252,future_holdout,USD
253,validation,USD
254,future_holdout,USD
255,validation,USD
256,development,USD
257,development,USD
258,development,USD
259,development,USD
260,validation,USD
261,future_holdout,USD
262,development,USD
263,development,USD
264,future_holdout,USD
265,future_holdout,USD
266,future_holdout,USD
267,development,USD
268,future_holdout,USD
269,future_holdout,USD
270,development,USD
271,development,USD
272,development,USD
273,future_holdout,USD
274,future_holdout,USD
275,future_holdout,USD
276,future_holdout,USD
277,development,USD
278,development,USD
279,development,USD
280,validation,USD
281,validation,USD
282,development,USD
283,development,USD
284,future_holdout,USD
285,development,USD
286,development,USD
287,development,USD
288,development,USD
289,development,USD
290,future_holdout,USD
291,future_holdout,USD
292,development,USD
293,validation,USD
294,development,USD
295,development,USD
296,development,USD
297,validation,USD
298,future_holdout,USD
299,development,USD
300,development,USD
301,development,USD
302,development,USD
303,development,USD
304,future_holdout,USD
305,development,USD
306,development,USD
307,development,USD
308,development,USD
309,development,USD
310,development,USD
311,development,USD
312,validation,USD
313,development,USD
314,validation,USD
315,future_holdout,USD
316,development,USD
317,validation,USD
318,development,USD
319,future_holdout,USD
320,development,USD
321,development,USD
322,development,USD
323,development,USD
324,validation,USD
325,development,USD
326,development,USD
327,validation,USD
328,future_holdout,USD
329,development,USD
330,future_holdout,USD
331,development,USD
332,future_holdout,USD
333,development,USD
334,development,USD
335,future_holdout,USD
336,development,USD
337,development,USD
338,development,USD
339,validation,USD
340,validation,USD
341,development,USD
342,development,USD
343,development,USD
344,development,USD
345,future_holdout,USD
346,development,USD
347,development,USD
348,validation,USD
349,development,USD
350,future_holdout,USD
351,validation,USD
352,future_holdout,USD
353,development,USD
354,development,USD
355,development,USD
356,validation,USD
357,development,USD
358,development,USD
359,future_holdout,USD
360,development,USD
361,validation,USD
362,future_holdout,USD
363,development,USD
364,development,USD
365,validation,USD
366,validation,USD
367,development,USD
368,future_holdout,USD
369,future_holdout,USD
370,future_holdout,USD
371,development,USD
372,validation,USD
373,validation,USD
374,validation,USD
375,validation,USD
376,validation,USD
377,development,USD
378,development,USD
379,future_holdout,USD
380,future_holdout,USD
381,development,USD
382,validation,USD
383,development,USD
384,development,USD
385,development,USD
386,future_holdout,USD
387,validation,USD
388,development,USD
389,validation,USD
390,development,USD
391,development,USD
392,development,USD
393,future_holdout,USD
394,future_holdout,USD
395,development,USD
396,validation,USD
397,development,USD
398,future_holdout,USD
399,development,USD
400,future_holdout,USD
401,development,USD
402,validation,USD
403,development,USD
404,future_holdout,USD
405,validation,USD
406,development,USD
407,validation,USD
408,future_holdout,USD
409,validation,USD
410,validation,USD
411,validation,USD
412,development,USD
413,future_holdout,USD
414,development,USD
415,development,USD
416,validation,USD
417,validation,USD
418,validation,USD
419,future_holdout,USD
420,validation,USD
421,validation,USD
422,validation,USD
423,development,USD
424,development,USD
425,validation,USD
426,development,USD
427,development,USD
428,future_holdout,USD
429,development,USD
430,development,USD
431,development,USD
432,future_holdout,USD
433,future_holdout,USD
434,development,USD
435,development,USD
436,future_holdout,USD
437,validation,USD
438,validation,USD
439,development,USD
440,development,USD
441,future_holdout,USD
442,future_holdout,USD
443,future_holdout,USD
444,development,USD
445,future_holdout,USD
446,validation,USD
447,validation,USD
448,future_holdout,USD
449,development,USD
450,validation,USD
451,future_holdout,USD
452,future_holdout,USD
453,development,USD
454,future_holdout,USD
455,development,USD
456,validation,USD
457,validation,USD
458,future_holdout,USD
459,development,USD
460,development,USD
461,development,USD
462,future_holdout,USD
463,development,USD
464,validation,USD
465,development,USD
466,future_holdout,USD
467,development,USD
468,validation,USD
469,future_holdout,USD
470,validation,USD
471,future_holdout,USD
472,development,USD
473,development,USD
474,validation,USD
475,development,USD
476,development,USD
477,development,USD
478,development,USD
479,validation,USD
480,validation,USD
481,development,USD
482,development,USD
483,development,USD
484,validation,USD
485,validation,USD
486,validation,USD
487,validation,USD
488,development,USD
489,future_holdout,USD
490,development,USD
491,development,USD
492,development,USD
493,validation,USD
494,development,USD
495,validation,USD
496,development,USD
497,validation,USD
498,development,USD
499,development,USD
500,development,USD
501,development,USD
502,development,USD
503,development,USD
504,validation,USD
505,development,USD
506,future_holdout,USD
507,development,USD
508,validation,USD
509,validation,USD
510,development,USD
511,future_holdout,USD
512,development,USD
513,validation,USD
514,development,USD
515,development,USD
516,future_holdout,USD
517,validation,USD
518,future_holdout,USD
519,development,USD
520,development,USD
521,future_holdout,USD
522,development,USD
523,development,USD
524,development,USD
525,future_holdout,USD
526,validation,USD
527,validation,USD
528,development,USD
529,development,USD
530,development,USD
531,future_holdout,USD
532,development,USD
533,validation,USD
534,future_holdout,USD
535,development,USD
536,validation,USD
537,development,USD
538,future_holdout,USD
539,development,USD
540,validation,USD
541,development,USD
542,validation,USD
543,future_holdout,USD
544,validation,USD
545,validation,USD
546,future_holdout,USD
547,future_holdout,USD
548,validation,USD
549,future_holdout,USD
550,validation,USD
551,development,USD
552,development,USD
553,development,USD
554,future_holdout,USD
555,development,USD
556,validation,USD
557,future_holdout,USD
558,validation,USD
559,development,USD
560,validation,USD
561,future_holdout,USD
562,development,USD
563,future_holdout,USD
564,future_holdout,USD
565,validation,USD
566,development,USD
567,validation,USD
568,validation,USD
569,development,USD
570,future_holdout,USD
571,validation,USD
572,development,USD
573,future_holdout,USD
574,development,USD
575,future_holdout,USD
576,future_holdout,USD
577,future_holdout,USD
578,development,USD
579,development,USD
580,development,USD
581,development,USD
582,development,USD
583,development,USD
584,development,USD
585,development,USD
586,future_holdout,USD
587,development,USD
588,future_holdout,USD
589,development,USD
590,development,USD
591,development,USD
592,validation,USD
593,validation,USD
594,future_holdout,USD
595,development,USD
596,future_holdout,USD
597,validation,USD
598,development,USD
599,validation,USD
600,development,USD
601,validation,USD
602,future_holdout,USD
603,development,USD
604,validation,USD
605,future_holdout,USD
606,development,USD
607,development,USD
608,future_holdout,USD
609,future_holdout,USD
610,future_holdout,USD
611,development,USD
612,future_holdout,USD
613,future_holdout,USD
614,development,USD
615,validation,USD
616,validation,USD
617,future_holdout,USD
618,validation,USD
619,future_holdout,USD
620,development,USD
621,development,USD
622,future_holdout,USD
623,future_holdout,USD
624,future_holdout,USD
625,development,USD
626,development,USD
627,development,USD
628,future_holdout,USD
629,development,USD
630,future_holdout,USD
631,validation,USD
632,development,USD
633,validation,USD
634,validation,USD
635,validation,USD
636,development,USD
637,development,USD
638,future_holdout,USD
639,future_holdout,USD
640,development,USD
641,development,USD
