batch_date,product_line,raw_material_supplier,shift,batch_size_units,operator,machine_id,planned_cycle_time_min,material_grade,humidity_pct,temperature_c,rush_order
2024-12-08,Line A,Supplier 4,day,713,Operator 7,Machine 4,48.06,premium,38.95,12.07,false
2024-08-01,Line C,Supplier 3,night,350,Operator 1,Machine 5,19.03,premium,48.34,21.13,false
2025-05-01,Line D,Supplier 3,night,919,Operator 2,Machine 1,15.94,standard,57.86,32.32,false
2025-05-23,Line C,Supplier 1,evening,818,Operator 5,Machine 3,32.63,premium,25.24,6.47,false
2025-11-29,Line B,Supplier 3,evening,504,Operator 6,Machine 4,5.0,standard,65.6,29.03,false
2024-10-13,Line D,Supplier 4,day,1322,Operator 2,Machine 5,12.31,premium,64.44,20.27,false
2025-06-04,Line A,Supplier 5,day,529,Operator 8,Machine 3,21.37,premium,22.42,22.43,false
2025-12-14,Line C,Supplier 3,evening,209,Operator 2,Machine 5,53.62,premium,47.6,15.32,false
2024-09-18,Line C,Supplier 4,night,134,Operator 8,Machine 5,28.94,standard,69.98,13.02,true
2024-02-23,Line A,Supplier 2,night,434,Operator 1,Machine 1,33.9,premium,46.73,21.23,true
2025-02-15,Line A,Supplier 4,day,320,Operator 4,Machine 4,44.49,premium,68.07,18.1,false
2025-10-15,Line D,Supplier 1,night,646,Operator 2,Machine 6,43.13,premium,20.0,20.79,true
2025-07-05,Line B,Supplier 5,day,285,Operator 3,Machine 5,41.31,premium,47.75,14.02,false
2025-06-27,Line C,Supplier 3,day,817,Operator 5,Machine 1,32.36,premium,32.31,13.55,false
2024-11-17,Line A,Supplier 3,day,1191,Operator 2,Machine 1,18.81,premium,38.83,20.56,false
2025-01-20,Line A,Supplier 5,day,356,Operator 1,Machine 1,18.87,standard,69.69,23.87,true
2025-08-23,Line D,Supplier 3,night,50,Operator 2,Machine 5,28.8,premium,42.5,23.59,false
2024-12-01,Line B,Supplier 2,evening,213,Operator 7,Machine 5,44.02,premium,43.0,17.89,false
2024-04-23,Line A,Supplier 5,day,1198,Operator 2,Machine 5,33.72,premium,90.09,11.32,false
2025-06-22,Line A,Supplier 5,night,1057,Operator 2,Machine 5,32.94,premium,58.69,37.66,false
2024-06-24,Line A,Supplier 3,day,733,Operator 8,Machine 3,67.28,premium,72.76,31.26,false
2024-11-08,Line C,Supplier 1,evening,430,Operator 6,Machine 2,67.16,premium,46.41,27.07,false
2025-12-05,Line A,Supplier 4,day,50,Operator 3,Machine 5,40.19,premium,45.73,21.6,false
2024-04-09,Line D,Supplier 1,day,670,Operator 5,Machine 3,41.51,premium,47.55,20.67,false
2025-03-29,Line D,Supplier 2,evening,587,Operator 6,Machine 4,30.77,premium,35.57,20.75,true
2025-07-12,Line A,Supplier 5,day,311,Operator 3,Machine 6,44.4,premium,43.43,22.85,false
2024-12-27,Line B,Supplier 1,evening,504,Operator 1,Machine 3,42.78,premium,63.14,21.98,false
2024-07-31,Line B,Supplier 1,night,118,Operator 7,Machine 5,28.67,premium,35.39,22.82,false
2024-09-11,Line A,Supplier 5,evening,887,Operator 2,Machine 4,34.68,standard,53.29,30.53,true
2025-02-07,Line C,Supplier 3,night,582,Operator 3,Machine 1,32.38,premium,56.8,20.47,false
2025-12-07,Line C,Supplier 3,night,703,Operator 3,Machine 2,13.9,standard,52.7,27.45,false
2025-01-07,Line A,Supplier 3,evening,351,Operator 8,Machine 6,31.59,premium,44.42,24.65,false
2024-09-21,Line B,Supplier 5,evening,851,Operator 6,Machine 3,29.23,premium,35.64,28.91,false
2025-06-04,Line A,Supplier 1,evening,141,Operator 7,Machine 5,29.94,standard,79.5,10.4,false
2024-04-08,Line A,Supplier 2,day,318,Operator 2,Machine 1,23.54,standard,63.48,22.01,true
2025-07-24,Line A,Supplier 3,day,556,Operator 7,Machine 1,5.0,premium,81.86,24.83,false
2024-02-18,Line C,Supplier 1,day,1218,Operator 2,Machine 5,33.71,premium,48.32,15.21,false
2025-10-06,Line D,Supplier 1,evening,844,Operator 2,Machine 3,45.81,premium,51.63,22.36,false
2024-11-26,Line A,Supplier 5,night,912,Operator 2,Machine 1,18.51,standard,60.7,18.48,true
2024-06-27,Line C,Supplier 3,evening,798,Operator 1,Machine 1,28.66,premium,22.69,14.27,true
2024-05-22,Line B,Supplier 1,night,649,Operator 8,Machine 6,39.44,premium,45.05,18.88,true
2024-03-13,Line C,Supplier 3,day,397,Operator 3,Machine 1,23.09,premium,53.65,25.17,false
2024-07-03,Line A,Supplier 5,night,742,Operator 5,Machine 1,41.45,premium,54.63,19.13,false
2024-05-07,Line C,Supplier 4,night,889,Operator 8,Machine 4,39.39,premium,41.79,11.05,false
2024-01-08,Line B,Supplier 5,evening,684,Operator 5,Machine 6,5.01,premium,57.62,17.84,false
2024-10-06,Line A,Supplier 3,day,904,Operator 2,Machine 2,36.05,standard,56.48,18.07,false
2024-10-21,Line D,Supplier 3,night,870,Operator 2,Machine 6,25.14,standard,62.23,33.61,false
2024-11-14,Line A,Supplier 1,evening,646,Operator 7,Machine 6,57.24,standard,70.78,29.89,false
2025-11-29,Line D,Supplier 3,night,921,Operator 2,Machine 4,29.57,premium,45.8,23.66,false
2024-03-24,Line A,Supplier 2,night,657,Operator 7,Machine 4,40.95,premium,48.88,25.99,false
2025-12-08,Line B,Supplier 4,night,1028,Operator 6,Machine 5,40.93,premium,38.6,32.24,true
2025-05-21,Line A,Supplier 1,night,495,Operator 2,Machine 3,21.98,standard,44.52,18.73,true
2025-10-03,Line C,Supplier 2,night,972,Operator 2,Machine 4,29.29,premium,32.78,26.49,false
2025-04-18,Line B,Supplier 4,day,1272,Operator 2,Machine 2,44.02,standard,54.97,11.21,false
2025-07-25,Line B,Supplier 3,evening,286,Operator 5,Machine 5,20.19,standard,51.63,24.05,false
2024-09-04,Line A,Supplier 3,day,646,Operator 8,Machine 3,46.62,premium,50.31,24.29,false
2025-08-30,Line A,Supplier 1,day,949,Operator 2,Machine 6,40.28,standard,54.51,23.19,false
2025-12-25,Line A,Supplier 1,day,1064,Operator 8,Machine 2,33.8,premium,42.91,24.86,false
2025-09-25,Line B,Supplier 4,evening,475,Operator 1,Machine 5,33.12,premium,58.93,22.65,false
2025-02-13,Line B,Supplier 1,evening,174,Operator 7,Machine 5,45.06,premium,44.17,17.44,false
2025-01-27,Line C,Supplier 3,night,1257,Operator 2,Machine 2,34.47,premium,62.18,14.06,false
2025-08-15,Line A,Supplier 5,day,371,Operator 1,Machine 3,24.25,standard,58.86,23.51,false
2024-11-12,Line D,Supplier 1,evening,1399,Operator 2,Machine 6,50.72,premium,44.66,13.49,false
2024-07-01,Line D,Supplier 2,night,103,Operator 6,Machine 5,21.38,standard,58.2,24.68,true
