batch_id,production_line_id
MFG-00001,MFG-PL-001
MFG-00002,MFG-PL-062
MFG-00003,MFG-PL-123
MFG-00004,MFG-PL-184
MFG-00005,MFG-PL-245
MFG-00006,MFG-PL-306
MFG-00007,MFG-PL-367
MFG-00008,MFG-PL-428
MFG-00009,MFG-PL-489
MFG-00010,MFG-PL-550
MFG-00011,MFG-PL-611
MFG-00012,MFG-PL-672
MFG-00013,MFG-PL-733
MFG-00014,MFG-PL-794
MFG-00015,MFG-PL-855
MFG-00016,MFG-PL-016
MFG-00017,MFG-PL-077
MFG-00018,MFG-PL-138
MFG-00019,MFG-PL-199
MFG-00020,MFG-PL-260
MFG-00021,MFG-PL-321
MFG-00022,MFG-PL-382
MFG-00023,MFG-PL-443
MFG-00024,MFG-PL-504
MFG-00025,MFG-PL-565
MFG-00026,MFG-PL-626
MFG-00027,MFG-PL-687
MFG-00028,MFG-PL-748
MFG-00029,MFG-PL-809
MFG-00030,MFG-PL-870
MFG-00031,MFG-PL-031
MFG-00032,MFG-PL-092
MFG-00033,MFG-PL-153
MFG-00034,MFG-PL-214
MFG-00035,MFG-PL-275
MFG-00036,MFG-PL-336
MFG-00037,MFG-PL-397
MFG-00038,MFG-PL-458
MFG-00039,MFG-PL-519
MFG-00040,MFG-PL-580
MFG-00041,MFG-PL-641
MFG-00042,MFG-PL-702
MFG-00043,MFG-PL-763
MFG-00044,MFG-PL-824
MFG-00045,MFG-PL-885
MFG-00046,MFG-PL-046
MFG-00047,MFG-PL-107
MFG-00048,MFG-PL-168
MFG-00049,MFG-PL-229
MFG-00050,MFG-PL-290
MFG-00051,MFG-PL-351
MFG-00052,MFG-PL-412
MFG-00053,MFG-PL-473
MFG-00054,MFG-PL-534
MFG-00055,MFG-PL-595
MFG-00056,MFG-PL-656
MFG-00057,MFG-PL-717
MFG-00058,MFG-PL-778
MFG-00059,MFG-PL-839
MFG-00060,MFG-PL-900
MFG-00061,MFG-PL-061
MFG-00062,MFG-PL-122
MFG-00063,MFG-PL-183
MFG-00064,MFG-PL-244
MFG-00065,MFG-PL-305
MFG-00066,MFG-PL-366
MFG-00067,MFG-PL-427
MFG-00068,MFG-PL-488
MFG-00069,MFG-PL-549
MFG-00070,MFG-PL-610
MFG-00071,MFG-PL-671
MFG-00072,MFG-PL-732
MFG-00073,MFG-PL-793
MFG-00074,MFG-PL-854
MFG-00075,MFG-PL-015
MFG-00076,MFG-PL-076
MFG-00077,MFG-PL-137
MFG-00078,MFG-PL-198
MFG-00079,MFG-PL-259
MFG-00080,MFG-PL-320
