source_row_number,split_label,source_currency
1,development,USD
2,development,USD
3,validation,USD
4,validation,USD
5,future_holdout,USD
6,development,USD
7,validation,USD
8,future_holdout,USD
9,development,USD
10,development,USD
11,validation,USD
12,future_holdout,USD
13,future_holdout,USD
14,validation,USD
15,development,USD
16,validation,USD
17,future_holdout,USD
18,development,USD
19,development,USD
20,validation,USD
21,development,USD
22,development,USD
23,future_holdout,USD
24,development,USD
25,validation,USD
26,future_holdout,USD
27,development,USD
28,development,USD
29,development,USD
30,validation,USD
31,future_holdout,USD
32,validation,USD
33,development,USD
34,validation,USD
35,development,USD
36,future_holdout,USD
37,development,USD
38,future_holdout,USD
39,development,USD
40,development,USD
41,development,USD
42,development,USD
43,development,USD
44,development,USD
45,development,USD
46,development,USD
47,development,USD
48,development,USD
49,future_holdout,USD
50,development,USD
51,future_holdout,USD
52,validation,USD
53,future_holdout,USD
54,validation,USD
55,future_holdout,USD
56,development,USD
57,future_holdout,USD
58,future_holdout,USD
59,future_holdout,USD
60,validation,USD
61,validation,USD
62,future_holdout,USD
63,development,USD
64,development,USD
65,validation,USD
66,validation,USD
67,development,USD
68,development,USD
69,future_holdout,USD
70,validation,USD
71,validation,USD
72,development,USD
73,validation,USD
74,development,USD
75,development,USD
76,validation,USD
77,development,USD
78,development,USD
79,validation,USD
80,development,USD
81,development,USD
82,development,USD
83,validation,USD
84,development,USD
85,future_holdout,USD
86,development,USD
87,development,USD
88,development,USD
89,development,USD
90,development,USD
91,development,USD
92,development,USD
93,development,USD
94,development,USD
95,development,USD
96,future_holdout,USD
97,future_holdout,USD
98,development,USD
99,development,USD
100,future_holdout,USD
101,development,USD
102,future_holdout,USD
103,validation,USD
104,future_holdout,USD
105,development,USD
106,future_holdout,USD
107,development,USD
108,development,USD
109,validation,USD
110,future_holdout,USD
111,validation,USD
112,validation,USD
113,development,USD
114,development,USD
115,development,USD
116,development,USD
117,development,USD
118,future_holdout,USD
119,development,USD
120,validation,USD
121,development,USD
122,development,USD
123,validation,USD
124,validation,USD
125,validation,USD
126,future_holdout,USD
127,development,USD
128,future_holdout,USD
129,validation,USD
130,future_holdout,USD
131,development,USD
132,development,USD
133,validation,USD
134,development,USD
135,development,USD
136,development,USD
137,future_holdout,USD
138,development,USD
139,development,USD
140,future_holdout,USD
141,development,USD
142,development,USD
143,development,USD
144,future_holdout,USD
145,future_holdout,USD
146,future_holdout,USD
147,development,USD
148,future_holdout,USD
149,validation,USD
150,development,USD
151,development,USD
152,validation,USD
153,development,USD
154,validation,USD
155,development,USD
156,development,USD
157,future_holdout,USD
158,development,USD
159,development,USD
160,future_holdout,USD
161,validation,USD
162,development,USD
163,future_holdout,USD
164,validation,USD
165,development,USD
166,future_holdout,USD
167,development,USD
168,development,USD
169,future_holdout,USD
170,validation,USD
171,future_holdout,USD
172,future_holdout,USD
173,development,USD
174,validation,USD
175,validation,USD
176,validation,USD
177,future_holdout,USD
178,development,USD
179,future_holdout,USD
180,future_holdout,USD
181,validation,USD
182,development,USD
183,development,USD
184,validation,USD
185,future_holdout,USD
186,validation,USD
187,development,USD
188,development,USD
189,validation,USD
190,validation,USD
191,development,USD
192,development,USD
193,development,USD
194,development,USD
195,development,USD
196,development,USD
197,development,USD
198,development,USD
199,development,USD
200,development,USD
201,validation,USD
202,future_holdout,USD
203,development,USD
204,development,USD
205,development,USD
206,validation,USD
207,validation,USD
208,development,USD
209,development,USD
210,development,USD
211,future_holdout,USD
212,future_holdout,USD
213,validation,USD
214,development,USD
215,development,USD
216,validation,USD
217,development,USD
218,validation,USD
219,development,USD
220,validation,USD
221,future_holdout,USD
222,development,USD
223,development,USD
224,future_holdout,USD
225,development,USD
226,validation,USD
227,future_holdout,USD
228,development,USD
229,development,USD
230,development,USD
231,development,USD
232,validation,USD
233,development,USD
234,future_holdout,USD
235,development,USD
236,future_holdout,USD
237,future_holdout,USD
238,development,USD
239,future_holdout,USD
240,validation,USD
241,development,USD
242,development,USD
243,validation,USD
244,development,USD
245,validation,USD
246,validation,USD
247,future_holdout,USD
248,future_holdout,USD
249,development,USD
250,future_holdout,USD
251,future_holdout,USD
252,development,USD
253,future_holdout,USD
254,validation,USD
255,future_holdout,USD
256,future_holdout,USD
257,validation,USD
258,validation,USD
259,future_holdout,USD
260,development,USD
261,validation,USD
262,validation,USD
263,future_holdout,USD
264,development,USD
265,development,USD
266,future_holdout,USD
267,future_holdout,USD
268,validation,USD
269,development,USD
270,validation,USD
271,development,USD
272,development,USD
273,development,USD
274,development,USD
275,validation,USD
276,development,USD
277,future_holdout,USD
278,future_holdout,USD
279,future_holdout,USD
280,validation,USD
281,validation,USD
282,future_holdout,USD
283,validation,USD
284,development,USD
285,development,USD
286,development,USD
287,development,USD
288,development,USD
289,development,USD
290,development,USD
291,validation,USD
292,development,USD
293,future_holdout,USD
294,future_holdout,USD
295,development,USD
296,development,USD
297,future_holdout,USD
298,future_holdout,USD
299,development,USD
300,development,USD
301,validation,USD
302,future_holdout,USD
303,future_holdout,USD
304,future_holdout,USD
305,validation,USD
306,development,USD
307,future_holdout,USD
308,development,USD
309,development,USD
310,development,USD
311,development,USD
312,future_holdout,USD
313,development,USD
314,future_holdout,USD
315,development,USD
316,development,USD
317,development,USD
318,development,USD
319,validation,USD
320,validation,USD
321,development,USD
322,development,USD
323,validation,USD
324,development,USD
325,future_holdout,USD
326,development,USD
327,validation,USD
328,development,USD
329,validation,USD
330,future_holdout,USD
331,development,USD
332,future_holdout,USD
333,development,USD
334,future_holdout,USD
335,development,USD
336,development,USD
337,development,USD
338,future_holdout,USD
339,validation,USD
340,development,USD
341,development,USD
342,future_holdout,USD
343,development,USD
344,development,USD
345,development,USD
346,validation,USD
347,future_holdout,USD
348,development,USD
349,development,USD
350,validation,USD
351,future_holdout,USD
352,development,USD
353,development,USD
354,future_holdout,USD
355,development,USD
356,future_holdout,USD
357,development,USD
358,validation,USD
359,development,USD
360,development,USD
361,future_holdout,USD
362,development,USD
363,future_holdout,USD
364,validation,USD
365,development,USD
366,development,USD
367,development,USD
368,development,USD
369,development,USD
370,future_holdout,USD
371,development,USD
372,development,USD
373,development,USD
374,development,USD
375,validation,USD
376,validation,USD
377,development,USD
378,validation,USD
379,future_holdout,USD
380,validation,USD
381,validation,USD
382,development,USD
383,development,USD
384,development,USD
385,future_holdout,USD
386,validation,USD
387,validation,USD
388,development,USD
389,development,USD
390,validation,USD
391,future_holdout,USD
392,development,USD
393,development,USD
394,development,USD
395,development,USD
396,development,USD
397,development,USD
398,future_holdout,USD
399,future_holdout,USD
400,development,USD
401,development,USD
402,development,USD
403,development,USD
404,validation,USD
405,development,USD
406,development,USD
407,development,USD
408,development,USD
409,future_holdout,USD
410,future_holdout,USD
411,validation,USD
412,validation,USD
413,validation,USD
414,future_holdout,USD
415,validation,USD
416,development,USD
417,development,USD
418,development,USD
419,development,USD
420,development,USD
421,future_holdout,USD
422,future_holdout,USD
423,development,USD
424,development,USD
425,future_holdout,USD
426,future_holdout,USD
427,validation,USD
428,future_holdout,USD
429,development,USD
430,development,USD
431,validation,USD
432,development,USD
433,development,USD
434,future_holdout,USD
435,development,USD
436,validation,USD
437,validation,USD
438,development,USD
439,development,USD
440,validation,USD
441,development,USD
442,development,USD
443,development,USD
444,validation,USD
445,development,USD
446,future_holdout,USD
447,development,USD
448,development,USD
449,validation,USD
450,validation,USD
451,development,USD
452,development,USD
453,future_holdout,USD
454,validation,USD
455,validation,USD
456,validation,USD
457,development,USD
458,validation,USD
459,validation,USD
460,future_holdout,USD
461,development,USD
462,development,USD
463,development,USD
464,validation,USD
465,future_holdout,USD
466,future_holdout,USD
467,future_holdout,USD
468,future_holdout,USD
469,development,USD
470,validation,USD
471,validation,USD
472,validation,USD
473,development,USD
474,future_holdout,USD
475,development,USD
476,development,USD
477,future_holdout,USD
478,development,USD
479,development,USD
480,development,USD
481,development,USD
482,future_holdout,USD
483,validation,USD
484,future_holdout,USD
485,development,USD
486,development,USD
487,validation,USD
488,validation,USD
489,development,USD
490,validation,USD
491,development,USD
492,future_holdout,USD
493,development,USD
494,development,USD
495,future_holdout,USD
496,validation,USD
497,validation,USD
498,development,USD
499,development,USD
500,development,USD
501,development,USD
502,development,USD
503,future_holdout,USD
504,future_holdout,USD
505,development,USD
506,development,USD
507,future_holdout,USD
508,validation,USD
509,development,USD
510,development,USD
511,validation,USD
512,development,USD
513,development,USD
514,validation,USD
515,development,USD
516,development,USD
517,validation,USD
518,development,USD
519,validation,USD
520,development,USD
521,validation,USD
522,development,USD
523,development,USD
524,future_holdout,USD
525,future_holdout,USD
526,future_holdout,USD
527,validation,USD
528,development,USD
529,development,USD
530,development,USD
531,validation,USD
532,development,USD
533,development,USD
534,development,USD
535,validation,USD
536,validation,USD
537,development,USD
538,validation,USD
539,development,USD
540,development,USD
541,validation,USD
542,development,USD
543,development,USD
544,future_holdout,USD
545,development,USD
546,development,USD
547,development,USD
548,development,USD
549,development,USD
550,validation,USD
551,future_holdout,USD
552,development,USD
553,future_holdout,USD
554,future_holdout,USD
555,future_holdout,USD
556,future_holdout,USD
557,development,USD
558,validation,USD
559,development,USD
560,future_holdout,USD
561,development,USD
562,development,USD
563,development,USD
564,development,USD
565,development,USD
566,validation,USD
567,future_holdout,USD
568,development,USD
569,development,USD
570,development,USD
571,validation,USD
572,development,USD
573,development,USD
574,development,USD
575,future_holdout,USD
576,development,USD
577,development,USD
578,development,USD
579,future_holdout,USD
580,future_holdout,USD
581,future_holdout,USD
582,development,USD
583,validation,USD
584,future_holdout,USD
585,validation,USD
586,validation,USD
587,future_holdout,USD
588,development,USD
589,validation,USD
590,development,USD
591,development,USD
592,development,USD
593,development,USD
594,future_holdout,USD
595,development,USD
596,validation,USD
597,validation,USD
598,development,USD
599,development,USD
600,development,USD
601,development,USD
602,future_holdout,USD
603,future_holdout,USD
604,development,USD
605,validation,USD
606,development,USD
607,development,USD
608,development,USD
609,future_holdout,USD
610,development,USD
611,validation,USD
612,development,USD
613,future_holdout,USD
614,development,USD
615,development,USD
616,development,USD
617,validation,USD
618,development,USD
619,validation,USD
620,validation,USD
621,development,USD
622,development,USD
623,development,USD
624,development,USD
625,future_holdout,USD
626,development,USD
627,development,USD
628,future_holdout,USD
629,development,USD
630,future_holdout,USD
631,development,USD
632,development,USD
633,development,USD
634,development,USD
635,validation,USD
636,validation,USD
637,development,USD
638,validation,USD
639,development,USD
640,future_holdout,USD
641,development,USD
642,future_holdout,USD
643,validation,USD
644,development,USD
645,future_holdout,USD
646,validation,USD
647,future_holdout,USD
648,development,USD
649,development,USD
650,development,USD
651,future_holdout,USD
652,development,USD
653,development,USD
