defective,scrap_cost_usd,rework_cost_usd,downtime_cost_usd,yield_loss_usd,total_quality_cost_usd,recurrence_90d
false,2.61,0.08,6.77,0.0,9.47,true
false,0.0,17.84,8.35,4.1,30.29,false
false,24.95,24.11,12.81,6.58,68.46,false
false,21.5,3.54,4.01,8.38,37.43,false
false,21.86,16.3,36.39,13.55,88.11,false
false,49.7,21.74,25.48,8.64,105.56,false
false,15.29,25.37,21.7,18.94,81.3,true
false,0.0,20.56,7.82,14.33,42.71,false
false,84.45,20.12,124.43,4.56,233.55,false
true,5.47,14.99,44.24,0.0,64.69,false
false,136.92,81.47,0.0,22.48,240.87,
false,11.7,0.0,27.47,0.0,39.17,false
false,23.27,0.0,19.45,2.87,45.59,false
false,13.62,20.19,9.93,3.34,47.08,false
false,23.64,18.53,8.66,11.41,62.24,false
false,22.27,13.85,30.58,12.43,79.12,
false,10.1,26.24,12.87,15.78,64.99,true
false,0.0,5.09,0.0,8.56,13.66,false
false,100.9,47.19,0.0,0.32,148.41,false
false,28.32,20.03,0.0,4.24,52.59,false
false,62.04,1.72,25.21,13.09,102.06,false
false,29.86,13.25,9.66,13.75,66.51,false
false,100.3,72.82,0.0,0.0,173.12,false
false,15.9,13.23,0.0,0.47,29.6,false
false,6.92,6.46,30.16,1.56,45.09,false
false,1.43,11.16,27.2,14.87,54.66,false
false,15.39,15.08,0.0,16.48,46.94,false
true,5.09,0.0,13.44,3.77,22.3,
true,158.2,0.0,94.7,0.0,252.9,false
false,18.56,14.7,0.58,22.61,56.45,false
false,40.64,5.18,15.54,0.0,61.37,false
false,22.41,8.18,10.4,10.93,51.91,false
false,16.13,210.11,2.2,2.86,231.3,false
false,26.56,17.56,0.4,7.75,52.27,
false,19.7,24.07,24.05,5.32,73.13,true
false,36.03,20.63,57.63,8.84,123.13,true
false,41.01,13.7,0.24,0.28,55.24,true
false,47.81,17.0,20.98,18.99,104.78,false
false,163.18,3.12,122.76,3.21,292.27,true
true,35.3,30.08,25.78,0.0,91.16,false
false,0.0,16.9,24.94,0.0,41.84,false
false,30.74,6.19,19.29,11.58,67.8,false
false,47.26,14.54,13.66,0.0,75.47,false
false,17.3,5.84,16.58,15.03,54.74,true
false,10.91,17.62,30.38,9.38,68.29,false
true,51.0,8.99,13.49,0.0,73.47,false
false,17.18,8.68,15.08,16.06,57.0,false
true,30.37,0.89,0.0,0.0,31.26,false
false,8.76,10.87,8.74,7.55,35.92,false
false,10.97,2.4,22.85,0.0,36.22,false
false,126.84,192.82,28.17,11.19,359.02,true
false,8.54,19.76,208.39,53.48,290.16,false
false,49.28,19.81,8.92,5.68,83.7,
false,30.11,32.49,1.57,0.11,64.28,false
false,0.9,37.81,21.1,6.39,66.2,true
false,23.94,25.54,16.82,13.2,79.49,false
false,48.96,11.87,9.79,2.35,72.97,
false,27.61,10.84,9.87,0.0,48.32,false
false,161.41,59.69,14.17,0.0,235.27,false
false,27.53,0.0,4.97,17.61,50.11,false
false,35.3,12.24,15.87,19.55,82.96,false
true,15.22,18.13,3.97,17.03,54.35,true
false,36.1,20.25,1.53,0.0,57.88,
true,7.09,4.93,39.37,16.49,67.87,false
true,15.99,28.28,11.41,7.28,62.97,false
false,99.45,58.05,10.7,9.61,177.81,true
false,29.69,25.19,19.99,16.24,91.11,
false,14.41,3.72,4.58,16.93,39.64,false
true,26.8,15.58,10.38,4.28,57.04,false
false,95.37,81.74,22.0,1.89,201.0,true
true,44.7,15.09,21.83,23.54,105.16,
false,9.26,13.8,4.87,0.0,27.94,false
false,20.2,18.71,15.21,10.16,64.29,false
false,28.36,24.22,27.05,15.13,94.75,true
true,22.34,9.77,2.93,9.24,44.27,false
true,5.09,25.33,14.02,22.01,66.45,true
false,9.31,8.57,7.21,7.9,32.98,false
false,22.6,26.24,10.34,4.37,63.55,true
false,106.2,74.42,24.67,7.04,212.32,true
false,5.42,14.43,30.78,3.82,54.46,false
true,0.0,17.99,17.15,5.78,40.92,
false,11.5,22.58,33.06,8.37,75.5,false
false,27.86,4.63,17.58,2.47,52.54,true
