batch_id,production_line_id,batch_date,product_line,raw_material_supplier,shift,batch_size_units,operator,machine_id,planned_cycle_time_min,material_grade,humidity_pct,temperature_c,rush_order,currency,defective,scrap_cost_usd,rework_cost_usd,downtime_cost_usd,yield_loss_usd,total_quality_cost_usd,recurrence_90d,inspection_completed_date,quality_notes_count,last_modified_at
MFG-00001,MFG-PL-001,2024-12-08,Line A,Supplier 4,day,713,Operator 7,Machine 4,48.06,premium,38.95,12.07,False,USD,False,2.61,0.08,6.77,0.0,9.47,True,,0,2025-01-04
MFG-00002,MFG-PL-062,2024-08-01,Line C,Supplier 3,night,350,Operator 1,Machine 5,19.03,premium,48.34,21.13,False,USD,False,0.0,17.84,8.35,4.1,30.29,False,,0,2024-08-08
MFG-00003,MFG-PL-123,2025-05-01,Line D,Supplier 3,night,919,Operator 2,Machine 1,15.94,standard,57.86,32.32,False,USD,False,24.95,24.11,12.81,6.58,68.46,False,,0,2025-05-23
MFG-00004,MFG-PL-184,2025-05-23,Line C,Supplier 1,evening,818,Operator 5,Machine 3,32.63,premium,25.24,6.47,False,USD,False,21.5,3.54,4.01,8.38,37.43,False,,0,2025-06-28
MFG-00005,MFG-PL-245,2025-11-29,Line B,Supplier 3,evening,504,Operator 6,Machine 4,5.0,standard,65.6,29.03,False,USD,False,21.86,16.3,36.39,13.55,88.11,False,,0,2025-12-18
MFG-00006,MFG-PL-306,2024-10-13,Line D,Supplier 4,day,1322,Operator 2,Machine 5,12.31,premium,64.44,20.27,False,USD,False,49.7,21.74,25.48,8.64,105.56,False,,0,2024-11-01
MFG-00007,MFG-PL-367,2025-06-04,Line A,Supplier 5,day,529,Operator 8,Machine 3,21.37,premium,22.42,22.43,False,USD,False,15.29,25.37,21.7,18.94,81.3,True,,0,2025-06-30
MFG-00008,MFG-PL-428,2025-12-14,Line C,Supplier 3,evening,209,Operator 2,Machine 5,53.62,premium,47.6,15.32,False,USD,False,0.0,20.56,7.82,14.33,42.71,False,,0,2026-01-02
MFG-00009,MFG-PL-489,2024-09-18,Line C,Supplier 4,night,134,Operator 8,Machine 5,28.94,standard,69.98,13.02,True,USD,False,84.45,20.12,124.43,4.56,233.55,False,,0,2024-10-22
MFG-00010,MFG-PL-550,2024-02-23,Line A,Supplier 2,night,434,Operator 1,Machine 1,33.9,premium,46.73,21.23,True,USD,True,5.47,14.99,44.24,0.0,64.69,False,2024-02-28,0,2024-04-08
