signup_date,plan_tier,billing_cycle,seat_count,mrr_usd,discount_pct,acquisition_channel,signup_source_device,industry,company_size_band,account_owner,onboarding_track,trial_used,payment_method,integrations_connected
2024-12-08,pro,annual,24,163.39,0.05,organic,desktop,finance,small,Owner 7,guided,false,card,1
2025-04-30,starter,annual,1,15.8,0.15,organic,desktop,technology,medium,Owner 4,guided,true,invoice,0
2025-09-13,starter,annual,3,29.09,0.05,outbound_sales,desktop,technology,small,Owner 1,self_serve,false,card,2
2025-09-08,starter,annual,2,32.33,0.2,paid,desktop,technology,large,Owner 6,white_glove,true,ach,1
2025-03-15,pro,monthly,25,169.71,0.4,organic,desktop,technology,small,Owner 8,white_glove,false,card,2
2025-05-10,starter,monthly,5,46.58,0.15,organic,desktop,manufacturing,small,Owner 3,self_serve,true,card,4
2024-10-26,starter,monthly,4,50.49,0.15,paid,mobile,finance,small,Owner 4,guided,false,card,2
2025-05-30,enterprise,annual,58,516.09,0.1,partner,desktop,manufacturing,medium,Owner 1,guided,false,card,5
2024-10-19,pro,monthly,6,118.26,0.4,organic,desktop,technology,small,Owner 7,self_serve,true,card,3
2024-03-18,starter,annual,3,43.61,0.15,organic,mobile,retail,medium,Owner 1,guided,true,card,3
2024-04-02,pro,monthly,7,97.53,0.1,partner,desktop,healthcare,medium,Owner 8,guided,true,card,2
2024-04-19,enterprise,monthly,79,572.76,0.1,paid,desktop,manufacturing,medium,Owner 2,guided,false,card,3
2024-03-13,pro,annual,24,181.62,0.0,paid,desktop,finance,medium,Owner 7,guided,false,card,0
2024-01-07,starter,monthly,1,44.2,0.1,paid,desktop,technology,large,Owner 7,self_serve,true,invoice,3
2025-02-12,pro,annual,17,150.7,0.05,partner,desktop,retail,small,Owner 4,self_serve,true,card,1
2025-01-07,starter,monthly,4,42.84,0.0,outbound_sales,desktop,finance,medium,Owner 2,guided,true,ach,5
2024-08-18,enterprise,monthly,60,621.85,0.1,outbound_sales,mobile,retail,medium,Owner 8,self_serve,false,card,1
2024-11-22,enterprise,monthly,80,621.25,0.2,partner,mobile,retail,small,Owner 2,white_glove,false,card,0
2024-01-15,enterprise,monthly,47,694.2,0.0,organic,mobile,healthcare,medium,Owner 2,self_serve,false,card,0
2025-05-16,starter,monthly,3,34.83,0.0,outbound_sales,desktop,healthcare,medium,Owner 6,guided,true,invoice,1
2024-08-31,starter,monthly,4,40.77,0.1,organic,desktop,healthcare,large,Owner 2,white_glove,true,ach,1
2025-04-14,starter,annual,5,43.82,0.1,paid,desktop,finance,small,Owner 3,self_serve,false,ach,1
2024-02-17,starter,annual,5,38.16,0.15,outbound_sales,desktop,manufacturing,small,Owner 2,self_serve,true,card,2
2024-03-16,pro,monthly,25,174.18,0.05,paid,desktop,retail,small,Owner 3,white_glove,false,card,3
2024-02-17,starter,monthly,1,33.02,0.05,organic,desktop,healthcare,small,Owner 2,self_serve,true,card,1
2025-03-09,enterprise,monthly,33,485.77,0.15,organic,desktop,finance,large,Owner 8,self_serve,true,card,0
2024-09-08,pro,monthly,24,204.63,0.1,partner,desktop,manufacturing,small,Owner 7,guided,false,invoice,6
2025-05-18,starter,monthly,1,38.81,0.05,outbound_sales,mobile,finance,medium,Owner 6,white_glove,false,card,0
2024-07-01,enterprise,monthly,14,329.25,0.3,paid,desktop,healthcare,small,Owner 5,guided,false,card,3
2025-08-15,starter,annual,1,27.88,0.1,organic,desktop,technology,medium,Owner 3,white_glove,true,invoice,0
2024-08-03,pro,annual,11,131.71,0.0,paid,desktop,technology,small,Owner 1,white_glove,false,ach,2
2024-03-11,pro,monthly,24,212.03,0.0,organic,mobile,manufacturing,small,Owner 8,guided,true,ach,4
2025-04-26,starter,annual,5,53.97,0.0,outbound_sales,mobile,finance,small,Owner 7,guided,true,card,2
2024-10-10,enterprise,monthly,66,701.34,0.15,organic,mobile,technology,large,Owner 8,self_serve,true,ach,1
2024-02-21,enterprise,monthly,79,713.37,0.3,paid,mobile,technology,large,Owner 1,self_serve,true,ach,2
2024-04-07,pro,annual,23,150.29,0.4,paid,desktop,healthcare,small,Owner 5,guided,false,invoice,3
2024-02-13,starter,monthly,3,42.96,0.05,organic,desktop,healthcare,medium,Owner 4,self_serve,true,card,0
2025-08-26,enterprise,monthly,76,588.98,0.15,partner,desktop,healthcare,large,Owner 2,self_serve,false,invoice,0
2024-06-19,starter,monthly,3,34.5,0.15,organic,desktop,technology,small,Owner 7,guided,true,ach,2
