source_row_number,split_label,source_currency
1,development,USD
2,validation,USD
3,future_holdout,USD
4,future_holdout,USD
5,validation,USD
6,validation,USD
7,development,USD
8,validation,USD
9,development,USD
10,development,USD
11,development,USD
12,development,USD
13,development,USD
14,development,USD
15,validation,USD
16,validation,USD
17,development,USD
18,development,USD
19,development,USD
20,validation,USD
21,development,USD
22,validation,USD
23,development,USD
24,development,USD
25,development,USD
26,validation,USD
27,development,USD
28,validation,USD
29,development,USD
30,future_holdout,USD
31,development,USD
32,development,USD
33,validation,USD
34,development,USD
35,development,USD
36,development,USD
37,development,USD
38,future_holdout,USD
39,development,USD
40,development,USD
41,development,USD
42,development,USD
43,development,USD
44,development,USD
45,development,USD
46,future_holdout,USD
47,development,USD
48,future_holdout,USD
49,validation,USD
50,future_holdout,USD
51,future_holdout,USD
52,development,USD
53,development,USD
54,development,USD
55,development,USD
56,development,USD
57,development,USD
58,validation,USD
59,development,USD
60,future_holdout,USD
61,validation,USD
62,development,USD
63,validation,USD
64,development,USD
65,development,USD
66,future_holdout,USD
67,development,USD
68,development,USD
69,validation,USD
70,future_holdout,USD
71,validation,USD
72,future_holdout,USD
73,future_holdout,USD
74,development,USD
75,validation,USD
76,future_holdout,USD
77,future_holdout,USD
78,future_holdout,USD
79,development,USD
80,development,USD
81,development,USD
82,development,USD
83,validation,USD
84,development,USD
85,validation,USD
86,future_holdout,USD
87,validation,USD
88,validation,USD
89,development,USD
90,development,USD
91,future_holdout,USD
92,development,USD
93,validation,USD
94,development,USD
95,development,USD
96,development,USD
97,validation,USD
98,validation,USD
99,development,USD
100,development,USD
101,future_holdout,USD
102,validation,USD
103,future_holdout,USD
104,development,USD
105,validation,USD
106,future_holdout,USD
107,validation,USD
108,future_holdout,USD
109,development,USD
110,development,USD
111,development,USD
112,development,USD
113,validation,USD
114,future_holdout,USD
115,validation,USD
116,validation,USD
117,future_holdout,USD
118,future_holdout,USD
119,future_holdout,USD
120,validation,USD
121,future_holdout,USD
122,future_holdout,USD
123,future_holdout,USD
124,validation,USD
125,development,USD
126,future_holdout,USD
127,future_holdout,USD
128,development,USD
129,development,USD
130,validation,USD
131,future_holdout,USD
132,future_holdout,USD
133,development,USD
134,validation,USD
135,development,USD
136,future_holdout,USD
137,future_holdout,USD
138,development,USD
139,future_holdout,USD
