churned,mrr_lost_usd,support_cost_usd,csm_intervention_cost_usd,gross_margin_usd,net_contribution_usd,expansion_90d
true,143.7,0.0,12.31,-55.8,-69.75,false
false,0.0,0.0,1.1,6.41,5.16,false
false,0.0,0.0,3.83,16.69,12.57,true
false,0.0,0.0,14.84,12.07,-3.09,true
false,0.0,0.0,5.47,32.11,24.94,true
false,0.0,0.0,10.29,24.25,13.5,false
false,0.0,0.0,20.12,22.69,2.06,true
false,0.0,0.0,27.88,252.48,217.37,false
false,0.0,0.0,29.25,27.47,-2.96,false
false,0.0,0.0,5.61,18.22,12.18,true
false,0.0,0.0,0.91,50.95,49.06,false
false,0.0,0.0,0.0,316.37,310.64,
true,138.52,0.0,0.0,-25.28,-27.09,false
false,0.0,0.0,0.0,23.06,22.62,false
false,0.0,0.0,11.67,91.83,78.66,true
false,0.0,0.0,1.13,24.45,22.72,false
false,0.0,0.0,4.93,281.73,270.59,false
false,0.0,0.0,16.1,248.27,225.96,false
false,0.0,0.0,4.56,400.67,389.18,true
false,0.0,0.0,18.4,19.98,1.23,true
false,0.0,0.0,3.59,22.79,18.8,
false,0.0,0.0,12.28,24.84,12.12,false
false,0.0,0.0,3.61,18.09,14.09,false
false,0.0,0.0,24.73,105.82,79.35,
false,0.0,0.0,7.49,16.74,8.91,false
false,0.0,0.0,0.0,241.35,236.49,true
false,0.0,0.0,2.96,115.38,108.74,false
false,0.0,0.0,0.0,21.19,20.81,false
false,0.0,0.0,30.13,83.1,49.67,false
true,18.8,0.0,12.19,-4.45,-16.92,
false,0.0,0.0,0.0,85.69,84.38,true
false,0.0,10.47,15.74,139.38,111.06,false
false,0.0,0.0,26.24,30.56,3.78,false
false,0.0,0.0,31.04,313.22,275.17,false
false,0.0,0.0,10.76,229.6,211.71,false
false,0.0,0.0,31.7,41.86,8.65,false
true,39.76,0.0,2.42,-15.0,-17.86,false
false,0.0,0.0,15.13,225.46,204.44,false
false,0.0,0.0,0.95,13.96,12.67,
false,0.0,0.0,11.59,377.84,358.97,false
false,0.0,0.0,5.56,59.8,53.06,true
false,0.0,0.0,35.22,157.73,118.15,
false,0.0,11.15,38.21,341.59,286.74,true
false,0.0,0.0,7.99,66.01,56.61,false
false,0.0,0.0,14.35,108.65,92.51,true
false,0.0,0.0,0.0,68.21,66.72,false
false,0.0,0.0,5.86,75.32,67.66,false
false,0.0,0.0,54.97,28.33,-28.29,
false,0.0,0.0,5.09,61.69,54.83,false
false,0.0,0.0,4.96,26.48,21.07,false
false,0.0,0.0,13.88,223.37,204.48,
false,0.0,0.0,26.79,88.34,59.85,true
false,0.0,0.0,0.0,10.96,10.68,true
false,0.0,0.0,14.3,25.42,10.68,false
false,0.0,0.0,19.59,19.6,-0.36,false
false,0.0,0.0,0.0,19.1,18.74,false
false,0.0,0.0,25.56,106.44,78.75,false
false,0.0,0.0,20.8,43.34,20.59,false
false,0.0,0.0,8.22,325.1,310.79,false
false,0.0,0.0,3.99,29.09,24.6,false
false,0.0,0.0,9.39,13.92,4.19,
false,0.0,0.0,2.22,68.72,65.23,false
false,0.0,0.0,0.0,77.78,76.37,
false,0.0,0.0,0.0,21.5,21.17,false
false,0.0,0.0,0.0,21.38,20.92,
false,0.0,0.0,32.33,83.02,49.01,false
false,0.0,0.0,0.0,66.09,64.95,false
false,0.0,0.0,49.91,28.97,-22.12,false
false,0.0,0.0,25.31,28.99,3.25,false
false,0.0,0.0,14.51,109.9,90.58,true
false,0.0,0.0,6.29,358.79,346.07,true
false,0.0,0.0,2.82,60.72,56.71,false
false,0.0,0.0,0.0,63.27,62.18,false
true,37.98,0.0,29.1,-16.65,-46.39,false
false,0.0,0.0,0.0,105.36,103.79,true
false,0.0,0.0,35.02,78.8,38.52,true
false,0.0,0.0,16.8,332.65,310.22,true
false,0.0,0.0,10.36,20.01,9.19,false
false,0.0,0.0,0.57,10.0,9.04,true
false,0.0,0.0,1.34,109.31,106.22,false
false,0.0,0.0,2.2,51.69,47.98,false
false,0.0,0.0,15.95,61.69,44.35,true
false,0.0,0.0,17.58,13.3,-4.66,false
false,0.0,0.0,5.6,48.97,42.0,true
false,0.0,0.0,29.04,146.29,107.83,false
false,0.0,0.0,50.67,21.69,-30.77,false
false,0.0,0.0,11.22,29.05,17.38,false
false,0.0,0.0,0.0,20.94,20.36,true
false,0.0,0.0,2.29,175.86,170.06,true
false,0.0,0.0,5.81,12.43,6.25,false
false,0.0,0.0,0.0,102.28,100.5,false
false,0.0,0.0,0.0,16.23,15.88,true
false,0.0,0.0,18.84,67.2,47.33,true
false,0.0,0.0,2.49,16.19,13.24,true
false,0.0,0.0,15.03,13.61,-1.93,false
false,0.0,0.0,12.25,20.01,7.25,false
false,0.0,0.0,1.44,27.14,25.26,false
false,0.0,0.0,23.36,11.16,-12.73,true
false,0.0,0.0,0.0,14.96,14.69,true
false,0.0,0.0,0.0,103.03,101.25,false
false,0.0,0.0,11.75,35.77,22.7,false
false,0.0,0.0,0.0,22.32,21.86,false
false,0.0,0.0,31.02,21.04,-10.32,true
false,0.0,0.0,0.0,14.51,14.22,
false,0.0,0.0,6.87,348.72,334.18,false
false,0.0,0.0,21.17,28.14,5.15,
false,0.0,0.0,5.26,84.99,78.42,false
false,0.0,0.0,6.97,326.7,314.09,false
false,0.0,0.0,12.44,79.98,65.82,true
false,0.0,0.0,3.12,80.78,76.29,true
false,0.0,0.0,12.6,76.99,63.06,false
false,0.0,0.0,5.75,86.54,78.22,false
false,0.0,0.0,0.0,18.91,18.52,false
false,0.0,0.0,0.0,22.33,21.96,true
false,0.0,0.0,18.9,234.96,210.44,false
false,0.0,0.0,4.46,228.13,217.72,true
false,0.0,0.0,2.97,20.24,16.31,
false,0.0,0.0,2.79,10.9,7.69,false
false,0.0,0.0,1.19,68.98,66.02,true
false,0.0,0.0,5.8,215.22,203.78,true
false,0.0,0.0,5.91,100.82,93.28,false
true,92.02,0.0,0.0,-25.16,-26.36,
false,0.0,0.0,0.0,22.94,22.5,
false,0.0,0.0,16.86,22.32,5.02,false
false,0.0,0.0,0.0,114.31,112.51,false
false,0.0,0.0,19.48,87.55,66.34,false
false,0.0,0.0,0.0,92.63,90.96,false
false,0.0,0.0,12.8,24.44,11.25,true
false,0.0,0.0,21.76,18.42,-3.7,true
false,0.0,0.0,6.98,15.91,8.62,
false,0.0,0.0,0.0,18.83,18.39,false
false,0.0,0.0,0.0,21.87,21.5,true
false,0.0,0.0,0.0,65.27,63.64,false
false,0.0,0.0,12.98,177.46,157.91,false
true,77.62,0.0,14.69,-20.44,-36.07,false
false,0.0,0.0,0.0,141.25,138.11,false
false,0.0,0.0,8.2,272.75,259.98,
false,0.0,0.0,0.91,268.91,262.17,true
false,0.0,0.0,13.31,82.11,67.24,false
