subscription_id,account_id,signup_date,plan_tier,billing_cycle,seat_count,mrr_usd,discount_pct,acquisition_channel,signup_source_device,industry,company_size_band,account_owner,onboarding_track,trial_used,payment_method,integrations_connected,currency,churned,mrr_lost_usd,downgrade_date,reschedule_events,support_tickets,support_cost_usd,csm_intervention_cost_usd,gross_margin_usd,net_contribution_usd,expansion_90d,last_modified_at
SAAS-00001,SAAS-ACC-0001,2024-12-08,pro,annual,24,163.39,0.05,organic,desktop,finance,small,Owner 7,guided,False,card,1,USD,True,143.7,2025-01-21,0,0,0.0,12.31,-55.8,-69.75,False,2025-01-29
SAAS-00002,SAAS-ACC-0562,2025-04-30,starter,annual,1,15.8,0.15,organic,desktop,technology,medium,Owner 4,guided,True,invoice,0,USD,False,0.0,,0,0,0.0,1.1,6.41,5.16,False,2025-06-17
SAAS-00003,SAAS-ACC-1123,2025-09-13,starter,annual,3,29.09,0.05,outbound_sales,desktop,technology,small,Owner 1,self_serve,False,card,2,USD,False,0.0,,0,0,0.0,3.83,16.69,12.57,True,2025-10-17
SAAS-00004,SAAS-ACC-1684,2025-09-08,starter,annual,2,32.33,0.2,paid,desktop,technology,large,Owner 6,white_glove,True,ach,1,USD,False,0.0,,0,0,0.0,14.84,12.07,-3.09,True,2025-11-07
SAAS-00005,SAAS-ACC-2245,2025-03-15,pro,monthly,25,169.71,0.4,organic,desktop,technology,small,Owner 8,white_glove,False,card,2,USD,False,0.0,,0,0,0.0,5.47,32.11,24.94,True,2025-03-18
SAAS-00006,SAAS-ACC-2806,2025-05-10,starter,monthly,5,46.58,0.15,organic,desktop,manufacturing,small,Owner 3,self_serve,True,card,4,USD,False,0.0,,0,0,0.0,10.29,24.25,13.5,False,2025-07-17
SAAS-00007,SAAS-ACC-0167,2024-10-26,starter,monthly,4,50.49,0.15,paid,mobile,finance,small,Owner 4,guided,False,card,2,USD,False,0.0,,0,0,0.0,4.24,22.69,17.94,True,2025-01-01
SAAS-00008,SAAS-ACC-0728,2025-05-30,enterprise,annual,58,516.09,0.1,partner,desktop,manufacturing,medium,Owner 1,guided,False,card,5,USD,False,0.0,,0,0,0.0,4.1,252.48,241.16,False,2025-06-02
SAAS-00009,SAAS-ACC-1289,2024-10-19,pro,monthly,6,118.26,0.4,organic,desktop,technology,small,Owner 7,self_serve,True,card,3,USD,False,0.0,,0,0,0.0,0.58,27.47,25.71,False,2024-12-17
SAAS-00010,SAAS-ACC-1850,2024-03-18,starter,annual,3,43.61,0.15,organic,mobile,retail,medium,Owner 1,guided,True,card,3,USD,False,0.0,,0,0,0.0,5.61,18.22,12.18,True,2024-06-01
